Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Alberta_1991,"42,897","42,834",63,,,,,,"84,627","55,596","24,310","5,004","3,184","17,591","31,332","1,010","29,407","26,750","22,426","7,113","13,772","12,891","2,763","2,196",114,"4,264",657,649,318,425,"69,081","37,059","35,729","1,777","31,003","20,000","10,601","41,821","15,336","12,188","3,361","28,159","13,200","14,895",999,"150,229","112,838",,,
Alberta_1992,"42,125","42,080",45,,,,,,"85,453","56,153","24,378","4,946","3,257","17,637","31,868","1,076","29,590","26,318","22,104","8,238","13,053","10,742","3,181","1,944",134,"4,124","-1,343","-1,316",-779,-614,"74,451","43,449","41,752","2,172","30,474","19,758","10,347","42,262","15,694","12,522","3,376","28,211","12,731","15,420",-156,"151,229","113,262",,,
Alberta_1993,"40,368","40,329",39,,,,,,"86,694","57,798","25,045","5,157","3,355","17,976","32,860","1,044","29,024","29,127","25,081","8,364","14,915","13,372","3,223","2,765",149,"3,921",759,743,-142,"1,288","80,334","46,339","44,713","2,197","33,344","22,091","10,962","43,932","17,074","13,661","3,624","28,340","12,652","15,635",-53,"162,978","117,252",,,"114,048"
Alberta_1994,"39,941","39,902",39,,,,,,"87,650","60,049","25,832","5,399","3,446","18,434","34,368","1,007","27,369","33,530","29,844","8,291","18,306","18,015","3,366","3,805",135,"3,533",-244,-240,-277,108,"85,934","50,808","49,005","2,422","34,584","23,494","10,915","46,050","17,329","13,607","4,013","30,471","14,711","15,624","1,540","172,000","122,500",,,"112,911"
Alberta_1995,"38,968","38,935",33,,,,,,"88,733","61,384","26,184","5,441","3,611","18,518","35,398","1,087","26,850","33,405","29,994","7,308","18,690","17,980","3,588","4,203",173,"3,195","1,393","1,364",753,701,"90,716","56,012","54,034","2,664","34,423","23,317","10,919","47,988","18,376","14,556","4,090","31,319","15,219","15,950","1,116","177,278","123,489",,,"111,546"
Alberta_1996,"37,913","37,894",19,,,,,,"90,569","63,141","27,000","5,803","3,727","18,756","36,331","1,274","26,553","35,273","31,754","8,387","19,603","17,436","4,291","4,206",165,"3,309",-106,-102,-20,-113,"99,018","60,040","57,601","3,074","38,564","27,955","10,721","51,638","21,623","17,393","4,477","31,227","14,729","16,402",350,"181,537","127,185",,,"110,937"
Alberta_1997,"37,027","36,988",39,,,,,,"95,881","67,818","29,149","6,815","3,942","19,471","38,847","1,552","26,642","44,736","41,187","10,633","25,406","22,922","5,437","5,655",205,"3,234","1,792","1,755","1,420",166,"104,276","64,921","61,893","3,603","39,021","26,418","12,400","60,680","27,689","23,004","4,836","33,727","16,089","17,512",546,"193,931","141,802",,,"114,804"
Alberta_1998,"37,994","37,953",41,"532,299","532,302",,,,"99,926","70,331","30,554","7,097","4,213","20,344","39,907","1,690","28,135","49,546","45,666","11,277","27,509","21,227","7,313","7,412",149,"3,626",26,26,-202,389,"110,817","72,017","67,397","4,829","38,720","23,746","14,241","63,903","30,396","25,771","4,692","33,895","15,470","18,375",46,"203,479","150,627",,,"117,555"
Alberta_1999,"38,312","38,258",54,"543,387","543,387",,,,"103,400","72,753","31,495","7,350","4,316","20,961","41,409","1,809","29,083","47,195","42,841","10,806","26,542","20,785","6,929","5,943",172,"4,114",995,973,385,781,"113,727","73,036","67,470","5,475","40,529","25,194","14,641","66,201","30,945","26,357","4,637","35,835","16,403","19,373",225,"206,002","151,918",,,"123,612"
Alberta_2000,"37,161","37,111",50,"546,402","546,402",,,,"109,056","76,562","33,520","8,180","4,623","21,698","43,145","1,959","30,837","55,078","50,065","11,064","31,433","24,640","8,195","7,659",176,"4,759","1,276","1,247",990,158,"123,903","79,429","74,268","5,264","44,293","27,380","16,148","75,890","36,448","31,486","4,963","39,812","18,193","21,555",187,"218,678","165,298",,,"127,764"
