Area_Year,9_Postsecondary enrolments_Canada,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators_Canada,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population_Canada,7_Dependency ratio_Canada,5_Household spending_Total expenditure,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,8_Canadian government finance statistics for the federal government_Net operating balance 7,8_Canadian government finance statistics for the federal government_Net worth 3 10 11
Canada_1991,1333390.8,5358733.8,360112.2,404246,31641883.4,60.98,76248.2,3311630,825794,-39802,982834,848235,-5201,4277433,4148929,-17359,-25662,-505042
Canada_1992,1333390.8,5358733.8,360112.2,399441,31641883.4,60.98,76248.2,3355540,801525,-42011,1055900,891733,-7978,4315941,4168845,-17359,-25662,-505042
Canada_1993,1355451,5358733.8,360112.2,389436,31641883.4,60.98,76248.2,3397366,792216,-7131,1169887,958461,-2018,4430782,4201584,-17359,-25662,-505042
Canada_1994,1342224,5358733.8,360112.2,386591,31641883.4,60.98,76248.2,3455468,845289,9689,1319814,1037981,2198,4629922,4312678,-17359,-25662,-505042
Canada_1995,1329741,5358733.8,360112.2,379036,31641883.4,60.98,76248.2,3501031,833754,43948,1436832,1098010,2,4754651,4346732,-17359,-25662,-505042
Canada_1996,1325382,5358733.8,360112.2,367205,31641883.4,60.98,76248.2,3557328,881883,6291,1519068,1156885,-2365,4831637,4450942,-17359,-25662,-505042
Canada_1997,1314156,5358733.8,360112.2,349893,31641883.4,60.98,76248.2,3678796,984884,40863,1649650,1323008,6357,5038433,4675117,-17359,-25662,-505042
Canada_1998,1312992,5352183,360112.2,343262,31641883.4,60.98,76248.2,3771691,1016738,26026,1806647,1393098,3058,5234738,4800083,-17359,-25662,-505042
Canada_1999,1321317,5357244,360112.2,338180,31641883.4,60.98,76248.2,3902882,1068908,26774,2002281,1505316,7747,5505003,4983628,-17359,-25662,-505042
Canada_2000,1343850,5372733,360112.2,328972,31641883.4,60.98,76248.2,4055186,1123057,58382,2183001,1633074,5378,5790032,5190319,-17359,-25662,-505042
Canada_2001,1440168,5350719,360112.2,334927,31020902,62.1,76248.2,4163121,1177183,-27180,2119684,1552946,-580,5893672,5352118,-17359,-25662,-505042
Canada_2002,1502001,5360790,350622,330184,31360079,61.5,76248.2,4310476,1188915,-14611,2145739,1581861,3717,6071546,5512743,-17359,-25662,-505042
Canada_2003,1562643,5352042,352299,336643,31644028,60.9,76248.2,4430280,1250946,25723,2109064,1648824,4347,6180926,5693615,-17359,-25662,-505042
Canada_2004,1655376,5293260,356346,339323,31940655,60.4,76248.2,4552029,1356466,27836,2225709,1789073,1205,6371730,5917893,-17359,-25662,-505042
Canada_2005,1681152,5255616,362673,345650,32243753,60,76248.2,4696492,1480231,55506,2276276,1920558,2166,6575893,6183032,-17359,-25662,-505042
Canada_2006,1824594,5059860,378621,358141,32571174,59.7,76248.2,4875848,1573186,48114,2296337,2022743,-978,6749122,6453981,-17359,-25662,-505042
Canada_2007,1743942,5380251,384318,370533,32889025,59.5,76248.2,5064836,1623019,43072,2322461,2139554,-4283,6888952,6693245,-17359,-25662,-505042
Canada_2008,1779714,5498163,388143,382067,33247118,59.5,76248.2,5226906,1649418,42064,2216930,2158706,-1368,6958137,6881595,-3143,-10759,-431280
Canada_2009,1815456,5471547,392703,384842,33628895,59.5,76248.2,5267700,1462803,-12574,1929501,1891143,-3670,6754545,6731096,-34569,-42711,-464744
