Area_Year,9_Postsecondary enrolments_Canada,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators_Canada,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population_Canada,7_Dependency ratio_Canada,5_Household spending_Total expenditure,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,8_Canadian government finance statistics for the federal government_Net operating balance 7,8_Canadian government finance statistics for the federal government_Net worth 3 10 11
Canada_1991,-1.0,-1.0,-1.0,404246,-1.0,-1.0,-1.0,3311630,825794,-39802,982834,848235,-5201,4277433,4148929,-1.0,-1.0,-1.0
Canada_1992,-1.0,-1.0,-1.0,399441,-1.0,-1.0,-1.0,3355540,801525,-42011,1055900,891733,-7978,4315941,4168845,-1.0,-1.0,-1.0
Canada_1993,1355451.0,-1.0,-1.0,389436,-1.0,-1.0,-1.0,3397366,792216,-7131,1169887,958461,-2018,4430782,4201584,-1.0,-1.0,-1.0
Canada_1994,1342224.0,-1.0,-1.0,386591,-1.0,-1.0,-1.0,3455468,845289,9689,1319814,1037981,2198,4629922,4312678,-1.0,-1.0,-1.0
Canada_1995,1329741.0,-1.0,-1.0,379036,-1.0,-1.0,-1.0,3501031,833754,43948,1436832,1098010,2,4754651,4346732,-1.0,-1.0,-1.0
Canada_1996,1325382.0,-1.0,-1.0,367205,-1.0,-1.0,-1.0,3557328,881883,6291,1519068,1156885,-2365,4831637,4450942,-1.0,-1.0,-1.0
Canada_1997,1314156.0,-1.0,-1.0,349893,-1.0,-1.0,-1.0,3678796,984884,40863,1649650,1323008,6357,5038433,4675117,-1.0,-1.0,-1.0
Canada_1998,1312992.0,5352183.0,-1.0,343262,-1.0,-1.0,-1.0,3771691,1016738,26026,1806647,1393098,3058,5234738,4800083,-1.0,-1.0,-1.0
Canada_1999,1321317.0,5357244.0,-1.0,338180,-1.0,-1.0,-1.0,3902882,1068908,26774,2002281,1505316,7747,5505003,4983628,-1.0,-1.0,-1.0
Canada_2000,1343850.0,5372733.0,-1.0,328972,-1.0,-1.0,-1.0,4055186,1123057,58382,2183001,1633074,5378,5790032,5190319,-1.0,-1.0,-1.0
