Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,,,,,,42834,63.0,,,5004,3184,17591,31332,1010,29407,12891,2763,2196,7113,114,4264,318,425,35729,1777,20000,10601,12188,3361,13200,14895,999,150229,112838
Alberta_1992,,,,,,42080,45.0,,,4946,3257,17637,31868,1076,29590,10742,3181,1944,8238,134,4124,-779,-614,41752,2172,19758,10347,12522,3376,12731,15420,-156,151229,113262
Alberta_1993,114048,,,,,40329,39.0,,,5157,3355,17976,32860,1044,29024,13372,3223,2765,8364,149,3921,-142,1288,44713,2197,22091,10962,13661,3624,12652,15635,-53,162978,117252
Alberta_1994,112911,,,,,39902,39.0,,,5399,3446,18434,34368,1007,27369,18015,3366,3805,8291,135,3533,-277,108,49005,2422,23494,10915,13607,4013,14711,15624,1540,172000,122500
Alberta_1995,111546,,,,,38935,33.0,,,5441,3611,18518,35398,1087,26850,17980,3588,4203,7308,173,3195,753,701,54034,2664,23317,10919,14556,4090,15219,15950,1116,177278,123489
Alberta_1996,110937,,,,,37894,19.0,,,5803,3727,18756,36331,1274,26553,17436,4291,4206,8387,165,3309,-20,-113,57601,3074,27955,10721,17393,4477,14729,16402,350,181537,127185
Alberta_1997,114804,,,,,36988,39.0,,,6815,3942,19471,38847,1552,26642,22922,5437,5655,10633,205,3234,1420,166,61893,3603,26418,12400,23004,4836,16089,17512,546,193931,141802
Alberta_1998,117555,532302,,,,37953,41.0,,,7097,4213,20344,39907,1690,28135,21227,7313,7412,11277,149,3626,-202,389,67397,4829,23746,14241,25771,4692,15470,18375,46,203479,150627
Alberta_1999,123612,543387,,,,38258,54.0,,,7350,4316,20961,41409,1809,29083,20785,6929,5943,10806,172,4114,385,781,67470,5475,25194,14641,26357,4637,16403,19373,225,206002,151918
Alberta_2000,127764,546402,,,,37111,50.0,,,8180,4623,21698,43145,1959,30837,24640,8195,7659,11064,176,4759,990,158,74268,5264,27380,16148,31486,4963,18193,21555,187,218678,165298
Alberta_2001,143340,549633,,,,37721,28.0,3058108,61.6,8844,5002,21967,44520,2117,32149,26541,9086,8598,12322,201,5971,-1319,-526,74993,5810,25282,17122,31820,5195,19845,21985,-121,222271,175656
Alberta_2002,149145,548121,,,34761,38729,22.0,3128429,60.7,9589,5296,22650,46093,2363,33240,24794,9329,6920,14530,240,6265,-1180,-1561,73688,6345,26238,17931,31921,5313,19703,22297,-81,227363,180089
Alberta_2003,158568,554397,,,37350,40320,20.0,3183065,59.9,9969,5552,22964,47851,2209,34450,27277,11046,7209,13975,215,5675,422,1723,71787,6355,29042,17843,34568,5812,21361,22910,412,235234,187935
Alberta_2004,160107,552591,,,39390,40722,25.0,3238668,59.2,10658,5946,24016,50346,2103,35132,30798,12444,7835,14618,128,6071,72,962,79412,6657,28029,19571,38124,6184,21730,24595,399,248322,199624
Alberta_2005,172563,550983,,,40293,42036,18.0,3321768,58.4,12196,6558,24801,54234,2329,36098,37527,15758,9903,16518,321,7076,2038,777,80317,6359,26245,20521,45479,6809,22681,27320,76,259282,222857
Alberta_2006,175167,551739,,,40557,45088,8.0,3421434,57.5,14234,7395,26227,58426,2282,37246,40534,18911,9882,17200,352,8398,1823,-531,86055,6835,27692,22909,52414,7489,24143,29402,449,275756,241597
