Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,-1.0,-1.0,-1.0,-1.0,-1.0,42834.0,63.0,-1.0,-1.0,5004.0,3184.0,17591.0,31332.0,1010.0,29407.0,12891.0,2763.0,2196.0,7113.0,114.0,4264.0,318.0,425.0,35729.0,1777.0,20000.0,10601.0,12188.0,3361.0,13200.0,14895.0,999.0,150229.0,112838.0
Alberta_1992,-1.0,-1.0,-1.0,-1.0,-1.0,42080.0,45.0,-1.0,-1.0,4946.0,3257.0,17637.0,31868.0,1076.0,29590.0,10742.0,3181.0,1944.0,8238.0,134.0,4124.0,-779.0,-614.0,41752.0,2172.0,19758.0,10347.0,12522.0,3376.0,12731.0,15420.0,-156.0,151229.0,113262.0
Alberta_1993,114048.0,-1.0,-1.0,-1.0,-1.0,40329.0,39.0,-1.0,-1.0,5157.0,3355.0,17976.0,32860.0,1044.0,29024.0,13372.0,3223.0,2765.0,8364.0,149.0,3921.0,-142.0,1288.0,44713.0,2197.0,22091.0,10962.0,13661.0,3624.0,12652.0,15635.0,-53.0,162978.0,117252.0
Alberta_1994,112911.0,-1.0,-1.0,-1.0,-1.0,39902.0,39.0,-1.0,-1.0,5399.0,3446.0,18434.0,34368.0,1007.0,27369.0,18015.0,3366.0,3805.0,8291.0,135.0,3533.0,-277.0,108.0,49005.0,2422.0,23494.0,10915.0,13607.0,4013.0,14711.0,15624.0,1540.0,172000.0,122500.0
Alberta_1995,111546.0,-1.0,-1.0,-1.0,-1.0,38935.0,33.0,-1.0,-1.0,5441.0,3611.0,18518.0,35398.0,1087.0,26850.0,17980.0,3588.0,4203.0,7308.0,173.0,3195.0,753.0,701.0,54034.0,2664.0,23317.0,10919.0,14556.0,4090.0,15219.0,15950.0,1116.0,177278.0,123489.0
Alberta_1996,110937.0,-1.0,-1.0,-1.0,-1.0,37894.0,19.0,-1.0,-1.0,5803.0,3727.0,18756.0,36331.0,1274.0,26553.0,17436.0,4291.0,4206.0,8387.0,165.0,3309.0,-20.0,-113.0,57601.0,3074.0,27955.0,10721.0,17393.0,4477.0,14729.0,16402.0,350.0,181537.0,127185.0
Alberta_1997,114804.0,-1.0,-1.0,-1.0,-1.0,36988.0,39.0,-1.0,-1.0,6815.0,3942.0,19471.0,38847.0,1552.0,26642.0,22922.0,5437.0,5655.0,10633.0,205.0,3234.0,1420.0,166.0,61893.0,3603.0,26418.0,12400.0,23004.0,4836.0,16089.0,17512.0,546.0,193931.0,141802.0
Alberta_1998,117555.0,532302.0,-1.0,-1.0,-1.0,37953.0,41.0,-1.0,-1.0,7097.0,4213.0,20344.0,39907.0,1690.0,28135.0,21227.0,7313.0,7412.0,11277.0,149.0,3626.0,-202.0,389.0,67397.0,4829.0,23746.0,14241.0,25771.0,4692.0,15470.0,18375.0,46.0,203479.0,150627.0
Alberta_1999,123612.0,543387.0,-1.0,-1.0,-1.0,38258.0,54.0,-1.0,-1.0,7350.0,4316.0,20961.0,41409.0,1809.0,29083.0,20785.0,6929.0,5943.0,10806.0,172.0,4114.0,385.0,781.0,67470.0,5475.0,25194.0,14641.0,26357.0,4637.0,16403.0,19373.0,225.0,206002.0,151918.0
Alberta_2000,127764.0,546402.0,-1.0,-1.0,-1.0,37111.0,50.0,-1.0,-1.0,8180.0,4623.0,21698.0,43145.0,1959.0,30837.0,24640.0,8195.0,7659.0,11064.0,176.0,4759.0,990.0,158.0,74268.0,5264.0,27380.0,16148.0,31486.0,4963.0,18193.0,21555.0,187.0,218678.0,165298.0
Alberta_2001,143340.0,549633.0,-1.0,-1.0,-1.0,37721.0,28.0,3058108.0,61.6,8844.0,5002.0,21967.0,44520.0,2117.0,32149.0,26541.0,9086.0,8598.0,12322.0,201.0,5971.0,-1319.0,-526.0,74993.0,5810.0,25282.0,17122.0,31820.0,5195.0,19845.0,21985.0,-121.0,222271.0,175656.0
Alberta_2002,149145.0,548121.0,-1.0,-1.0,34761.0,38729.0,22.0,3128429.0,60.7,9589.0,5296.0,22650.0,46093.0,2363.0,33240.0,24794.0,9329.0,6920.0,14530.0,240.0,6265.0,-1180.0,-1561.0,73688.0,6345.0,26238.0,17931.0,31921.0,5313.0,19703.0,22297.0,-81.0,227363.0,180089.0
Alberta_2003,158568.0,554397.0,-1.0,-1.0,37350.0,40320.0,20.0,3183065.0,59.9,9969.0,5552.0,22964.0,47851.0,2209.0,34450.0,27277.0,11046.0,7209.0,13975.0,215.0,5675.0,422.0,1723.0,71787.0,6355.0,29042.0,17843.0,34568.0,5812.0,21361.0,22910.0,412.0,235234.0,187935.0
