Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,118821,609235.8,17746.2,42897,1734901.2,67.36,84627,26750,657,69081,41821,999,150229,112838
Alberta_1992,118821,609235.8,17746.2,42125,2332418.2,66.1,85453,26318,-1343,74451,42262,-156,151229,113262
Alberta_1993,114048,592989.6,17268.6,40368,2123927,66.34,86694,29127,759,80334,43932,-53,162978,117252
Alberta_1994,112911,592989.6,22193.4,39941,2923806.2,62.78,87650,33530,-244,85934,46050,1540,172000,122500
Alberta_1995,111546,576616.2,22193.4,38968,2923806.2,62.78,88733,33405,1393,90716,47988,1116,177278,123489
Alberta_1996,110937,576360.6,32338.8,37913,3337044,60.48,90569,35273,-106,99018,51638,350,181537,127185
Alberta_1997,114804,543969,37042.8,37027,3337044,60.48,95881,44736,1792,104276,60680,546,193931,141802
Alberta_1998,117555,532299,37671.6,37994,3186007.6,59.96,99926,49546,26,110817,63903,46,203479,150627
Alberta_1999,123612,543387,37671.6,38312,3186007.6,59.96,103400,47195,995,113727,66201,225,206002,151918
Alberta_2000,127764,546402,38470.2,37161,3186007.6,59.96,109056,55078,1276,123903,75890,187,218678,165298
Alberta_2001,143340,549633,38470.2,37749,3058108,61.6,113401,61262,-1922,123995,78411,-121,222271,175656
Alberta_2002,149145,548124,34761,38751,3128429,60.7,118171,60689,-2524,125135,78775,-81,227363,180089
Alberta_2003,158568,554397,37350,40340,3183065,59.9,121996,64836,1640,126128,84360,412,235234,187935
Alberta_2004,160107,552594,39390,40747,3238668,59.2,127383,71406,669,134562,90432,399,248322,199624
Alberta_2005,172563,550983,40293,42054,3321768,58.4,135755,87007,2961,134045,102250,76,259282,222857
Alberta_2006,175167,551742,40557,45096,3421434,57.5,145800,95815,1835,143920,113553,449,275756,241597
Alberta_2007,175491,599316,40542,48845,3514147,56.4,155026,97835,-1393,147734,119961,-299,280600,252928
Alberta_2008,174543,598386,42516,50563,3595856,55.7,160594,99417,-796,145123,120072,-108,285125,260091
Alberta_2009,176700,602031,45627,51508,3678996,55.1,160352,73829,-2097,143880,107920,-210,269322,234339
Alberta_2010,184575,605355,44781,50633,3732082,55.1,166158,90987,322,147441,122224,-343,282702,257217
Alberta_2011,188268,610896,44643,50845,3789030,55.3,172803,100906,1362,158195,132305,-305,300948,273737
Alberta_2012,189090,607722,44211,52452,3874548,55.6,178826,112250,577,164149,142790,-304,312708,291076
Alberta_2013,191619,626343,44391,53184,3981011,55.9,185565,124703,2048,173928,156033,-94,330548,310267
Alberta_2014,186600,645012,45123,55591,4083648,56,191420,130401,852,186783,159938,-63,350033,321825
Alberta_2015,184026,664296,46662,56749,4144491,56.9,193254,104527,-1815,184814,143811,-156,337069,297615
Alberta_2016,185679,678966,47289,55715,4196061,58,194981,84618,-1080,184137,136565,275,325421,279292
Alberta_2017,190947,692538,42622.8,53561,4241100,59.1,200620,85214,2006,194464,140741,-228,340062,285508
Alberta_2018,194010,707391,42622.8,52342,4298275,60,205167,84302,544,207617,147318,79,347593,289117
Alberta_2019,200391,717750,40872.6,51689,4362576,61,205538,78543,2130,209703,144968,-88,348005,283682
Alberta_2020,203823,729510,38529.6,48970,4420029,61.9,195800,67834,-3787,198641,134000,-6,320302,263217
Alberta_2021,203523,720681,36276,49844,4442879,62.9,203156,71887,-2127,206019,139342,-88,335550,274634
British Columbia_1991,148417.2,627341.4,22475.4,45758,2915348.4,63.52,103964,27259,-412,43018,47386,-353,126535,131680
British Columbia_1992,148417.2,627341.4,27162.6,46229,3523882.8,62.04,107469,28244,-406,45157,49588,-1348,130049,136186
British Columbia_1993,144663,609235.8,36338.4,46141,3903151,60.42,110549,28462,317,46950,49290,-1872,136155,139480
British Columbia_1994,145371,609235.8,36338.4,46960,3903151,60.42,114024,31456,707,50039,57258,-16,139733,146042
British Columbia_1995,147195,627341.4,36338.4,46889,3903151,60.42,116111,29815,602,53082,57974,755,143402,146436
British Columbia_1996,150033,627341.4,36338.4,46221,3903151,60.42,120169,29834,198,53351,57506,90,147052,150523
British Columbia_1997,154824,627341.4,36338.4,44634,3903151,60.42,123991,32310,903,55463,61586,-124,151968,156828
British Columbia_1998,161229,631446,36816,43067,4130741.8,59.88,125726,30104,256,56944,60891,569,153811,156401
British Columbia_1999,163533,629547,36816,41977,4130741.8,59.88,128421,30541,1033,61911,64595,201,159162,159552
British Columbia_2000,160305,628269,36816,40664,4130741.8,59.88,132591,31611,2132,67308,69598,48,166405,164808
British Columbia_2001,204180,624618,36816,40546,4076950,61,135724,34014,-399,66794,69764,-19,167541,170262
British Columbia_2002,222873,622827,37149,40120,4100564,60.4,140099,34333,572,67270,69848,132,174214,175025
British Columbia_2003,224991,613227,36564,40490,4124482,59.8,143766,36613,671,69226,73588,109,178240,180892
British Columbia_2004,229104,605538,36330,40542,4155651,59.3,148130,41740,741,72828,79354,5,185250,190151
British Columbia_2005,232230,596166,36888,40853,4196062,58.9,153275,46489,1311,76457,84079,-155,194460,199896
British Columbia_2006,236508,589380,37149,41783,4241794,58.7,160695,51255,1419,79417,90710,-84,203053,212006
British Columbia_2007,242394,645033,37119,43698,4290984,58.4,169126,52756,1349,81168,95697,-299,209419,221950
British Columbia_2008,244416,637557,36921,44373,4349336,58,174156,54232,84,78546,96459,-213,210903,228456
British Columbia_2009,244785,631644,36372,45121,4410506,57.8,174870,47954,-953,73286,89411,-131,205878,222820
British Columbia_2010,261339,628020,35958,43879,4465546,57.7,180074,50956,-946,79025,97377,-137,211749,231029
British Columbia_2011,268887,651609,36108,44205,4502104,58.1,183960,51459,742,82874,100829,-108,218203,235419
British Columbia_2012,273123,643686,36021,44170,4566769,58.3,187489,54486,600,85442,104682,-6,223329,241975
British Columbia_2013,273093,640899,35613,43893,4630077,58.5,191121,53147,1082,88297,105680,162,228310,244269
British Columbia_2014,276726,637089,35505,44479,4707103,58.7,195272,56695,826,94851,111054,-38,236696,251975
British Columbia_2015,271272,635643,35757,44383,4776388,59.3,202331,54920,184,94041,109916,-129,241509,257194
British Columbia_2016,273408,637284,36111,45397,4859250,59.9,208433,58031,-105,97054,115448,199,248262,266460
British Columbia_2017,277974,643410,35801.4,44773,4929384,60.7,217014,60751,1638,99738,121506,-76,257724,277778
British Columbia_2018,286914,650496,35801.4,43736,5010476,61.3,224201,62577,2810,103531,125933,-57,266882,286780
British Columbia_2019,295320,657372,35801.4,43676,5094796,61.6,228407,68783,2486,105851,131208,144,273941,297493
British Columbia_2020,297432,665676,35801.4,42384,5158728,62.3,224258,69682,-318,95976,123432,-56,265831,294349
British Columbia_2021,287523,661122,35801.4,44054,5214805,62.6,240664,77017,1683,99016,136118,10,282111,318273
Manitoba_1991,42307.2,157980,9682.2,17728,936596,60.74,32663,5458,-475,13627,14797,279,37004,38105
Manitoba_1992,42307.2,155628,9682.2,17073,936596,60.74,32676,5302,-520,14728,15047,-172,37272,37953
Manitoba_1993,43260,157410,9682.2,17155,936596,60.74,32918,5479,-365,14652,15643,37,37304,38378
Manitoba_1994,42675,171806.4,9711,16858,936596,60.74,33210,5642,380,16305,17107,79,38774,38839
Manitoba_1995,41058,171806.4,9778.8,16461,978548.2,62.88,33833,5875,227,16847,18248,132,38795,39704
Manitoba_1996,38379,185559,10695.6,15832,1022848.4,64.66,34124,6530,495,17755,19258,-26,39800,40683
Manitoba_1997,37797,192165.6,11666.4,14964,1068024.2,66.42,35156,7206,790,19556,21586,266,41525,42414
