Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,118821.0,609235.8,17746.2,42897.0,1734901.2,67.36,84627.0,26750.0,657.0,69081.0,41821.0,999.0,150229.0,112838.0
Alberta_1992,118821.0,609235.8,17746.2,42125.0,2332418.2,66.1,85453.0,26318.0,-1343.0,74451.0,42262.0,-156.0,151229.0,113262.0
Alberta_1993,114048.0,592989.6,17268.6,40368.0,2123927.0,66.34,86694.0,29127.0,759.0,80334.0,43932.0,-53.0,162978.0,117252.0
Alberta_1994,112911.0,592989.6,22193.4,39941.0,2923806.2,62.78,87650.0,33530.0,-244.0,85934.0,46050.0,1540.0,172000.0,122500.0
Alberta_1995,111546.0,576616.2,22193.4,38968.0,2923806.2,62.78,88733.0,33405.0,1393.0,90716.0,47988.0,1116.0,177278.0,123489.0
Alberta_1996,110937.0,576360.6,32338.8,37913.0,3337044.0,60.48,90569.0,35273.0,-106.0,99018.0,51638.0,350.0,181537.0,127185.0
Alberta_1997,114804.0,543969.0,37042.8,37027.0,3337044.0,60.48,95881.0,44736.0,1792.0,104276.0,60680.0,546.0,193931.0,141802.0
Alberta_1998,117555.0,532299.0,37671.6,37994.0,3186007.6,59.96,99926.0,49546.0,26.0,110817.0,63903.0,46.0,203479.0,150627.0
Alberta_1999,123612.0,543387.0,37671.6,38312.0,3186007.6,59.96,103400.0,47195.0,995.0,113727.0,66201.0,225.0,206002.0,151918.0
Alberta_2000,127764.0,546402.0,38470.2,37161.0,3186007.6,59.96,109056.0,55078.0,1276.0,123903.0,75890.0,187.0,218678.0,165298.0
Alberta_2001,143340.0,549633.0,38470.2,37749.0,3058108.0,61.6,113401.0,61262.0,-1922.0,123995.0,78411.0,-121.0,222271.0,175656.0
Alberta_2002,149145.0,548124.0,34761.0,38751.0,3128429.0,60.7,118171.0,60689.0,-2524.0,125135.0,78775.0,-81.0,227363.0,180089.0
Alberta_2003,158568.0,554397.0,37350.0,40340.0,3183065.0,59.9,121996.0,64836.0,1640.0,126128.0,84360.0,412.0,235234.0,187935.0
Alberta_2004,160107.0,552594.0,39390.0,40747.0,3238668.0,59.2,127383.0,71406.0,669.0,134562.0,90432.0,399.0,248322.0,199624.0
Alberta_2005,172563.0,550983.0,40293.0,42054.0,3321768.0,58.4,135755.0,87007.0,2961.0,134045.0,102250.0,76.0,259282.0,222857.0
Alberta_2006,175167.0,551742.0,40557.0,45096.0,3421434.0,57.5,145800.0,95815.0,1835.0,143920.0,113553.0,449.0,275756.0,241597.0
Alberta_2007,175491.0,599316.0,40542.0,48845.0,3514147.0,56.4,155026.0,97835.0,-1393.0,147734.0,119961.0,-299.0,280600.0,252928.0
Alberta_2008,174543.0,598386.0,42516.0,50563.0,3595856.0,55.7,160594.0,99417.0,-796.0,145123.0,120072.0,-108.0,285125.0,260091.0
Alberta_2009,176700.0,602031.0,45627.0,51508.0,3678996.0,55.1,160352.0,73829.0,-2097.0,143880.0,107920.0,-210.0,269322.0,234339.0
Alberta_2010,184575.0,605355.0,44781.0,50633.0,3732082.0,55.1,166158.0,90987.0,322.0,147441.0,122224.0,-343.0,282702.0,257217.0
Alberta_2011,188268.0,610896.0,44643.0,50845.0,3789030.0,55.3,172803.0,100906.0,1362.0,158195.0,132305.0,-305.0,300948.0,273737.0
