Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,-0.07208321516601231,0.3482882146203,-0.2446469414266742,0.35654947189133745,-0.2145003113775898,0.5683526513600222,-0.07227904885155129,0.0014103714671761893,0.21188932049772471,0.05839272874517416,-0.21085420844075903,2.8462604084267986,0.13581698185897373,-0.04879658369457114
Alberta_1992,-0.07208321516601231,0.3482882146203,-0.2446469414266742,0.33733034828587316,-0.047060467381040395,0.4077570556906915,-0.06625111191109417,-0.010056654756526692,-1.1408469528481489,0.1166709419752045,-0.20571616138152468,-0.4371448744502245,0.14138820549320621,-0.0463497166398843
Alberta_1993,-0.09566122630792008,0.3204180319989961,-0.2561239705971955,0.2935894154169604,-0.10548513814798662,0.43834669296104123,-0.05719461101144857,0.06450555973972653,0.2808788704383643,0.18051651524005896,-0.1862591577785284,-0.14433903537114795,0.20684451197180345,-0.023323774309222736
Alberta_1994,-0.10127786126881452,0.3204180319989961,-0.13777792105996103,0.2829591488631608,0.11866187099833847,-0.015399593215796505,-0.05021796728859506,0.18137897747806864,-0.39751837064459133,0.24129081581513717,-0.1615825508137702,4.384201757376123,0.25710809159984876,0.006961976405391773
Alberta_1995,-0.10802078714535006,0.2923296391359477,-0.13777792105996103,0.25873608245368324,0.11866187099833847,-0.015399593215796505,-0.04231451001678507,0.17806097220500647,0.7096962690890063,0.2931877274847843,-0.13900310591400564,3.178865099419536,0.2865130099413277,0.01266940922870613
Alberta_1996,-0.11102916945949667,0.2918911600652725,0.10602243854348639,0.2324716065420708,0.23446187796965012,-0.3085502837233044,-0.028915851151555955,0.22764524300564762,-0.30417956778372607,0.38328562808733774,-0.09647731959607958,1.0012993447149474,0.3102408513995238,0.03399870317710842
Alberta_1997,-0.09192668274553117,0.23632371614631154,0.21906252484610805,0.21041442582388256,0.23446187796965012,-0.3085502837233044,0.009849767526056836,0.47883151419754666,0.9795671556215081,0.4403483553058665,0.008870121468766272,1.5584832715062,0.379290597122201,0.1183521365222914
Alberta_1998,-0.07833709367128264,0.21630395575984485,0.23417298536207062,0.23448812080637468,0.19213754032938146,-0.3748278311423925,0.03936914394754474,0.6065083571049792,-0.2148989737428984,0.5113349088882927,0.04642097333251303,0.13709570316116831,0.4324846403818526,0.16928044255439373
Alberta_1999,-0.04841628632023813,0.23532530136097105,0.23417298536207062,0.24240480643660478,0.19213754032938146,-0.3748278311423925,0.06472150827096847,0.5441033139292257,0.4405017506931774,0.5429158400799851,0.07319474236226482,0.6459524526286896,0.4465408376110211,0.17673069106288597
Alberta_2000,-0.027905935961721248,0.24049750166647207,0.2533638469524774,0.2137503876932248,0.19213754032938146,-0.3748278311423925,0.10599755104969172,0.7533499984696189,0.6305611970982726,0.6533514262678415,0.1860803159607266,0.5379269974344671,0.5171616683985518,0.2539455051942774
