Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,-0.6221832232985396,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.3627250201080932,0.8629834382162673,-0.5304899089898147,-1.4112910182200713,-0.2289420576957219,-0.1885871417669486,-0.0112281592460466,-0.0815053207797792,-0.2543933868988949,0.0853937227637593,0.5810789912136595,-0.2454579617733473,-0.0541182112967287,-0.0883639474037877,-0.1316897983097974,-0.0353203572368117,0.0058271103731934,0.9151158633626992,0.0443709657742835,-0.3693433138823166,0.6965090631430926,-0.0909072076570023,-0.3556245141990778,-0.2171383194873758,0.1720127377244984,0.1839082896828171,2.8459755093701893,0.1429739401605796,-0.0410809227257696
Alberta_1992,-0.6221832232985396,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.343992056693142,0.4541751145160907,-0.5304899089898147,-1.4112910182200713,-0.2337117561689666,-0.1781095045349224,-0.009423922156235,-0.0716490178862288,-0.2302181621492207,0.0903805872094091,0.3729865031334859,-0.180608751141474,-0.1207423983968534,-0.0018772874995697,-0.0439764048400868,-0.0563489496000357,-0.7654642225595866,-1.4760786210463228,0.1645743061508743,-0.3355131110755251,0.6778916224939208,-0.1034674834302371,-0.34911124807599,-0.215722009011477,0.1356857377221584,0.2226905108315625,-0.4374354219377825,0.1485303752128892,-0.0386406616272186
Alberta_1993,-0.0563143128918107,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.3004888485504633,0.3179056732826986,-0.5304899089898147,-1.4112910182200713,-0.2163599220680247,-0.1640436353741202,0.0038725207447684,-0.05340750208324,-0.2419394832399719,0.0749567332408965,0.6276552996206224,-0.1740928017478408,0.0963149730682353,0.0078092184097026,0.021808640262196,-0.0868404085267104,-0.3175949617772886,2.901257191606189,0.2236681283084512,-0.3333719589991459,0.8573729821406881,-0.0730557920895307,-0.3268998405484538,-0.1923056758099488,0.1295666908134486,0.2385727537781916,-0.1446290791458162,0.213812930642474,-0.0156768838366091
Alberta_1994,-0.0619556859080795,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2898801278897416,0.3179056732826986,-0.5304899089898147,-1.4112910182200713,-0.196458766369314,-0.1509824711533753,0.0218364465520238,-0.0256774558827289,-0.2554922607511529,0.0298569482269593,1.0772473992745293,-0.151907545479042,0.3712719357036707,0.0021971951448067,-0.0395907351666013,-0.145119650219074,-0.4125123090388431,0.1855598945872805,0.3093252322261546,-0.3141015903117331,0.965307978962126,-0.0753799376066254,-0.3279528835743423,-0.1555760241349711,0.2890491918898201,0.2377601739065036,4.38391950403479,0.2639430876844107,0.0145271025907389
Alberta_1995,-0.0687283105054472,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2658552265339619,0.1816362320493064,-0.5304899089898147,-1.4112910182200713,-0.1930048467852402,-0.1273001404234532,0.0251311403682017,-0.006737172337287,-0.2261889580242751,0.0157138736515916,1.0738582708041682,-0.1174660986841237,0.476495850250693,-0.0733729263537233,0.1270647124258487,-0.1958886803531433,0.311671895993758,1.5503128582586472,0.4096909301763248,-0.2933752382123823,0.9516910905534344,-0.0751821379881492,-0.3094466274341915,-0.1483056303586901,0.3283969872015231,0.2618420864674388,3.1785807725416464,0.2932699518905005,0.0202191267097647
Alberta_1996,-0.0717499430181189,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2399918115273779,-0.1363257974952753,-0.5304899089898147,-1.4112910182200713,-0.1632353494177474,-0.1106507442739322,0.0344661061807056,0.0104194146024191,-0.1576924879001982,0.0076204379119304,1.021181531150555,-0.0084015171668823,0.4772889953352183,0.0095773901233,0.0919793550379645,-0.1787653980002323,-0.2318178035112911,-0.3230579890069388,0.4808789287025243,-0.2582603441597634,1.308499725804916,-0.0849732191027181,-0.2541228669814961,-0.111764820080499,0.2904434051095261,0.295231732104073,1.0010112717780908,0.3169348087782868,0.0414908366631714
Alberta_1997,-0.0525633208071147,-0.5678906968144553,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2174824416945585,0.3179056732826986,-0.5304899089898147,-1.4112910182200713,-0.0800123346776845,-0.0797919496864579,0.062510226163648,0.0566851946027413,-0.0558635109242978,0.0100457435712902,1.55240321081916,0.1693908162879664,0.8603780711609355,0.1822432018076322,0.2674061419773856,-0.1900307153376737,0.780633900611957,0.3190433210509217,0.5665360326202278,-0.2129535662235793,1.1902558982107962,-0.0019468292473587,-0.1447038962729752,-0.077867789357319,0.3957839594873139,0.3772284282471347,1.5581961570909586,0.3858012648166112,0.1256165359026048
Alberta_1998,-0.0389138773878045,0.4122189269573983,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2414576534922083,0.363328820360496,-0.5304899089898147,-1.4112910182200713,-0.0568217317560464,-0.0408955155785252,0.0967515083246392,0.0761771368922252,-0.0053153137204336,0.0507309272726849,1.3882725606116708,0.4604365558702494,1.324896708997916,0.2317520097883579,0.021808640262196,-0.1311506567206466,-0.3597804494490905,0.8322640814197494,0.6763814892751765,-0.107951468397943,0.9846947353406024,0.0890904451562842,-0.0907451915945796,-0.0914643699259483,0.3478385159874237,0.4409790127259296,0.1368061435377242,0.4388541066960627,0.176407347682587
Alberta_1999,-0.008861286042562,0.4326293232533256,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2490353111070096,0.6585792763661791,-0.5304899089898147,-1.4112910182200713,-0.0360159780710307,-0.0261120000319677,0.1209518188553741,0.103796851343928,0.038273349085797,0.0765645201386743,1.3454727096431105,0.4008621614141744,0.9365199992753636,0.1955429281751252,0.1226790427523632,-0.0578509919116945,0.0529342382733724,1.73442792924298,0.6778383785077003,-0.0526240987443043,1.096091652943911,0.108870407003898,-0.0793177246840123,-0.0966575083375776,0.4201052345421855,0.514702168357259,0.6456637683897821,0.4528729923330397,0.1838374823010524
Alberta_2000,0.0117394006448156,0.4381807300943017,-0.398045301652205,-0.3900774340808418,-0.4180056064505766,0.2205383495195439,0.5677329822105843,-0.5304899089898147,-1.4112910182200713,0.0322400518047125,0.0179514880534024,0.1498588348377917,0.1357195039991583,0.0932170416986929,0.1243621170658319,1.7187610025928863,0.5972714931365466,1.390198987623832,0.2153772021798259,0.1402217214463053,0.0390307371903015,0.4783045722973759,0.3006318139524885,0.8135086936131402,-0.0706954222689448,1.2642640713699005,0.1833914132647834,0.0207018619786152,-0.0658763606613752,0.5587519936129504,0.6758884665411876,0.5376381273597364,0.5233063630561154,0.2608438348921189
