Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,7.0,2.0,1.0
Alberta_1992,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0
Alberta_1993,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0
Alberta_1994,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,9.0,2.0,1.0
Alberta_1995,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,8.0,2.0,1.0
Alberta_1996,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,6.0,2.0,1.0
Alberta_1997,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,2.0,2.0,6.0,2.0,1.0
Alberta_1998,1.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0
Alberta_1999,1.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,6.0,2.0,1.0
Alberta_2000,1.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,6.0,3.0,1.0
Alberta_2001,1.0,4.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0
Alberta_2002,1.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0
Alberta_2003,1.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,2.0,6.0,3.0,1.0
