Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Final consumption expenditure,"84,627","85,453","86,694","87,650","88,733","90,569","95,881","99,926","103,400","109,056","113,401","118,171","121,996","127,383","135,755","145,800","155,026","160,594","160,352","166,158","172,803","178,826","185,565","191,420","193,254","194,981","200,620","205,167","205,538","195,800","203,156"
Household final consumption expenditure,"55,596","56,153","57,798","60,049","61,384","63,141","67,818","70,331","72,753","76,562","79,482","82,922","85,675","90,352","97,393","106,167","113,253","116,219","114,744","119,496","124,331","129,511","135,916","141,034","141,740","141,241","145,319","147,923","148,463","138,969","145,215"
Goods,"24,310","24,378","25,045","25,832","26,184","27,000","29,149","30,554","31,495","33,520","35,034","36,859","37,884","40,054","43,206","47,713","51,049","52,051","50,127","51,896","54,150","57,001","60,153","62,838","61,557","60,325","62,820","63,579","63,137","61,615","64,143"
Durable goods,"5,004","4,946","5,157","5,399","5,441","5,803","6,815","7,097","7,350","8,180","8,844","9,589","9,969","10,658","12,196","14,234","15,689","15,828","14,029","14,716","15,677","16,960","18,421","19,551","18,250","17,386","18,730","18,777","18,203","17,076","18,354"
Semi-durable goods,"3,184","3,257","3,355","3,446","3,611","3,727","3,942","4,213","4,316","4,623","5,002","5,296","5,552","5,946","6,558","7,395","8,127","8,476","8,210","8,694","9,347","10,116","10,562","10,945","10,826","10,645","10,803","10,952","11,037","9,876","11,570"
Non-durable goods,"17,591","17,637","17,976","18,434","18,518","18,756","19,471","20,344","20,961","21,698","21,967","22,650","22,964","24,016","24,801","26,227","27,239","27,740","27,957","28,519","29,132","29,925","31,172","32,348","32,478","32,301","33,276","33,839","33,888","34,605","34,273"
Services,"31,332","31,868","32,860","34,368","35,398","36,331","38,847","39,907","41,409","43,145","44,520","46,093","47,851","50,346","54,234","58,426","62,158","64,142","64,621","67,606","70,186","72,510","75,767","78,211","80,126","80,803","82,418","84,249","85,208","77,323","81,039"
Non-profit institutions serving households' final consumption expenditure,"1,010","1,076","1,044","1,007","1,087","1,274","1,552","1,690","1,809","1,959","2,117","2,363","2,209","2,103","2,329","2,282","2,341","2,495","2,409","2,375","2,527","2,640","2,709","2,675","2,804","2,952","2,960","3,066","3,241","3,071","3,136"
General governments final consumption expenditure,"29,407","29,590","29,024","27,369","26,850","26,553","26,642","28,135","29,083","30,837","32,149","33,240","34,450","35,132","36,098","37,246","39,283","41,827","43,223","44,295","45,951","46,675","46,942","47,723","48,708","50,741","52,294","54,117","53,772","53,625","54,700"
Gross fixed capital formation,"26,750","26,318","29,127","33,530","33,405","35,273","44,736","49,546","47,195","55,078","61,262","60,689","64,836","71,406","87,007","95,815","97,835","99,417","73,829","90,987","100,906","112,250","124,703","130,401","104,527","84,618","85,214","84,302","78,543","67,834","71,887"
Business gross fixed capital formation,"22,426","22,104","25,081","29,844","29,994","31,754","41,187","45,666","42,841","50,065","55,036","54,140","58,865","65,131","79,476","86,956","87,671","88,126","62,507","78,178","88,452","99,697","112,904","119,421","92,636","72,513","73,155","73,549","68,779","57,372","62,044"
Residential structures,"7,113","8,238","8,364","8,291","7,308","8,387","10,633","11,277","10,806","11,064","12,322","14,530","13,975","14,618","16,518","17,200","17,321","15,418","13,416","15,941","15,239","17,179","19,017","20,728","20,637","17,555","17,928","17,608","15,931","15,426","18,741"
