Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Final consumption expenditure,"103,964","107,469","110,549","114,024","116,111","120,169","123,991","125,726","128,421","132,591","135,724","140,099","143,766","148,130","153,275","160,695","169,126","174,156","174,870","180,074","183,960","187,489","191,121","195,272","202,331","208,433","217,014","224,201","228,407","224,258","240,664"
Household final consumption expenditure,"72,471","74,713","77,151","80,289","82,775","85,806","89,016","90,175","92,443","95,344","97,251","100,887","104,235","108,952","113,429","120,181","126,699","129,782","130,162","135,142","137,998","140,749","144,336","149,395","155,326","160,338","167,984","173,566","176,378","170,129","182,479"
Goods,"31,193","32,005","33,350","35,037","36,214","36,716","38,290","38,636","39,768","41,171","42,168","44,197","45,181","47,110","48,128","51,004","53,705","54,181","52,955","54,461","55,119","55,774","57,167","59,622","62,952","65,287","68,913","70,911","70,995","72,589","78,300"
Durable goods,"6,395","6,574","6,773","7,307","7,588","7,716","8,449","8,286","8,763","9,472","9,975","10,859","11,263","12,092","12,406","13,643","14,750","14,498","13,752","14,393","14,564","15,063","15,795","16,955","18,329","19,499","21,152","21,832","21,518","21,251","23,544"
Semi-durable goods,"4,191","4,337","4,558","4,856","5,093","5,122","5,316","5,397","5,511","5,680","6,012","6,300","6,519","6,808","7,078","7,680","8,269","8,450","8,225","8,667","9,062","9,150","9,402","9,874","10,643","10,957","11,454","12,188","12,487","12,132","14,616"
Non-durable goods,"21,687","22,174","23,162","23,929","24,562","24,931","25,408","25,959","26,426","26,797","26,767","27,486","27,768","28,480","28,872","29,762","30,653","31,240","31,031","31,413","31,495","31,561","31,971","32,801","33,998","34,852","36,328","36,920","37,020","39,185","40,246"
Services,"41,225","42,676","43,730","45,140","46,437","49,043","50,657","51,482","52,606","54,090","54,984","56,551","58,949","61,740","65,263","69,136","72,954","75,590","77,211","80,682","82,879","84,975","87,169","89,779","92,402","95,087","99,120","102,701","105,407","97,698","104,360"
Non-profit institutions serving households' final consumption expenditure,"1,216","1,397","1,518","1,486","1,499","1,812","2,382","2,464","2,611","2,628","2,760","2,934","3,040","2,771","2,949","3,097","3,009","3,400","3,246","3,173","3,351","3,396","3,448","3,418","3,637","4,015","3,993","4,173","4,279","4,351","4,478"
General governments final consumption expenditure,"31,073","32,140","32,588","32,870","32,306","32,946","32,876","33,385","33,624","34,897","36,032","36,560","36,720","36,511","36,946","37,399","39,404","40,961","41,455","41,761","42,612","43,344","43,347","42,520","43,451","44,179","45,171","46,601","47,874","49,720","53,629"
Gross fixed capital formation,"27,259","28,244","28,462","31,456","29,815","29,834","32,310","30,104","30,541","31,611","34,014","34,333","36,613","41,740","46,489","51,255","52,756","54,232","47,954","50,956","51,459","54,486","53,147","56,695","54,920","58,031","60,751","62,577","68,783","69,682","77,017"
Business gross fixed capital formation,"22,520","23,455","23,560","25,912","24,600","24,294","27,333","25,452","25,097","26,065","28,386","28,868","30,948","35,317","38,637","43,107","44,436","45,183","39,098","41,533","43,876","46,165","45,442","48,478","46,833","49,843","51,910","52,675","58,791","59,335","65,131"
