Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Final consumption expenditure,"20,468","20,715","21,252","21,286","21,489","21,701","22,050","22,865","23,653","24,088","24,323","24,982","25,329","25,878","26,461","27,199","28,189","29,157","29,421","30,264","30,345","30,430","30,689","30,933","31,400","31,951","32,790","33,377","33,976","33,594","35,017"
Household final consumption expenditure,"12,480","12,663","12,885","13,032","13,355","13,661","13,961","14,381","14,909","15,352","15,470","15,963","16,217","16,681","17,034","17,604","18,350","18,980","19,269","19,739","20,117","20,315","20,717","21,114","21,439","21,643","22,303","22,550","22,900","22,254","23,129"
Goods,"6,565","6,600","6,714","6,755","6,899","7,043","7,310","7,577","7,924","8,104","8,089","8,385","8,441","8,669","8,738","9,039","9,437","9,780","9,943","10,174","10,371","10,370","10,591","10,887","11,139","11,257","11,584","11,625","11,841","11,915","12,373"
Durable goods,"1,158","1,165","1,195","1,177","1,206","1,245","1,404","1,509","1,639","1,703","1,686","1,777","1,803","1,863","1,917","2,040","2,167","2,366","2,391","2,535","2,599","2,657","2,784","2,887","2,998","3,083","3,224","3,177","3,264","3,126","3,425"
Semi-durable goods,733,740,752,760,800,818,834,876,911,941,959,"1,005","1,018","1,057","1,105","1,194","1,260","1,311","1,328","1,392","1,393","1,452","1,487","1,538","1,590","1,575","1,622","1,648","1,703","1,712","1,919"
Non-durable goods,"4,955","4,973","5,043","5,110","5,169","5,251","5,284","5,369","5,523","5,591","5,569","5,713","5,723","5,844","5,787","5,847","6,041","6,115","6,239","6,247","6,382","6,261","6,320","6,462","6,550","6,597","6,733","6,798","6,872","7,082","7,036"
Services,"5,905","6,058","6,167","6,275","6,454","6,617","6,647","6,799","6,979","7,243","7,378","7,573","7,773","8,011","8,297","8,565","8,913","9,200","9,326","9,565","9,745","9,945","10,126","10,229","10,305","10,392","10,724","10,927","11,062","10,359","10,775"
Non-profit institutions serving households' final consumption expenditure,228,221,222,218,214,227,283,304,354,359,366,372,353,326,352,371,356,360,352,356,357,356,364,362,369,415,421,435,446,449,455
General governments final consumption expenditure,"7,950","8,015","8,362","8,221","8,058","7,911","7,881","8,281","8,485","8,434","8,551","8,698","8,806","8,901","9,108","9,244","9,493","9,827","9,807","10,179","9,872","9,759","9,610","9,464","9,598","9,895","10,071","10,393","10,630","10,875","11,413"
Gross fixed capital formation,"3,599","3,370","3,242","3,158","3,467","3,746","3,485","4,068","5,008","5,059","4,336","4,441","4,893","5,293","5,654","6,682","7,347","7,294","6,495","6,695","7,105","6,157","5,700","5,590","5,521","5,452","6,104","6,555","5,955","5,987","6,410"
Business gross fixed capital formation,"2,522","2,333","2,143","2,091","2,284","2,573","2,457","3,003","3,722","3,848","3,237","3,372","3,778","4,070","4,286","5,175","5,336","5,845","5,042","4,871","4,832","4,426","4,270","4,086","4,141","3,893","4,438","4,808","4,645","4,530","4,940"
Residential structures,885,938,943,965,797,906,961,940,986,"1,194","1,331","1,519","1,600","1,692","1,696","1,713","1,867","1,855","1,797","1,844","1,818","1,824","1,687","1,636","1,652","1,656","1,715","1,775","1,848","1,991","2,372"
"Non-residential structures, machinery and equipment","1,493","1,287","1,102","1,009","1,287","1,442","1,315","1,787","2,376","2,336","1,687","1,663","2,003","2,118","2,272","3,083","3,025","3,588","2,915","2,683","2,656","2,291","2,295","2,128","2,210","1,933","2,358","2,622","2,384","2,123","2,129"
Non-residential structures,"1,187",614,466,636,887,948,692,"1,006","1,752","1,522",810,789,"1,190",880,905,"1,645","1,696","2,249","1,601","1,235","1,023","1,026",943,816,823,850,"1,084","1,156","1,094","1,130","1,057"
