Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Final consumption expenditure,"317,510","321,440","324,524","330,831","335,846","338,714","351,884","362,308","378,379","395,560","406,250","421,510","433,553","446,321","460,339","476,590","489,698","505,398","507,806","524,710","532,735","538,661","546,100","557,658","573,236","586,290","607,021","626,363","634,609","598,667","628,667"
Household final consumption expenditure,"212,429","215,110","218,103","224,329","229,167","234,509","246,112","254,934","267,017","279,843","286,845","298,338","307,030","315,520","327,313","337,858","350,919","359,500","359,358","372,425","378,684","384,259","392,569","403,041","415,132","425,153","442,979","456,275","463,908","427,043","445,853"
Goods,"93,537","94,059","94,850","98,350","100,094","101,535","107,427","112,420","119,154","125,311","127,771","133,784","137,554","139,869","144,177","147,927","152,971","157,382","156,492","161,846","162,620","164,715","169,289","174,856","181,145","186,432","195,949","202,846","204,506","199,445","207,666"
Durable goods,"19,259","19,273","19,364","20,361","20,511","21,013","23,975","25,725","28,549","30,590","31,105","33,700","34,454","34,615","36,292","37,888","39,514","41,795","41,212","43,018","43,081","43,779","45,334","48,847","51,804","55,055","59,760","62,154","62,413","57,742","61,748"
Semi-durable goods,"12,539","12,655","12,860","13,389","13,952","13,967","14,657","15,622","16,369","17,394","17,978","18,882","19,598","20,222","21,079","22,637","23,719","24,609","24,200","25,624","26,080","26,782","27,831","28,716","30,019","30,816","32,748","33,940","34,753","31,075","34,532"
Non-durable goods,"65,409","65,840","66,336","68,235","69,224","70,199","71,608","73,408","76,041","78,790","80,082","82,131","84,450","86,023","87,569","87,766","89,980","91,026","91,197","93,225","93,467","94,154","96,129","97,334","99,391","100,623","103,504","106,821","107,448","110,499","111,460"
Services,"118,734","121,014","123,297","125,924","129,054","133,033","138,678","142,431","147,690","154,323","158,906","164,320","169,243","175,510","183,052","189,903","197,954","202,101","202,859","210,570","216,063","219,544","223,288","228,213","234,044","238,814","247,198","253,647","259,537","228,405","239,003"
Non-profit institutions serving households' final consumption expenditure,"4,592","4,723","4,725","4,955","5,128","5,764","6,781","6,535","7,550","8,008","8,362","9,086","8,524","8,455","9,135","9,617","9,419","10,273","9,736","9,668","10,234","10,490","10,859","10,852","11,418","12,579","12,736","12,796","13,382","13,411","13,592"
General governments final consumption expenditure,"103,381","104,505","104,472","103,976","103,712","99,788","99,764","101,358","104,117","107,889","111,325","114,242","118,169","122,632","123,900","129,220","129,177","135,559","138,739","142,637","143,826","143,918","142,697","143,796","146,723","148,615","151,346","157,336","157,353","158,071","168,972"
Gross fixed capital formation,"72,144","71,967","66,412","69,869","70,762","77,231","85,945","88,687","96,972","101,455","104,512","105,542","110,336","116,617","123,705","129,492","131,433","130,097","121,352","132,815","135,349","137,006","131,183","136,940","145,616","145,166","150,032","155,808","157,762","163,156","177,469"
