Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Final consumption expenditure,"29,107","28,748","29,228","29,445","30,040","30,588","31,239","31,826","32,304","33,096","33,583","34,485","35,163","35,609","36,410","37,580","39,603","41,662","42,547","43,860","44,868","46,058","47,056","47,890","48,533","48,978","50,084","51,087","51,626","49,487","52,211"
Household final consumption expenditure,"18,218","18,280","18,613","19,192","19,628","20,120","20,856","21,093","21,426","21,988","22,272","22,906","23,425","23,810","24,500","25,400","27,006","28,556","29,040","29,954","30,874","32,061","33,256","34,092","34,321","34,604","35,356","35,889","36,210","33,947","35,785"
Goods,"7,991","8,003","8,216","8,457","8,608","8,816","9,216","9,229","9,364","9,638","9,783","10,144","10,433","10,537","10,913","11,361","12,243","13,164","13,335","13,599","14,124","14,817","15,478","15,720","15,562","15,507","15,833","15,970","16,141","15,888","16,883"
Durable goods,"1,444","1,432","1,456","1,552","1,594","1,721","1,958","1,882","1,904","2,050","2,119","2,270","2,418","2,446","2,591","2,776","3,196","3,654","3,631","3,736","4,007","4,375","4,637","4,648","4,545","4,458","4,612","4,552","4,593","4,374","4,717"
Semi-durable goods,959,981,"1,014","1,044","1,115","1,125","1,153","1,193","1,216","1,260","1,298","1,355","1,392","1,431","1,509","1,641","1,803","1,952","1,964","2,002","2,101","2,267","2,397","2,461","2,482","2,446","2,442","2,445","2,444","2,278","2,749"
Non-durable goods,"5,984","5,978","6,150","6,242","6,242","6,277","6,340","6,415","6,508","6,546","6,558","6,683","6,761","6,789","6,922","7,020","7,274","7,559","7,747","7,866","8,017","8,175","8,445","8,610","8,535","8,605","8,780","8,974","9,104","9,229","9,431"
Services,"10,281","10,337","10,439","10,782","11,079","11,366","11,687","11,930","12,131","12,416","12,552","12,813","13,035","13,328","13,631","14,076","14,781","15,390","15,705","16,358","16,751","17,244","17,779","18,371","18,751","19,082","19,508","19,901","20,051","18,059","18,903"
Non-profit institutions serving households' final consumption expenditure,438,458,486,356,409,466,478,507,578,567,552,604,589,555,561,567,558,586,610,616,651,658,693,718,764,828,831,852,882,898,938
General governments final consumption expenditure,"10,825","10,300","10,418","10,068","10,161","10,128","9,956","10,315","10,389","10,623","10,850","11,062","11,224","11,306","11,390","11,642","12,047","12,519","12,902","13,294","13,343","13,339","13,109","13,085","13,450","13,551","13,899","14,343","14,531","14,606","15,448"
Gross fixed capital formation,"7,200","6,439","6,456","7,032","7,361","8,375","11,033","9,787","9,955","9,930","9,928","9,423","10,092","10,246","11,944","13,318","14,314","16,752","16,647","19,414","21,318","23,264","25,093","26,038","22,110","19,229","20,031","19,591","17,804","15,325","16,080"
Business gross fixed capital formation,"6,010","5,344","5,227","5,786","6,347","7,279","9,807","8,508","8,570","8,537","8,241","7,769","8,566","8,688","10,186","11,457","12,532","14,394","14,473","16,854","18,829","20,902","22,785","23,655","19,264","16,079","16,991","16,749","15,600","13,025","13,721"
Residential structures,"1,107","1,192","1,182","1,303","1,386","1,631","1,738","1,818","1,799","1,800","1,835","2,008","2,184","2,378","2,522","2,699","3,075","3,157","2,886","3,166","3,726","4,336","4,413","4,354","3,840","3,467","3,437","3,203","2,820","2,954","3,566"
"Non-residential structures, machinery and equipment","4,496","3,842","3,610","3,965","4,364","4,955","6,898","5,826","5,897","5,872","5,639","5,194","5,530","5,453","6,606","7,693","8,050","9,466","10,327","12,508","13,823","15,114","16,930","17,942","14,391","11,760","12,691","12,460","11,661","9,189","9,162"
Non-residential structures,"3,363","2,660","2,706","3,231","3,194","3,823","5,050","4,085","4,070","4,418","4,183","3,774","3,789","3,684","4,578","5,071","4,928","6,223","7,493","9,050","9,605","10,357","11,284","12,477","9,318","8,123","8,342","8,403","8,001","5,985","5,394"
Machinery and equipment,"1,284","1,196","1,031","1,018","1,278","1,365","2,024","1,793","1,846","1,654","1,619","1,532","1,755","1,762","2,061","2,584","2,999","3,165","2,855","3,480","4,220","4,757","5,649","5,460","5,051","3,653","4,338","4,059","3,671","3,185","3,714"
Intellectual property products,223,241,391,473,532,640,925,770,764,759,695,592,885,943,"1,084","1,054","1,419","1,778","1,260","1,178","1,280","1,452","1,442","1,358","1,036",863,868,"1,077","1,098",903,"1,023"
Non-profit institutions serving households' gross fixed capital formation,34,37,37,37,37,41,42,23,37,42,45,57,49,31,76,90,64,89,72,63,64,76,97,118,94,66,64,59,51,47,50
General governments gross fixed capital formation,"1,171","1,069","1,208","1,222",975,"1,047","1,165","1,250","1,345","1,348","1,648","1,601","1,480","1,532","1,681","1,768","1,722","2,269","2,103","2,499","2,424","2,286","2,212","2,266","2,751","3,086","2,979","2,788","2,162","2,260","2,314"
