Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","532,299","543,387","546,402","549,633","548,124","554,397","552,594","550,983","551,742","599,316","598,386","602,031","605,355","610,896","607,722","626,343","645,012","664,296","678,966","692,538","707,391","717,750","729,510","720,681"
"Total, school type Regular programs for youth 5","532,299","543,387","546,402","549,633","548,124","554,397","552,594","550,983","551,742","599,316","598,383","602,028","605,355","610,896","607,722","626,343","645,009","664,299","678,969","692,538","707,391","717,750","729,513","720,678"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","532,302","543,387","546,402","549,633","548,121","554,397","552,591","550,983","551,739","560,562","559,116","564,051","567,813","573,102","574,911","591,399","608,169","625,683","640,872","652,272","665,877","673,788","683,280","664,908"
Public school Regular programs for youth 5,"532,299","543,387","546,402","549,633","548,121","554,397","552,594","550,983","551,742","560,565","559,119","564,051","567,813","573,102","574,911","591,399","608,169","625,680","640,872","652,272","665,877","673,788","683,280","664,911"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,"28,767","29,520","27,867","27,690","27,831","22,425","24,159","25,707","27,129","26,775","27,537","28,488","30,270","31,503","30,465"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"28,767","29,520","27,864","27,690","27,828","22,425","24,159","25,707","27,129","26,775","27,537","28,488","30,270","31,500","30,465"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,"9,984","9,747","10,113","9,855","9,966","10,386","10,785","11,136","11,484","11,322","12,732","13,023","13,689","14,730","25,305"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"9,984","9,747","10,113","9,855","9,969","10,386","10,785","11,136","11,487","11,322","12,732","13,023","13,689","14,730","25,305"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
