Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","631,446","629,547","628,269","624,618","622,827","613,227","605,538","596,166","589,380","645,033","637,557","631,644","628,020","651,609","643,686","640,899","637,089","635,643","637,284","643,410","650,496","657,372","665,676","661,122"
"Total, school type Regular programs for youth 5","615,798","612,708","611,820","608,823","605,499","595,206","588,009","581,319","575,082","631,071","625,038","619,332","614,715","638,232","630,825","627,993","624,927","625,962","629,160","635,706","642,990","649,893","657,753","654,147"
"Total, school type General programs for adults 6","15,648","16,839","16,449","15,798","17,331","18,021","17,526","14,850","14,298","13,962","12,519","12,309","13,308","13,380","12,858","12,906","12,165","9,681","8,121","7,704","7,506","7,482","7,926","6,972"
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","631,446","629,544","628,269","624,618","622,830","613,227","605,535","596,169","589,380","578,628","571,269","565,875","562,740","579,111","569,736","564,528","558,984","552,786","553,374","557,625","563,241","568,980","576,000","568,284"
Public school Regular programs for youth 5,"615,801","612,708","611,820","608,823","605,496","595,203","588,009","581,319","575,082","564,663","558,750","553,563","549,432","565,728","556,875","551,622","546,819","543,105","545,253","549,921","555,735","561,501","568,074","561,312"
Public school General programs for adults 6,"15,645","16,839","16,449","15,798","17,331","18,021","17,526","14,850","14,298","13,962","12,519","12,309","13,308","13,380","12,861","12,909","12,165","9,681","8,121","7,704","7,506","7,482","7,923","6,975"
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,"65,370","65,475","65,076","64,728","70,272","71,865","74,310","76,074","80,637","81,660","83,469","84,999","86,082","87,222","87,291"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"65,367","65,475","65,076","64,728","70,272","71,868","74,310","76,074","80,634","81,660","83,469","84,996","86,082","87,222","87,291"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,"1,038",813,693,552,"2,226","2,085","2,061","2,031","2,220","2,247","2,316","2,259","2,307","2,454","5,550"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"1,038",813,690,555,"2,229","2,085","2,061","2,034","2,220","2,247","2,316","2,256","2,310","2,454","5,547"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
