Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","192,312","192,630","197,067","189,912","188,907","186,891","186,285","184,353","182,373","193,761","193,332","192,201","192,381","192,711","194,148","195,171","195,432","196,341","198,132","200,226","202,545","204,249","205,908","202,089"
"Total, school type Regular programs for youth 5","192,309","192,630","197,067","189,912","188,907","186,891","186,288","184,353","182,370","193,764","193,335","192,201","192,381","192,711","194,148","195,171","195,429","196,341","198,132","200,223","202,545","204,249","205,908","202,089"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","192,309","192,630","197,067","189,912","188,907","186,894","186,288","184,353","182,370","180,042","179,319","177,960","177,498","177,678","178,917","179,289","179,106","179,733","181,023","183,015","184,710","186,522","187,893","179,874"
Public school Regular programs for youth 5,"192,312","192,630","197,067","189,912","188,907","186,894","186,288","184,353","182,373","180,045","179,322","177,963","177,498","177,678","178,920","179,292","179,106","179,736","181,020","183,015","184,707","186,522","187,893","179,877"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,"12,546","12,780","12,951","13,206","13,398","13,416","13,491","13,515","13,641","13,833","13,818","14,196","14,022","14,325","14,184"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"12,543","12,780","12,951","13,203","13,398","13,416","13,491","13,512","13,641","13,833","13,815","14,196","14,019","14,325","14,184"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,"1,176","1,236","1,290","1,677","1,635","1,815","2,388","2,808","2,964","3,276","3,390","3,639","3,708","3,690","8,025"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"1,176","1,236","1,290","1,677","1,635","1,812","2,385","2,811","2,964","3,276","3,393","3,639","3,708","3,690","8,028"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
