Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","131,586","129,132","127,002","124,941","122,793","120,600","118,869","117,147","114,819","112,524","111,630","109,722","107,718","105,723","104,007","102,459","101,364","100,362","99,726","99,738","99,774","99,984","101,175","101,427"
"Total, school type Regular programs for youth 5","131,586","129,132","127,002","124,941","122,793","120,600","118,869","117,144","114,819","112,524","111,633","109,719","107,718","105,726","104,007","102,459","101,364","100,362","99,729","99,738","99,774","99,987","101,178","101,427"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","131,586","129,129","127,002","124,944","122,790","120,600","118,869","117,147","114,819","112,011","110,289","108,408","106,392","104,421","102,579","101,079","99,921","98,907","97,911","97,842","97,755","97,893","98,967","97,263"
Public school Regular programs for youth 5,"131,586","129,132","127,002","124,941","122,790","120,600","118,869","117,147","114,819","112,014","110,289","108,405","106,395","104,421","102,579","101,079","99,921","98,904","97,911","97,842","97,755","97,896","98,967","97,263"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,0,816,819,795,753,768,750,765,762,"1,110","1,134","1,218","1,257","1,272","1,530"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,816,819,792,753,765,750,762,765,"1,110","1,134","1,218","1,257","1,272","1,530"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,513,528,492,531,549,660,627,678,693,705,762,801,834,942,"2,631"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,510,528,495,531,549,660,627,681,693,708,762,801,831,942,"2,634"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
