Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","162,360","160,011","158,205","155,874","153,450","150,600","148,515","145,395","142,305","142,725","139,428","137,151","134,544","132,423","129,774","126,981","125,463","123,999","122,799","123,120","123,990","126,165","128,556","128,001"
"Total, school type Regular programs for youth 5","161,949","159,642","157,878","155,553","153,165","150,309","148,206","145,044","141,966","142,359","139,089","136,842","134,232","132,423","129,774","126,981","125,463","123,999","122,799","123,120","123,990","126,168","128,556","127,998"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",411,369,327,321,285,288,306,351,339,366,339,309,315,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","162,360","160,011","158,205","155,874","153,450","150,600","148,512","145,398","142,305","138,663","135,303","133,134","130,548","128,130","125,541","122,643","121,029","119,382","118,152","118,569","118,962","120,606","123,240","121,599"
Public school Regular programs for youth 5,"161,946","159,642","157,875","155,553","153,165","150,309","148,206","145,044","141,966","138,294","134,964","132,828","130,236","128,130","125,541","122,643","121,026","119,382","118,152","118,566","118,962","120,603","123,240","121,599"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,414,369,330,321,285,288,309,351,339,366,339,309,315,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,"3,399","3,441","3,309","3,264","3,420","3,426","3,444","3,489","3,636","3,669","3,603","3,975","4,302","4,179","3,957"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"3,399","3,441","3,309","3,264","3,420","3,426","3,444","3,489","3,636","3,669","3,603","3,975","4,299","4,179","3,957"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,663,681,708,732,873,807,894,948,981,981,948,"1,053","1,263","1,137","2,442"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,663,684,705,732,873,807,894,948,981,978,948,"1,053","1,263","1,134","2,439"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
