Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","101,769","97,557","94,116","90,234","86,970","84,336","81,510","79,482","76,806","75,180","72,933","71,493","70,398","69,600","68,688","68,313","68,403","68,250","67,764","67,329","66,477","65,343","64,758","64,494"
"Total, school type Regular programs for youth 5","101,766","97,557","94,119","90,234","86,970","84,336","81,510","79,485","76,806","75,177","72,933","71,493","70,398","69,600","68,688","68,310","68,406","68,250","67,767","67,329","66,480","65,343","64,758","64,494"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","101,769","97,557","94,119","90,231","86,973","84,339","81,510","79,482","76,806","74,343","72,108","70,641","69,663","68,655","67,827","67,479","67,293","67,167","66,654","66,183","65,286","64,188","63,570","62,964"
Public school Regular programs for youth 5,"101,769","97,557","94,119","90,231","86,970","84,336","81,510","79,485","76,806","74,343","72,111","70,641","69,666","68,655","67,830","67,479","67,293","67,167","66,654","66,183","65,283","64,188","63,570","62,964"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,834,825,852,732,873,753,708,966,957,966,"1,005","1,077","1,005","1,035",984
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,834,825,852,735,870,756,708,969,957,966,"1,005","1,077","1,005","1,035",987
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,0,..,..,..,75,105,126,144,126,147,141,117,147,153,543
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,..,..,..,75,105,126,144,126,144,141,117,147,150,543
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
