Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type",0,0,"9,585","8,754","8,739","8,901","9,117","9,354","9,129","9,066","9,021","9,276","9,039","8,871","8,904","9,087","9,729","9,891","10,026","10,038","10,107","10,650","10,725","10,902"
"Total, school type Regular programs for youth 5",0,0,"9,582","8,754","8,739","8,901","9,120","9,354","9,129","9,066","9,021","9,276","9,039","8,871","8,907","9,087","9,729","9,888","10,026","10,041","10,107","10,650","10,728","10,902"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type",0,0,"9,582","8,751","8,739","8,901","9,120","9,354","9,129","9,063","9,024","9,279","9,039","8,871","8,904","9,087","9,729","9,891","10,026","10,041","10,107","10,653","10,725","10,902"
Public school Regular programs for youth 5,0,0,"9,582","8,754","8,739","8,901","9,117","9,354","9,129","9,063","9,024","9,276","9,042","8,874","8,907","9,084","9,729","9,888","10,029","10,038","10,107","10,650","10,725","10,902"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
