Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","2,095,629","2,111,622","2,131,626","2,143,599","2,163,108","2,164,941","2,129,742","2,123,904","2,118,543","2,221,422","2,208,771","2,193,381","2,177,688","2,168,094","2,162,604","2,157,126","2,146,026","2,140,152","2,135,448","2,152,479","2,174,391","2,200,749","2,220,585","2,192,193"
"Total, school type Regular programs for youth 5","2,095,632","2,111,622","2,131,626","2,143,599","2,163,108","2,164,941","2,129,742","2,123,904","2,118,543","2,221,422","2,208,771","2,193,384","2,177,691","2,168,094","2,162,604","2,157,126","2,146,029","2,140,152","2,135,451","2,152,479","2,174,391","2,200,749","2,220,585","2,192,193"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","2,095,632","2,111,622","2,131,626","2,143,599","2,163,108","2,164,941","2,129,742","2,123,904","2,118,543","2,103,465","2,087,589","2,070,738","2,061,390","2,051,865","2,043,117","2,031,195","2,015,385","2,003,238","1,993,431","2,006,703","2,020,245","2,040,483","2,056,059","2,025,258"
Public school Regular programs for youth 5,"2,095,629","2,111,622","2,131,626","2,143,599","2,163,108","2,164,938","2,129,742","2,123,904","2,118,543","2,103,465","2,087,589","2,070,735","2,061,390","2,051,865","2,043,117","2,031,195","2,015,385","2,003,238","1,993,431","2,006,700","2,020,245","2,040,483","2,056,059","2,025,258"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,"114,375","117,474","119,145","112,716","111,486","114,537","120,249","124,143","129,609","133,944","138,411","146,310","151,077","154,638","143,469"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"114,375","117,474","119,145","112,716","111,486","114,540","120,252","124,143","129,609","133,944","138,414","146,310","151,077","154,638","143,466"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,"3,582","3,711","3,501","3,585","4,743","4,950","5,679","6,504","7,311","8,073","7,365","7,836","9,192","9,891","23,466"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"3,582","3,711","3,501","3,585","4,746","4,950","5,682","6,504","7,311","8,073","7,365","7,839","9,192","9,888","23,469"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
