Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","24,399","24,147","24,087","23,151","22,842","23,241","22,905","22,392","21,948","21,411","21,063","20,595","20,202","21,432","21,120","20,700","20,427","20,256","20,073","20,475","20,691","20,970","21,399","21,756"
"Total, school type Regular programs for youth 5","24,396","24,147","24,090","23,154","22,842","23,241","22,905","22,395","21,948","21,411","21,063","20,595","20,202","21,432","21,120","20,700","20,427","20,256","20,073","20,475","20,691","20,973","21,402","21,753"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","24,396","24,144","24,090","23,154","22,842","23,244","22,905","22,395","21,948","21,366","20,811","20,322","19,953","21,162","20,832","20,406","20,130","19,938","19,713","20,007","20,187","20,361","20,733","20,640"
Public school Regular programs for youth 5,"24,399","24,144","24,090","23,154","22,845","23,244","22,905","22,392","21,948","21,366","20,814","20,325","19,956","21,162","20,832","20,406","20,130","19,938","19,710","20,007","20,187","20,361","20,733","20,640"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,0,195,213,192,204,207,210,210,225,240,276,342,441,474,558
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,192,210,192,204,207,210,210,225,240,276,339,441,474,558
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,45,54,60,57,69,81,81,84,90,120,189,162,171,195,558
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,45,54,57,57,69,81,81,84,93,123,189,162,171,192,555
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
