Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","196,014","194,796","192,885","186,588","183,024","184,605","182,130","178,710","175,587","169,713","171,189","170,526","171,810","171,078","172,551","176,085","178,479","181,545","183,894","187,536","189,999","191,994","194,367","192,036"
"Total, school type Regular programs for youth 5","193,920","192,648","190,896","184,494","180,711","182,553","179,883","176,118","172,833","166,722","168,348","167,532","168,408","169,665","171,324","175,017","177,195","180,456","182,385","186,024","188,625","190,860","193,230","190,884"
"Total, school type General programs for adults 6","2,091","2,148","1,989","2,091","2,313","2,052","2,244","2,592","2,757","2,991","2,844","2,994","3,402","1,410","1,227","1,065","1,281","1,089","1,506","1,512","1,374","1,134","1,137","1,152"
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","196,014","194,796","192,885","186,588","183,024","184,605","182,127","178,710","175,587","166,497","167,064","164,763","166,002","165,573","166,863","169,728","171,987","174,747","177,081","180,651","182,655","183,972","186,066","181,506"
Public school Regular programs for youth 5,"193,923","192,651","190,896","184,494","180,711","182,553","179,883","176,115","172,833","163,518","164,250","161,796","162,630","164,163","165,639","168,669","170,715","173,664","175,593","179,148","181,290","182,844","184,941","180,363"
Public school General programs for adults 6,"2,091","2,145","1,989","2,094","2,313","2,052","2,244","2,592","2,757","2,979","2,817","2,964","3,375","1,410","1,224","1,056","1,272","1,083","1,488","1,506","1,368","1,125","1,128","1,140"
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,"2,004","2,334","3,975","3,891","3,555","3,693","4,368","4,395","4,638","4,572","4,521","4,857","5,412","5,523","5,871"
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"1,998","2,316","3,948","3,867","3,555","3,690","4,359","4,386","4,632","4,554","4,512","4,854","5,406","5,511","5,859"
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,6,21,27,24,3,6,9,6,6,21,9,6,6,9,12
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,"1,212","1,791","1,788","1,917","1,950","1,995","1,989","2,097","2,163","2,238","2,364","2,484","2,607","2,778","4,662"
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,"1,206","1,782","1,782","1,914","1,947","1,992","1,989","2,097","2,160","2,241","2,364","2,484","2,607","2,781","4,662"
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,6,6,6,3,0,3,0,0,0,0,0,0,0,0,0
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
