Program type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, school type Total, program type","6,333","6,102","5,976","5,763","5,610","5,610","5,520","5,460","5,334","5,229","5,226","5,004","5,010","5,148","5,133","5,151","5,292","5,331","5,334","5,496","5,556","5,619","5,823","5,943"
"Total, school type Regular programs for youth 5","6,333","6,102","5,976","5,763","5,607","5,610","5,520","5,460","5,337","5,226","5,226","5,004","5,010","5,148","5,133","5,151","5,295","5,331","5,334","5,496","5,559","5,616","5,820","5,943"
"Total, school type General programs for adults 6",0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total, school type Vocational programs for youth and adults 7",0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public school Total, program type","6,333","6,102","5,973","5,763","5,607","5,610","5,520","5,460","5,334","5,229","5,229","5,004","5,010","5,085","5,037","5,049","5,139","5,184","5,199","5,343","5,391","5,448","5,637","5,721"
Public school Regular programs for youth 5,"6,333","6,102","5,973","5,766","5,607","5,610","5,520","5,460","5,334","5,229","5,229","5,007","5,010","5,085","5,037","5,049","5,136","5,184","5,199","5,340","5,391","5,448","5,637","5,721"
Public school General programs for adults 6,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Public school Vocational programs for youth and adults 7,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
"Priviate school Total, program type",..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Priviate school Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Home-schooling Total, program type",..,..,..,..,..,..,..,..,..,0,..,..,..,63,96,102,153,147,135,153,165,171,186,222
Home-schooling Regular programs for youth 5,..,..,..,..,..,..,..,..,..,0,..,..,..,60,96,105,156,147,135,153,165,171,186,225
Home-schooling General programs for adults 6,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Home-schooling Vocational programs for youth and adults 7,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
