,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","42,897","42,125","40,368","39,941","38,968","37,913","37,027","37,994","38,312","37,161","37,749","38,751","40,340","40,747","42,054","45,096","48,845","50,563","51,508","50,633","50,845","52,452","53,184","55,591","56,749","55,715","53,561","52,342","51,689","48,970","49,844"
"1_Live births_Canada, place of residence of mother 10","42,834","42,080","40,329","39,902","38,935","37,894","36,988","37,953","38,258","37,111","37,721","38,729","40,320","40,722","42,036","45,088","48,832","50,557","51,494","50,622","50,834","52,441","53,172","55,568","56,734","55,674","53,513","52,325","51,657","48,908","49,779"
1_Live births_Place of residence of mother outside Canada 11,63,45,39,39,33,19,39,41,54,50,28,22,20,25,18,8,13,6,14,11,11,11,12,23,15,41,48,17,32,62,65
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"532,299","543,387","546,402","549,633","548,124","554,397","552,594","550,983","551,742","599,316","598,386","602,031","605,355","610,896","607,722","626,343","645,012","664,296","678,966","692,538","707,391","717,750","729,510","720,681"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"532,299","543,387","546,402","549,633","548,124","554,397","552,594","550,983","551,742","599,316","598,383","602,028","605,355","610,896","607,722","626,343","645,009","664,299","678,969","692,538","707,391","717,750","729,513","720,678"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"532,302","543,387","546,402","549,633","548,121","554,397","552,591","550,983","551,739","560,562","559,116","564,051","567,813","573,102","574,911","591,399","608,169","625,683","640,872","652,272","665,877","673,788","683,280","664,908"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"532,299","543,387","546,402","549,633","548,121","554,397","552,594","550,983","551,742","560,565","559,119","564,051","567,813","573,102","574,911","591,399","608,169","625,680","640,872","652,272","665,877","673,788","683,280","664,911"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,"28,767","29,520","27,867","27,690","27,831","22,425","24,159","25,707","27,129","26,775","27,537","28,488","30,270","31,503","30,465"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,"28,767","29,520","27,864","27,690","27,828","22,425","24,159","25,707","27,129","26,775","27,537","28,488","30,270","31,500","30,465"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,"9,984","9,747","10,113","9,855","9,966","10,386","10,785","11,136","11,484","11,322","12,732","13,023","13,689","14,730","25,305"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,"9,984","9,747","10,113","9,855","9,969","10,386","10,785","11,136","11,487","11,322","12,732","13,023","13,689","14,730","25,305"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Alberta 9 10,,,,,,,,,,,,"34,761","37,350","39,390","40,293","40,557","40,542","42,516","45,627","44,781","44,643","44,211","44,391","45,123","46,662","47,289",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"84,627","85,453","86,694","87,650","88,733","90,569","95,881","99,926","103,400","109,056","113,401","118,171","121,996","127,383","135,755","145,800","155,026","160,594","160,352","166,158","172,803","178,826","185,565","191,420","193,254","194,981","200,620","205,167","205,538","195,800","203,156"
4_Canada_gdp_yearly_Household final consumption expenditure,"55,596","56,153","57,798","60,049","61,384","63,141","67,818","70,331","72,753","76,562","79,482","82,922","85,675","90,352","97,393","106,167","113,253","116,219","114,744","119,496","124,331","129,511","135,916","141,034","141,740","141,241","145,319","147,923","148,463","138,969","145,215"
4_Canada_gdp_yearly_Goods,"24,310","24,378","25,045","25,832","26,184","27,000","29,149","30,554","31,495","33,520","35,034","36,859","37,884","40,054","43,206","47,713","51,049","52,051","50,127","51,896","54,150","57,001","60,153","62,838","61,557","60,325","62,820","63,579","63,137","61,615","64,143"
4_Canada_gdp_yearly_Durable goods,"5,004","4,946","5,157","5,399","5,441","5,803","6,815","7,097","7,350","8,180","8,844","9,589","9,969","10,658","12,196","14,234","15,689","15,828","14,029","14,716","15,677","16,960","18,421","19,551","18,250","17,386","18,730","18,777","18,203","17,076","18,354"
4_Canada_gdp_yearly_Semi-durable goods,"3,184","3,257","3,355","3,446","3,611","3,727","3,942","4,213","4,316","4,623","5,002","5,296","5,552","5,946","6,558","7,395","8,127","8,476","8,210","8,694","9,347","10,116","10,562","10,945","10,826","10,645","10,803","10,952","11,037","9,876","11,570"
4_Canada_gdp_yearly_Non-durable goods,"17,591","17,637","17,976","18,434","18,518","18,756","19,471","20,344","20,961","21,698","21,967","22,650","22,964","24,016","24,801","26,227","27,239","27,740","27,957","28,519","29,132","29,925","31,172","32,348","32,478","32,301","33,276","33,839","33,888","34,605","34,273"
4_Canada_gdp_yearly_Services,"31,332","31,868","32,860","34,368","35,398","36,331","38,847","39,907","41,409","43,145","44,520","46,093","47,851","50,346","54,234","58,426","62,158","64,142","64,621","67,606","70,186","72,510","75,767","78,211","80,126","80,803","82,418","84,249","85,208","77,323","81,039"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,"1,010","1,076","1,044","1,007","1,087","1,274","1,552","1,690","1,809","1,959","2,117","2,363","2,209","2,103","2,329","2,282","2,341","2,495","2,409","2,375","2,527","2,640","2,709","2,675","2,804","2,952","2,960","3,066","3,241","3,071","3,136"
4_Canada_gdp_yearly_General governments final consumption expenditure,"29,407","29,590","29,024","27,369","26,850","26,553","26,642","28,135","29,083","30,837","32,149","33,240","34,450","35,132","36,098","37,246","39,283","41,827","43,223","44,295","45,951","46,675","46,942","47,723","48,708","50,741","52,294","54,117","53,772","53,625","54,700"
4_Canada_gdp_yearly_Gross fixed capital formation,"26,750","26,318","29,127","33,530","33,405","35,273","44,736","49,546","47,195","55,078","61,262","60,689","64,836","71,406","87,007","95,815","97,835","99,417","73,829","90,987","100,906","112,250","124,703","130,401","104,527","84,618","85,214","84,302","78,543","67,834","71,887"
4_Canada_gdp_yearly_Business gross fixed capital formation,"22,426","22,104","25,081","29,844","29,994","31,754","41,187","45,666","42,841","50,065","55,036","54,140","58,865","65,131","79,476","86,956","87,671","88,126","62,507","78,178","88,452","99,697","112,904","119,421","92,636","72,513","73,155","73,549","68,779","57,372","62,044"
4_Canada_gdp_yearly_Residential structures,"7,113","8,238","8,364","8,291","7,308","8,387","10,633","11,277","10,806","11,064","12,322","14,530","13,975","14,618","16,518","17,200","17,321","15,418","13,416","15,941","15,239","17,179","19,017","20,728","20,637","17,555","17,928","17,608","15,931","15,426","18,741"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","13,772","13,053","14,915","18,306","18,690","19,603","25,406","27,509","26,542","31,433","34,285","33,415","38,003","42,867","53,068","59,775","61,862","65,441","43,630","55,368","65,347","73,706","85,186","90,006","66,040","50,267","49,794","50,181","47,139","36,980","38,640"
4_Canada_gdp_yearly_Non-residential structures,"12,891","10,742","13,372","18,015","17,980","17,436","22,922","21,227","20,785","24,640","26,541","24,794","27,277","30,798","37,527","40,534","42,475","46,429","27,866","39,553","47,393","53,823","63,734","67,683","49,458","37,866","37,379","35,940","33,187","25,629","27,538"
