Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,5_Household spending,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government,8_Canadian government finance statistics for the federal government
Canada_1991,"404,246","403,816",430,,,,,,,,,,,,,,,,,,3311630,2165296,993379,200693,127303,707942,1170461,43929,1136180,825794,667789,276549,344835,254621,122801,47915,4583,154377,-39802,-39666,-42230,4038,982834,836771,142663,848235,651186,212578,-5201,4277433,4148929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1992,"399,441","399,103",338,,,,,,,,,,,,,,,,,,3355540,2196564,1000780,201207,128336,714535,1195586,46584,1145424,801525,645645,296718,313051,214692,118624,47633,4762,152065,-42011,-42125,-37707,-4327,1055900,900699,151379,891733,691016,214900,-7978,4315941,4168845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1993,"389,436","389,029",407,,,,,,,,,,,,,,,,,,3397366,2237984,1018152,203388,132178,726184,1219806,46880,1143135,792216,634683,286388,300442,212015,111373,59403,5091,153351,-7131,-7134,-13647,7370,1169887,1001114,164116,958461,750443,220696,-2018,4430782,4201584,,,"1,355,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1994,"386,591","386,237",354,,,,,,,,,,,,,,,,,,3455468,2305186,1052848,212288,137812,745730,1251898,45919,1130152,845289,682264,298139,321890,224351,120491,72767,5240,158479,9689,9700,5642,4355,1319814,1130902,183210,1037981,830454,216234,2198,4629922,4312678,,,"1,342,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1995,"379,036","378,682",354,,,,,,,,,,,,,,,,,,3501031,2355362,1071022,214008,143943,755238,1284344,48385,1118925,833754,671177,253449,339481,227140,130993,75279,5606,157698,43948,43911,39425,4414,1436832,1233870,196558,1098010,889281,214813,2,4754651,4346732,,,"1,329,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1996,"367,205","366,831",374,,,,,,,,,,,,,,,,,,3557328,2420055,1094246,223614,145440,766270,1326408,54964,1097577,881883,722200,277854,361256,230540,144095,81932,5889,153917,6291,6237,-594,7337,1519068,1298356,215211,1156885,936636,226834,-2365,4831637,4450942,,,"1,325,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1997,"349,893","349,532",361,,,,,,,,,,,,,,,,,,3678796,2530037,1150159,252672,151008,779849,1379953,66663,1091049,984884,832779,299789,436940,274215,176326,85818,6016,144987,40863,40940,44525,-4819,1649650,1414115,228845,1323008,1092921,233408,6357,5038433,4675117,,,"1,314,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1998,"343,262","342,950",312,"5,352,183","5,106,681","154,209","91,296","5,352,183","5,106,684","154,206","91,296",,,,,,,,,,3771691,2600649,1188511,264087,158761,796411,1411676,66920,1112033,1016738,864636,288980,459815,268103,194592,98975,4146,146851,26026,26052,23502,2437,1806647,1537248,263667,1393098,1160404,234677,3058,5234738,4800083,,,"1,312,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_1999,"338,180","337,795",385,"5,357,244","5,115,531","149,904","91,809","5,357,244","5,115,531","149,904","91,809",,,,,,,,,,3902882,2697917,1240060,285079,164138,818230,1456846,75264,1136100,1068908,899134,300547,482038,281040,203912,98157,4888,164180,26774,26724,22208,4776,2002281,1716270,278047,1505316,1260309,246336,7747,5505003,4983628,,,"1,321,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_2000,"328,972","328,577",395,"5,372,733","5,125,884","146,640","100,212","5,372,733","5,125,884","146,637","100,212",,,,,,,,,,4055186,2806890,1293923,305463,172440,839365,1511634,79088,1175146,1123057,946792,313778,498873,278126,217220,115497,5390,170086,58382,58350,55197,2566,2183001,1872094,302184,1633074,1371564,262562,5378,5790032,5190319,,,"1,343,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
