,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","17,728","17,073","17,155","16,858","16,461","15,832","14,964","14,871","14,769","14,611","14,468","14,335","14,393","14,294","14,581","15,009","15,698","15,915","16,371","16,255","16,045","16,800","16,914","16,984","17,134","17,400","17,500","17,542","17,186","16,908","14,561"
"1_Live births_Canada, place of residence of mother 10","17,718","17,059","17,141","16,844","16,442","15,816","14,947","14,853","14,758","14,592","14,459","14,315","14,378","14,288","14,568","14,997","15,693","15,912","16,363","16,249","16,039","16,791","16,909","16,978","17,123","17,386","17,471","17,506","17,144","16,883","14,552"
1_Live births_Place of residence of mother outside Canada 11,10,14,14,14,19,16,17,18,11,19,9,20,15,6,13,12,5,3,8,6,6,9,5,6,11,14,29,36,42,25,9
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"192,312","192,630","197,067","189,912","188,907","186,891","186,285","184,353","182,373","193,761","193,332","192,201","192,381","192,711","194,148","195,171","195,432","196,341","198,132","200,226","202,545","204,249","205,908","202,089"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"192,309","192,630","197,067","189,912","188,907","186,891","186,288","184,353","182,370","193,764","193,335","192,201","192,381","192,711","194,148","195,171","195,429","196,341","198,132","200,223","202,545","204,249","205,908","202,089"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"192,309","192,630","197,067","189,912","188,907","186,894","186,288","184,353","182,370","180,042","179,319","177,960","177,498","177,678","178,917","179,289","179,106","179,733","181,023","183,015","184,710","186,522","187,893","179,874"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"192,312","192,630","197,067","189,912","188,907","186,894","186,288","184,353","182,373","180,045","179,322","177,963","177,498","177,678","178,920","179,292","179,106","179,736","181,020","183,015","184,707","186,522","187,893","179,877"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,"12,546","12,780","12,951","13,206","13,398","13,416","13,491","13,515","13,641","13,833","13,818","14,196","14,022","14,325","14,184"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,"12,543","12,780","12,951","13,203","13,398","13,416","13,491","13,512","13,641","13,833","13,815","14,196","14,019","14,325","14,184"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,"1,176","1,236","1,290","1,677","1,635","1,815","2,388","2,808","2,964","3,276","3,390","3,639","3,708","3,690","8,025"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,"1,176","1,236","1,290","1,677","1,635","1,812","2,385","2,811","2,964","3,276","3,393","3,639","3,708","3,690","8,028"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
3_Number of full-time and part-time educators_Manitoba 6 8,,,,,,,,,,,,"14,139","14,445","14,280","14,211","14,250","14,346","14,322","14,334","14,433","13,065","13,479","13,662","13,707","13,908","14,097",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"32,663","32,676","32,918","33,210","33,833","34,124","35,156","35,706","36,453","37,344","38,017","39,097","40,047","41,109","42,054","43,057","44,931","46,847","47,314","48,412","50,006","51,257","52,084","52,747","53,464","54,267","55,991","57,137","57,852","55,878","59,193"
4_Canada_gdp_yearly_Household final consumption expenditure,"20,529","20,664","21,042","21,572","22,050","22,329","23,123","23,365","23,793","24,291","24,704","25,442","25,869","26,726","27,538","28,436","29,868","30,871","31,243","32,391","33,166","33,907","34,822","35,783","36,301","36,833","38,196","39,008","39,456","36,878","38,922"
4_Canada_gdp_yearly_Goods,"9,246","9,189","9,342","9,535","9,737","9,974","10,366","10,449","10,656","10,925","11,209","11,725","11,958","12,385","12,642","13,055","13,783","14,405","14,558","14,975","15,288","15,525","16,011","16,510","16,662","16,862","17,603","18,021","18,054","17,934","19,090"
4_Canada_gdp_yearly_Durable goods,"1,647","1,653","1,655","1,720","1,754","1,902","2,140","2,158","2,211","2,299","2,409","2,648","2,707","2,852","3,005","3,147","3,427","3,723","3,695","3,826","3,969","4,195","4,498","4,766","4,820","4,858","5,141","5,229","5,188","5,095","5,650"
4_Canada_gdp_yearly_Semi-durable goods,"1,127","1,124","1,159","1,179","1,238","1,235","1,273","1,306","1,340","1,379","1,453","1,526","1,568","1,654","1,729","1,876","2,002","2,145","2,157","2,252","2,335","2,429","2,462","2,554","2,645","2,668","2,793","2,875","2,885","2,592","3,132"
4_Canada_gdp_yearly_Non-durable goods,"6,850","6,778","6,900","7,003","7,097","7,162","7,209","7,226","7,341","7,470","7,533","7,694","7,821","7,996","7,990","8,082","8,382","8,542","8,717","8,902","8,986","8,901","9,053","9,194","9,203","9,342","9,673","9,923","9,986","10,236","10,328"
4_Canada_gdp_yearly_Services,"11,298","11,510","11,738","12,082","12,360","12,389","12,787","12,950","13,170","13,395","13,516","13,722","13,913","14,340","14,905","15,390","16,090","16,465","16,685","17,416","17,878","18,382","18,811","19,274","19,638","19,968","20,597","20,993","21,398","19,012","19,914"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,467,506,499,461,551,590,721,783,846,871,884,952,969,837,873,899,948,"1,076","1,010",973,"1,080","1,093","1,160","1,123","1,221","1,301","1,325","1,364","1,353","1,355","1,347"
4_Canada_gdp_yearly_General governments final consumption expenditure,"11,912","11,711","11,539","11,282","11,298","11,245","11,311","11,579","11,846","12,232","12,484","12,752","13,290","13,609","13,678","13,732","14,109","14,906","15,063","15,047","15,761","16,257","16,108","15,859","15,965","16,160","16,505","16,803","17,078","17,597","18,856"
4_Canada_gdp_yearly_Gross fixed capital formation,"5,458","5,302","5,479","5,642","5,875","6,530","7,206","7,336","7,666","7,569","7,989","8,026","8,218","8,847","9,128","10,070","10,900","11,870","11,196","13,010","12,872","13,570","13,668","14,184","14,306","13,721","14,308","14,192","13,975","12,767","12,838"
