Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Manitoba_1991,"17,728","17,718",10,,,,,,,,,,,,,,,,,,"32,663","20,529","9,246","1,647","1,127","6,850","11,298",467,"11,912","5,458","4,028","1,536","2,306","1,790",840,211,35,"1,443",-475,-471,-405,13,"13,627","5,670","5,117",565,"8,129","3,163","5,101","14,797","5,063","3,965","1,202","10,147","5,214","4,927",279,"37,004","38,105",,,
Manitoba_1992,"17,073","17,059",14,,,,,,,,,,,,,,,,,,"32,676","20,664","9,189","1,653","1,124","6,778","11,510",506,"11,711","5,302","3,864","1,556","2,138","1,585",810,232,31,"1,461",-520,-520,-443,7,"14,728","6,077","5,462",630,"8,845","3,348","5,651","15,047","5,297","4,175","1,220","10,115","5,099","5,006",-172,"37,272","37,953",,,
Manitoba_1993,"17,155","17,141",14,,,,,,,,,,,,,,,,,,"32,918","21,042","9,342","1,655","1,159","6,900","11,738",499,"11,539","5,479","4,108","1,788","2,163","1,325",931,287,35,"1,375",-365,-366,-176,-231,"14,652","6,284","5,641",661,"8,519","3,169","5,507","15,643","5,677","4,481","1,297","10,275","4,924","5,342",37,"37,304","38,378",,,"43,260"
Manitoba_1994,"16,858","16,844",14,,,,,,,,,,,,,,,,,,"33,210","21,572","9,535","1,720","1,179","7,003","12,082",461,"11,282","5,642","4,119","2,072","1,961","1,314",800,346,37,"1,544",380,380,53,452,"16,305","7,052","6,232",859,"9,410","3,785","5,745","17,107","6,547","5,341","1,254","10,735","5,320","5,401",79,"38,774","38,839",,,"42,675"
Manitoba_1995,"16,461","16,442",19,,,,,,,,,,,,,,,,,,"33,833","22,050","9,737","1,754","1,238","7,097","12,360",551,"11,298","5,875","4,387","1,837","2,327","1,578",942,333,37,"1,498",227,226,146,83,"16,847","7,159","6,361",828,"9,878","4,259","5,681","18,248","7,366","6,057","1,344","10,879","5,259","5,614",132,"38,795","39,704",,,"41,058"
Manitoba_1996,"15,832","15,816",16,,,,,,,,,,,,,,,,,,"34,124","22,329","9,974","1,902","1,235","7,162","12,389",590,"11,245","6,530","5,078","2,069","2,728","1,941","1,067",384,41,"1,430",495,495,103,507,"17,755","7,803","6,908",936,"10,096","4,514","5,606","19,258","7,390","6,010","1,440","12,040","6,215","5,788",-26,"39,800","40,683",,,"38,379"
Manitoba_1997,"14,964","14,947",17,,,,,,,,,,,,,,,,,,"35,156","23,123","10,366","2,140","1,273","7,209","12,787",721,"11,311","7,206","5,846","1,892","3,527","2,259","1,486",316,82,"1,247",790,791,778,-138,"19,556","9,411","8,414","1,025","10,146","4,568","5,595","21,586","8,714","7,249","1,483","12,883","6,599","6,248",266,"41,525","42,414",,,"37,797"
Manitoba_1998,"14,871","14,853",18,"192,312","192,309",0.0,0.0,"192,309","192,312",0.0,0.0,,,,,,,,,,"35,706","23,365","10,449","2,158","1,306","7,226","12,950",783,"11,579","7,336","5,956","1,872","3,591","2,389","1,474",365,44,"1,319",-184,-184,-235,129,"21,830","10,460","9,346","1,146","11,380","4,954","6,480","21,925","8,946","7,519","1,426","12,947","6,477","6,441",236,"43,381","43,096",,,"37,068"
Manitoba_1999,"14,769","14,758",11,"192,630","192,630",0.0,0.0,"192,630","192,630",0.0,0.0,,,,,,,,,,"36,453","23,793","10,656","2,211","1,340","7,341","13,170",846,"11,846","7,666","6,034","1,781","3,635","2,108","1,631",457,84,"1,543",436,435,350,31,"22,072","10,275","9,074","1,251","11,854","5,161","6,750","23,008","9,045","7,603","1,441","14,084","7,294","6,748",59,"43,990","44,182",,,"37,428"
Manitoba_2000,"14,611","14,592",19,"197,067","197,067",0.0,0.0,"197,067","197,067",0.0,0.0,,,,,,,,,,"37,344","24,291","10,925","2,299","1,379","7,470","13,395",871,"12,232","7,569","6,040","1,814","3,669","1,675","1,862",399,64,"1,456",319,318,35,413,"23,467","10,660","9,539","1,152","12,910","5,714","7,243","23,479","9,416","7,868","1,554","14,112","7,179","6,902",167,"45,856","44,972",,,"38,241"
Manitoba_2001,"14,468","14,459",9,"189,912","189,912",0.0,0.0,"189,912","189,912",0.0,0.0,,,,,,,,,,"38,017","24,704","11,209","2,409","1,453","7,533","13,516",884,"12,484","7,989","6,352","2,027","3,741","1,914","1,797",470,72,"1,557",-441,-441,-249,-214,"24,145","11,115","9,965","1,178","13,108","5,898","7,241","23,992","9,054","7,564","1,497","15,204","8,016","7,118",160,"46,346","46,067","1,151,454",71.0,"40,641"
Manitoba_2002,"14,335","14,315",20,"188,907","188,907",0.0,0.0,"188,907","188,907",0.0,0.0,,,,,,,,,"14,139","39,097","25,442","11,725","2,648","1,526","7,694","13,722",952,"12,752","8,026","6,393","2,245","3,654","1,787","1,797",453,94,"1,524",-25,-23,93,-185,"24,181","11,367","10,168","1,232","12,850","5,906","6,953","24,666","9,624","8,095","1,529","15,187","7,878","7,254",96,"47,142","47,186","1,156,680",70.2,"43,008"
Manitoba_2003,"14,393","14,378",15,"186,891","186,891",0.0,0.0,"186,894","186,894",0.0,0.0,,,,,,,,,"14,445","40,047","25,869","11,958","2,707","1,568","7,821","13,913",969,"13,290","8,218","6,529","2,388","3,612","1,862","1,727",526,82,"1,596",958,956,378,764,"24,532","11,509","10,314","1,226","13,062","6,098","6,959","26,301","10,353","8,743","1,608","16,073","8,523","7,471",10,"47,766","48,331","1,163,596",69.5,"44,667"
Manitoba_2004,"14,294","14,288",6,"186,285","186,288",0.0,0.0,"186,288","186,288",0.0,0.0,,,,,,,,,"14,280","41,109","26,726","12,385","2,852","1,654","7,996","14,340",837,"13,609","8,847","7,125","2,641","3,955","1,886","1,978",534,50,"1,659",283,283,331,-200,"25,557","11,968","10,851","1,133","13,634","6,404","7,218","27,195","10,897","9,214","1,681","16,379","8,345","7,999",14,"48,948","50,011","1,173,238",68.6,"47,931"
Manitoba_2005,"14,581","14,568",13,"184,353","184,353",0.0,0.0,"184,353","184,353",0.0,0.0,,,,,,,,,"14,211","42,054","27,538","12,642","3,005","1,729","7,990","14,905",873,"13,678","9,128","7,165","2,801","3,732","1,652","1,945",680,108,"1,844",24,24,188,-339,"26,544","13,005","11,685","1,350","13,501","6,049","7,479","27,925","11,545","9,757","1,786","16,403","8,111","8,297",119,"50,322","51,233","1,178,264",68.0,"49,692"
Manitoba_2006,"15,009","14,997",12,"182,373","182,370",0.0,0.0,"182,370","182,373",0.0,0.0,,,,,,,,,"14,250","43,057","28,436","13,055","3,147","1,876","8,082","15,390",899,"13,732","10,070","7,774","2,918","4,293","2,201","2,032",585,109,"2,183","1,193","1,195",668,601,"27,707","13,348","12,012","1,365","14,353","6,349","8,043","30,029","12,397","10,380","2,016","17,660","8,626","9,057",-16,"52,166","53,149","1,183,562",67.6,"55,452"
Manitoba_2007,"15,698","15,693",5,"193,761","193,764",0.0,0.0,"180,042","180,045",0.0,0.0,"12,546","12,543",0.0,0.0,"1,176","1,176",0.0,0.0,"14,346","44,931","29,868","13,783","3,427","2,002","8,382","16,090",948,"14,109","10,900","8,384","3,105","4,614","2,221","2,295",685,73,"2,445",205,203,338,-260,"30,435","14,919","13,556","1,377","15,460","7,196","8,281","33,312","14,250","12,204","2,044","19,048","9,899","9,105",5,"53,501","55,841","1,189,451",67.3,"50,085"
Manitoba_2008,"15,915","15,912",3,"193,332","193,335",0.0,0.0,"179,319","179,322",0.0,0.0,"12,780","12,780",0.0,0.0,"1,236","1,236",0.0,0.0,"14,322","46,847","30,871","14,405","3,723","2,145","8,542","16,465","1,076","14,906","11,870","9,135","3,141","5,280","2,894","2,331",716,88,"2,648",613,608,278,372,"30,328","14,755","13,467","1,297","15,536","7,338","8,212","34,434","15,475","13,254","2,219","18,912","9,213","9,731",-4,"55,454","58,720","1,197,775",67.2,"49,305"
Manitoba_2009,"16,371","16,363",8,"192,201","192,201",0.0,0.0,"177,960","177,963",0.0,0.0,"12,951","12,951",0.0,0.0,"1,290","1,290",0.0,0.0,"14,334","47,314","31,243","14,558","3,695","2,157","8,717","16,685","1,010","15,063","11,196","8,593","3,118","4,903","3,004","1,897",585,100,"2,502",-278,-269,-311,94,"30,403","14,437","12,991","1,452","15,962","8,192","7,769","33,574","13,187","11,238","1,948","20,462","10,300","10,159",-20,"55,370","58,512","1,208,556",67.1,"51,300"
Manitoba_2010,"16,255","16,249",6,"192,381","192,381",0.0,0.0,"177,498","177,498",0.0,0.0,"13,206","13,203",0.0,0.0,"1,677","1,677",0.0,0.0,"14,433","48,412","32,391","14,975","3,826","2,252","8,902","17,416",973,"15,047","13,010","9,867","3,313","5,803","3,680","2,135",749,106,"3,037",-546,-563,86,-785,"30,793","14,486","12,907","1,578","16,304","8,350","7,953","35,273","14,713","12,572","2,140","20,570","10,037","10,530",-51,"56,727","61,418","1,220,780",66.8,"54,945"
Manitoba_2011,"16,045","16,039",6,"192,711","192,711",,,"177,678","177,678",,,"13,398","13,398",,,"1,635","1,635",,,"13,065","50,006","33,166","15,288","3,969","2,335","8,986","17,878","1,080","15,761","12,872","9,843","3,396","5,746","3,497","2,254",701,95,"2,934",-304,-297,368,-734,"31,698","15,360","13,782","1,580","16,343","8,309","8,033","36,597","15,519","13,357","2,162","21,080","10,247","10,831",-35,"58,087","62,880","1,233,649",66.7,"62,001"
Manitoba_2012,"16,800","16,791",9,"194,148","194,148",,,"178,917","178,920",,,"13,416","13,416",,,"1,815","1,812",,,"13,479","51,257","33,907","15,525","4,195","2,429","8,901","18,382","1,093","16,257","13,570","10,327","3,559","6,028","3,334","2,694",740,95,"3,148",896,859,17,842,"32,162","15,056","13,403","1,654","17,106","8,929","8,177","37,998","17,063","14,679","2,384","20,935","9,961","10,973",-41,"59,846","64,827","1,249,975",66.9,"60,702"
