,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","9,651","9,568","9,197","9,114","8,759","8,353","8,101","8,056","7,735","7,544","7,347","7,193","7,255","7,089","6,967","7,087","7,232","7,463","7,492","7,467","7,208","7,116","7,011","7,010","6,639","6,681","6,543","6,391","6,317","6,222","6,355"
"1_Live births_Canada, place of residence of mother 10","9,644","9,554","9,184","9,098","8,748","8,338","8,090","8,043","7,724","7,535","7,337","7,185","7,244","7,083","6,965","7,084","7,226","7,462","7,491","7,467","7,206","7,115","7,008","7,007","6,637","6,673","6,539","6,389","6,314","6,218","6,353"
1_Live births_Place of residence of mother outside Canada 11,7,14,13,16,11,15,11,13,11,9,10,8,11,6,2,3,6,1,1,0,2,1,3,3,2,8,4,2,3,4,2
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"131,586","129,132","127,002","124,941","122,793","120,600","118,869","117,147","114,819","112,524","111,630","109,722","107,718","105,723","104,007","102,459","101,364","100,362","99,726","99,738","99,774","99,984","101,175","101,427"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"131,586","129,132","127,002","124,941","122,793","120,600","118,869","117,144","114,819","112,524","111,633","109,719","107,718","105,726","104,007","102,459","101,364","100,362","99,729","99,738","99,774","99,987","101,178","101,427"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"131,586","129,129","127,002","124,944","122,790","120,600","118,869","117,147","114,819","112,011","110,289","108,408","106,392","104,421","102,579","101,079","99,921","98,907","97,911","97,842","97,755","97,893","98,967","97,263"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"131,586","129,132","127,002","124,941","122,790","120,600","118,869","117,147","114,819","112,014","110,289","108,405","106,395","104,421","102,579","101,079","99,921","98,904","97,911","97,842","97,755","97,896","98,967","97,263"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,0,816,819,795,753,768,750,765,762,"1,110","1,134","1,218","1,257","1,272","1,530"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,0,816,819,792,753,765,750,762,765,"1,110","1,134","1,218","1,257","1,272","1,530"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,513,528,492,531,549,660,627,678,693,705,762,801,834,942,"2,631"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,510,528,495,531,549,660,627,681,693,708,762,801,831,942,"2,634"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_New Brunswick 6,,,,,,,,,,,,"7,419","7,473","7,509","7,509","7,629","7,899","8,079","7,998","7,803","7,683","7,449","6,900","6,843","7,023","7,515",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"20,468","20,715","21,252","21,286","21,489","21,701","22,050","22,865","23,653","24,088","24,323","24,982","25,329","25,878","26,461","27,199","28,189","29,157","29,421","30,264","30,345","30,430","30,689","30,933","31,400","31,951","32,790","33,377","33,976","33,594","35,017"
4_Canada_gdp_yearly_Household final consumption expenditure,"12,480","12,663","12,885","13,032","13,355","13,661","13,961","14,381","14,909","15,352","15,470","15,963","16,217","16,681","17,034","17,604","18,350","18,980","19,269","19,739","20,117","20,315","20,717","21,114","21,439","21,643","22,303","22,550","22,900","22,254","23,129"
4_Canada_gdp_yearly_Goods,"6,565","6,600","6,714","6,755","6,899","7,043","7,310","7,577","7,924","8,104","8,089","8,385","8,441","8,669","8,738","9,039","9,437","9,780","9,943","10,174","10,371","10,370","10,591","10,887","11,139","11,257","11,584","11,625","11,841","11,915","12,373"
4_Canada_gdp_yearly_Durable goods,"1,158","1,165","1,195","1,177","1,206","1,245","1,404","1,509","1,639","1,703","1,686","1,777","1,803","1,863","1,917","2,040","2,167","2,366","2,391","2,535","2,599","2,657","2,784","2,887","2,998","3,083","3,224","3,177","3,264","3,126","3,425"
4_Canada_gdp_yearly_Semi-durable goods,733,740,752,760,800,818,834,876,911,941,959,"1,005","1,018","1,057","1,105","1,194","1,260","1,311","1,328","1,392","1,393","1,452","1,487","1,538","1,590","1,575","1,622","1,648","1,703","1,712","1,919"
4_Canada_gdp_yearly_Non-durable goods,"4,955","4,973","5,043","5,110","5,169","5,251","5,284","5,369","5,523","5,591","5,569","5,713","5,723","5,844","5,787","5,847","6,041","6,115","6,239","6,247","6,382","6,261","6,320","6,462","6,550","6,597","6,733","6,798","6,872","7,082","7,036"
4_Canada_gdp_yearly_Services,"5,905","6,058","6,167","6,275","6,454","6,617","6,647","6,799","6,979","7,243","7,378","7,573","7,773","8,011","8,297","8,565","8,913","9,200","9,326","9,565","9,745","9,945","10,126","10,229","10,305","10,392","10,724","10,927","11,062","10,359","10,775"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,228,221,222,218,214,227,283,304,354,359,366,372,353,326,352,371,356,360,352,356,357,356,364,362,369,415,421,435,446,449,455
4_Canada_gdp_yearly_General governments final consumption expenditure,"7,950","8,015","8,362","8,221","8,058","7,911","7,881","8,281","8,485","8,434","8,551","8,698","8,806","8,901","9,108","9,244","9,493","9,827","9,807","10,179","9,872","9,759","9,610","9,464","9,598","9,895","10,071","10,393","10,630","10,875","11,413"
4_Canada_gdp_yearly_Gross fixed capital formation,"3,599","3,370","3,242","3,158","3,467","3,746","3,485","4,068","5,008","5,059","4,336","4,441","4,893","5,293","5,654","6,682","7,347","7,294","6,495","6,695","7,105","6,157","5,700","5,590","5,521","5,452","6,104","6,555","5,955","5,987","6,410"
4_Canada_gdp_yearly_Business gross fixed capital formation,"2,522","2,333","2,143","2,091","2,284","2,573","2,457","3,003","3,722","3,848","3,237","3,372","3,778","4,070","4,286","5,175","5,336","5,845","5,042","4,871","4,832","4,426","4,270","4,086","4,141","3,893","4,438","4,808","4,645","4,530","4,940"
4_Canada_gdp_yearly_Residential structures,885,938,943,965,797,906,961,940,986,"1,194","1,331","1,519","1,600","1,692","1,696","1,713","1,867","1,855","1,797","1,844","1,818","1,824","1,687","1,636","1,652","1,656","1,715","1,775","1,848","1,991","2,372"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","1,493","1,287","1,102","1,009","1,287","1,442","1,315","1,787","2,376","2,336","1,687","1,663","2,003","2,118","2,272","3,083","3,025","3,588","2,915","2,683","2,656","2,291","2,295","2,128","2,210","1,933","2,358","2,622","2,384","2,123","2,129"
4_Canada_gdp_yearly_Non-residential structures,"1,187",614,466,636,887,948,692,"1,006","1,752","1,522",810,789,"1,190",880,905,"1,645","1,696","2,249","1,601","1,235","1,023","1,026",943,816,823,850,"1,084","1,156","1,094","1,130","1,057"
4_Canada_gdp_yearly_Machinery and equipment,537,640,573,436,525,608,634,830,900,989,870,864,900,"1,195","1,310","1,461","1,367","1,418","1,347","1,453","1,633","1,265","1,353","1,314","1,389","1,090","1,284","1,476","1,300","1,006","1,088"
4_Canada_gdp_yearly_Intellectual property products,106,110,128,166,173,199,184,203,205,210,232,242,204,289,337,369,442,388,327,344,357,311,288,321,278,312,363,404,412,422,439
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,23,22,20,26,22,26,23,15,22,23,26,31,27,16,42,43,29,33,35,46,47,57,22,32,26,21,16,19,25,23,28
4_Canada_gdp_yearly_General governments gross fixed capital formation,"1,089","1,057","1,151","1,108","1,240","1,200","1,038","1,058","1,267","1,173","1,070","1,024","1,061","1,183","1,308","1,428","1,977","1,378","1,393","1,772","2,228","1,674","1,408","1,472","1,354","1,537","1,648","1,726","1,284","1,434","1,437"
4_Canada_gdp_yearly_Investment in inventories,-33,-138,-7,-22,-3,-5,229,-2,335,393,99,8,89,66,53,173,-56,16,-18,232,214,171,83,163,51,273,176,216,292,-538,-768
4_Canada_gdp_yearly_Of which: business investment in inventories,-33,-138,-8,-22,-3,-5,229,-1,335,393,99,10,88,66,52,175,-57,23,-19,235,212,128,90,190,32,270,193,208,293,-536,-809
4_Canada_gdp_yearly_Non-farm,-26,-149,9,-14,-8,-13,213,1,336,371,101,-5,89,73,41,148,-36,44,-22,223,255,88,86,177,11,266,186,214,260,-586,-744
4_Canada_gdp_yearly_Farm,-12,35,-34,-15,12,19,17,-4,-20,21,-8,25,-9,-19,20,40,-30,-28,4,13,-47,40,4,13,21,5,8,-4,31,39,-62
4_Canada_gdp_yearly_Exports of goods and services,"13,699","14,826","15,558","16,682","17,647","18,292","18,666","19,751","20,942","21,610","24,330","25,541","26,322","26,913","27,025","26,103","26,644","25,532","25,088","26,543","26,254","26,110","26,036","25,756","25,072","24,516","25,668","24,314","24,831","23,845","24,862"
4_Canada_gdp_yearly_Exports to other countries,"6,609","7,376","7,728","8,021","8,680","9,311","9,820","10,509","11,264","12,169","14,055","15,155","15,663","16,270","16,471","15,544","15,652","15,250","14,708","15,401","14,146","14,970","15,265","15,135","14,785","13,808","14,587","13,342","13,878","13,184","14,242"
4_Canada_gdp_yearly_Exports of goods to other countries,"6,321","7,030","7,272","7,468","8,110","8,606","8,940","9,560","10,211","11,161","12,965","13,898","14,388","15,078","15,183","14,316","14,336","13,938","13,713","14,427","13,136","13,927","14,162","13,873","13,606","12,610","13,339","12,113","12,509","12,080","13,057"
4_Canada_gdp_yearly_Exports of services to other countries,342,398,484,561,585,704,853,920,"1,011",989,"1,082","1,231","1,255","1,201","1,282","1,221","1,301","1,295",992,978,"1,011","1,043","1,103","1,264","1,183","1,185","1,238","1,210","1,340","1,109","1,193"
4_Canada_gdp_yearly_Exports to other provinces,"7,279","7,644","8,033","8,896","9,200","9,195","9,035","9,435","9,878","9,604","10,415","10,492","10,765","10,740","10,648","10,643","11,064","10,370","10,436","11,183","12,125","11,141","10,776","10,627","10,299","10,630","11,015","10,867","10,867","10,557","10,574"
4_Canada_gdp_yearly_Exports of goods to other provinces,"4,581","4,823","5,145","5,824","6,065","5,909","5,803","5,947","6,128","5,712","6,362","6,307","6,627","6,434","6,046","5,680","6,773","6,110","5,830","6,569","7,366","6,570","6,286","5,573","5,680","5,886","6,242","6,173","6,385","5,870","6,082"
4_Canada_gdp_yearly_Exports of services to other provinces,"2,624","2,745","2,811","2,990","3,048","3,212","3,161","3,417","3,680","3,844","3,982","4,120","4,060","4,250","4,620","5,100","4,256","4,243","4,601","4,614","4,751","4,571","4,492","5,098","4,640","4,765","4,792","4,712","4,483","4,701","4,485"
4_Canada_gdp_yearly_Less: imports of goods and services,"16,554","16,975","17,550","17,979","18,646","19,465","20,157","21,364","23,467","24,044","24,956","25,357","26,417","27,236","28,117","28,756","30,388","30,070","29,471","31,622","31,739","31,053","30,836","30,730","30,121","30,091","31,845","31,167","31,313","30,095","30,769"
4_Canada_gdp_yearly_Imports from other countries,"6,648","7,400","8,433","9,083","9,336","9,796","10,424","11,102","12,268","12,652","13,483","13,431","13,666","14,222","14,940","14,505","14,729","14,818","16,342","17,480","17,219","18,534","19,549","19,207","18,449","18,481","19,799","19,554","19,716","18,323","18,669"
4_Canada_gdp_yearly_Imports of goods from other countries,"6,199","6,907","7,887","8,504","8,769","9,144","9,767","10,441","11,595","11,979","12,794","12,801","12,951","13,438","14,040","13,471","13,672","13,827","15,274","16,312","16,089","17,366","18,434","17,986","17,198","17,215","18,512","18,180","18,321","17,318","17,596"
4_Canada_gdp_yearly_Imports of services from other countries,439,484,542,577,574,641,658,676,713,721,750,711,771,830,928,"1,028","1,051",992,"1,071","1,166","1,131","1,167","1,117","1,218","1,242","1,255","1,287","1,357","1,376","1,059","1,117"
4_Canada_gdp_yearly_Imports from other provinces,"9,844","9,560","9,152","8,959","9,370","9,733","9,811","10,349","11,300","11,499","11,574","12,033","12,860","13,127","13,289","14,408","15,842","15,421","13,184","14,203","14,599","12,519","11,301","11,530","11,660","11,603","12,060","11,637","11,624","11,730","12,050"
4_Canada_gdp_yearly_Imports of goods from other provinces,"5,060","4,882","4,364","4,501","4,804","5,006","5,123","5,390","5,923","6,016","6,265","6,645","7,197","6,809","6,778","7,278","8,341","7,992","6,340","7,004","7,311","5,750","5,178","4,807","4,987","4,786","4,936","4,479","4,438","4,818","4,848"
4_Canada_gdp_yearly_Imports of services from other provinces,"4,777","4,668","4,757","4,438","4,548","4,708","4,670","4,939","5,359","5,464","5,293","5,373","5,648","6,321","6,521","7,149","7,511","7,435","6,818","7,193","7,289","6,769","6,123","6,734","6,680","6,817","7,121","7,151","7,179","6,912","7,203"
4_Canada_gdp_yearly_Statistical discrepancy,59,17,45,80,57,-35,118,-59,44,-23,-100,-126,-50,-22,-26,43,-27,-21,-32,-32,-17,-20,-11,6,-7,30,-3,-19,17,-3,-13
4_Canada_gdp_yearly_Gross domestic product at market prices,"21,546","21,842","22,523","22,983","23,762","24,010","24,232","25,060","26,629","27,184","27,683","28,999","29,722","30,475","30,716","31,348","31,644","31,887","31,425","32,050","32,136","31,796","31,710","31,747","31,954","32,213","33,014","33,401","33,846","32,937","34,882"
4_Canada_gdp_yearly_Final domestic demand,"24,008","23,991","24,371","24,311","24,857","25,378","25,428","26,873","28,686","29,169","28,624","29,387","30,205","31,165","32,117","33,904","35,567","36,476","35,912","36,956","37,451","36,587","36,390","36,525","36,920","37,398","38,900","39,944","39,924","39,578","41,432"
6_Estimates of population_New Brunswick,,,,,,,,,,,"749,820","749,372","749,441","749,419","748,057","745,621","745,433","746,877","749,956","753,035","755,705","758,378","758,544","758,976","758,842","763,350","766,621","770,301","777,128","783,204","789,225"
7_Dependency ratio_New Brunswick,,,,,,,,,,,60.5,59.9,59.3,58.8,58.5,58.6,58.8,58.9,59.1,59.1,59.4,60.2,61.3,62.5,63.8,65.2,66.6,68.0,69.4,70.8,71.7
9_Postsecondary enrolments_New Brunswick,,,"28,029","28,350","28,386","28,650","28,608","27,957","28,131","27,903","29,916","32,928","32,235","33,348","34,599","33,615","30,939","30,792","30,282","31,434","32,934","33,069","32,610","32,589","28,455","27,540","27,369","27,057","26,790","27,909","27,099"
