Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_New Brunswick 6,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_New Brunswick,7_Dependency ratio_New Brunswick,9_Postsecondary enrolments_New Brunswick
New Brunswick_1991,"9,651","9,644",7,,,,,,,,,,,,,,,,,,"20,468","12,480","6,565","1,158",733,"4,955","5,905",228,"7,950","3,599","2,522",885,"1,493","1,187",537,106,23,"1,089",-33,-33,-26,-12,"13,699","6,609","6,321",342,"7,279","4,581","2,624","16,554","6,648","6,199",439,"9,844","5,060","4,777",59,"21,546","24,008",,,
New Brunswick_1992,"9,568","9,554",14,,,,,,,,,,,,,,,,,,"20,715","12,663","6,600","1,165",740,"4,973","6,058",221,"8,015","3,370","2,333",938,"1,287",614,640,110,22,"1,057",-138,-138,-149,35,"14,826","7,376","7,030",398,"7,644","4,823","2,745","16,975","7,400","6,907",484,"9,560","4,882","4,668",17,"21,842","23,991",,,
New Brunswick_1993,"9,197","9,184",13,,,,,,,,,,,,,,,,,,"21,252","12,885","6,714","1,195",752,"5,043","6,167",222,"8,362","3,242","2,143",943,"1,102",466,573,128,20,"1,151",-7,-8,9,-34,"15,558","7,728","7,272",484,"8,033","5,145","2,811","17,550","8,433","7,887",542,"9,152","4,364","4,757",45,"22,523","24,371",,,"28,029"
New Brunswick_1994,"9,114","9,098",16,,,,,,,,,,,,,,,,,,"21,286","13,032","6,755","1,177",760,"5,110","6,275",218,"8,221","3,158","2,091",965,"1,009",636,436,166,26,"1,108",-22,-22,-14,-15,"16,682","8,021","7,468",561,"8,896","5,824","2,990","17,979","9,083","8,504",577,"8,959","4,501","4,438",80,"22,983","24,311",,,"28,350"
New Brunswick_1995,"8,759","8,748",11,,,,,,,,,,,,,,,,,,"21,489","13,355","6,899","1,206",800,"5,169","6,454",214,"8,058","3,467","2,284",797,"1,287",887,525,173,22,"1,240",-3,-3,-8,12,"17,647","8,680","8,110",585,"9,200","6,065","3,048","18,646","9,336","8,769",574,"9,370","4,804","4,548",57,"23,762","24,857",,,"28,386"
New Brunswick_1996,"8,353","8,338",15,,,,,,,,,,,,,,,,,,"21,701","13,661","7,043","1,245",818,"5,251","6,617",227,"7,911","3,746","2,573",906,"1,442",948,608,199,26,"1,200",-5,-5,-13,19,"18,292","9,311","8,606",704,"9,195","5,909","3,212","19,465","9,796","9,144",641,"9,733","5,006","4,708",-35,"24,010","25,378",,,"28,650"
New Brunswick_1997,"8,101","8,090",11,,,,,,,,,,,,,,,,,,"22,050","13,961","7,310","1,404",834,"5,284","6,647",283,"7,881","3,485","2,457",961,"1,315",692,634,184,23,"1,038",229,229,213,17,"18,666","9,820","8,940",853,"9,035","5,803","3,161","20,157","10,424","9,767",658,"9,811","5,123","4,670",118,"24,232","25,428",,,"28,608"
New Brunswick_1998,"8,056","8,043",13,"131,586","131,586",0,0,"131,586","131,586",0,0,,,,,,,,,,"22,865","14,381","7,577","1,509",876,"5,369","6,799",304,"8,281","4,068","3,003",940,"1,787","1,006",830,203,15,"1,058",-2,-1,1,-4,"19,751","10,509","9,560",920,"9,435","5,947","3,417","21,364","11,102","10,441",676,"10,349","5,390","4,939",-59,"25,060","26,873",,,"27,957"
New Brunswick_1999,"7,735","7,724",11,"129,132","129,132",0,0,"129,129","129,132",0,0,,,,,,,,,,"23,653","14,909","7,924","1,639",911,"5,523","6,979",354,"8,485","5,008","3,722",986,"2,376","1,752",900,205,22,"1,267",335,335,336,-20,"20,942","11,264","10,211","1,011","9,878","6,128","3,680","23,467","12,268","11,595",713,"11,300","5,923","5,359",44,"26,629","28,686",,,"28,131"
New Brunswick_2000,"7,544","7,535",9,"127,002","127,002",0,0,"127,002","127,002",0,0,,,,,,,,,,"24,088","15,352","8,104","1,703",941,"5,591","7,243",359,"8,434","5,059","3,848","1,194","2,336","1,522",989,210,23,"1,173",393,393,371,21,"21,610","12,169","11,161",989,"9,604","5,712","3,844","24,044","12,652","11,979",721,"11,499","6,016","5,464",-23,"27,184","29,169",,,"27,903"
