,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","7,194","6,950","6,435","6,351","5,872","5,782","5,428","5,015","5,072","4,886","4,719","4,686","4,630","4,507","4,526","4,580","4,577","4,905","4,936","4,888","4,501","4,409","4,548","4,593","4,488","4,475","4,105","4,022","3,767","3,598","3,839"
"1_Live births_Canada, place of residence of mother 10","7,191","6,944","6,430","6,347","5,871","5,780","5,424","5,013","5,069","4,877","4,717","4,678","4,628","4,501","4,515","4,571","4,574","4,901","4,928","4,885","4,496","4,404","4,543","4,586","4,484","4,466","4,097","4,013","3,762","3,586","3,833"
1_Live births_Place of residence of mother outside Canada 11,3,6,5,4,1,2,4,2,3,9,2,8,2,6,11,9,3,4,8,3,5,5,5,7,4,9,8,9,5,12,6
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"101,769","97,557","94,116","90,234","86,970","84,336","81,510","79,482","76,806","75,180","72,933","71,493","70,398","69,600","68,688","68,313","68,403","68,250","67,764","67,329","66,477","65,343","64,758","64,494"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"101,766","97,557","94,119","90,234","86,970","84,336","81,510","79,485","76,806","75,177","72,933","71,493","70,398","69,600","68,688","68,310","68,406","68,250","67,767","67,329","66,480","65,343","64,758","64,494"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"101,769","97,557","94,119","90,231","86,973","84,339","81,510","79,482","76,806","74,343","72,108","70,641","69,663","68,655","67,827","67,479","67,293","67,167","66,654","66,183","65,286","64,188","63,570","62,964"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"101,769","97,557","94,119","90,231","86,970","84,336","81,510","79,485","76,806","74,343","72,111","70,641","69,666","68,655","67,830","67,479","67,293","67,167","66,654","66,183","65,283","64,188","63,570","62,964"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,834,825,852,732,873,753,708,966,957,966,"1,005","1,077","1,005","1,035",984
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,834,825,852,735,870,756,708,969,957,966,"1,005","1,077","1,005","1,035",987
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,0,,,,75,105,126,144,126,147,141,117,147,153,543
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,0,,,,75,105,126,144,126,144,141,117,147,150,543
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Newfoundland and Labrador 6,,,,,,,,,,,,"8,034","7,920","7,737","7,320","7,401","7,485","7,542","7,722","7,635","7,605","7,584","7,380","7,650","6,948","7,161",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"14,454","14,605","14,544","14,635","14,681","14,570","14,762","15,389","15,899","16,430","16,781","17,279","17,717","17,795","18,076","18,504","19,825","20,178","21,106","21,779","22,169","22,448","22,730","22,869","23,200","23,285","23,386","23,595","23,906","23,193","24,566"
4_Canada_gdp_yearly_Household final consumption expenditure,"8,728","8,784","8,828","8,928","9,049","9,079","9,352","9,603","9,977","10,313","10,600","10,934","11,271","11,440","11,622","11,909","12,515","13,118","13,493","13,971","14,337","14,733","15,178","15,519","15,764","15,778","15,942","15,924","16,257","15,372","16,073"
4_Canada_gdp_yearly_Goods,"4,814","4,753","4,757","4,782","4,783","4,750","4,913","5,013","5,234","5,374","5,568","5,751","5,935","5,941","5,984","6,110","6,507","6,947","7,185","7,429","7,579","7,773","7,990","8,147","8,213","8,152","8,180","8,102","8,294","8,244","8,598"
4_Canada_gdp_yearly_Durable goods,796,764,759,774,764,746,893,945,"1,051","1,108","1,188","1,245","1,307","1,285","1,327","1,373","1,579","1,804","1,854","2,026","2,097","2,211","2,287","2,299","2,323","2,313","2,333","2,255","2,380","2,324","2,477"
4_Canada_gdp_yearly_Semi-durable goods,513,493,494,495,517,520,538,563,587,614,654,686,718,745,756,794,850,919,966,988,"1,020","1,069","1,090","1,110","1,125","1,099","1,101","1,105","1,127","1,086","1,281"
