Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Newfoundland and Labrador 6,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Newfoundland and Labrador,7_Dependency ratio_Newfoundland and Labrador,9_Postsecondary enrolments_Newfoundland and Labrador
Newfoundland and Labrador_1991,"7,194","7,191",3,,,,,,,,,,,,,,,,,,"14,454","8,728","4,814",796,513,"3,744","3,884",116,"5,740","3,104","2,359",982,"1,317","1,078",332,103,41,708,-68,-69,-69,0,"8,840","6,145","5,921",229,"2,556","1,492",763,"8,734","2,704","2,458",237,"5,941","2,759","3,204",209,"19,372","17,498",,,
Newfoundland and Labrador_1992,"6,950","6,944",6,,,,,,,,,,,,,,,,,,"14,605","8,784","4,753",764,493,"3,756","4,015",110,"5,852","3,056","2,329",828,"1,431","1,233",329,58,37,694,-105,-107,-106,0,"7,774","5,317","5,075",223,"2,319","1,258",744,"8,435","2,486","2,218",251,"5,850","2,652","3,213",149,"18,987","17,597",,,
Newfoundland and Labrador_1993,"6,435","6,430",5,,,,,,,,,,,,,,,,,,"14,544","8,828","4,757",759,494,"3,767","4,058",137,"5,694","3,545","2,783",833,"1,815","1,944",233,69,29,736,-73,-74,-73,-1,"8,154","6,171","5,887",260,"1,947",905,710,"8,960","2,833","2,537",279,"6,038","2,525","3,514",130,"19,257","18,046",,,"22,683"
Newfoundland and Labrador_1994,"6,351","6,347",4,,,,,,,,,,,,,,,,,,"14,635","8,928","4,782",774,495,"3,771","4,137",101,"5,725","4,011","3,324",877,"2,243","2,527",228,89,43,648,-54,-55,-55,1,"8,745","6,521","6,284",240,"2,166","1,149",707,"9,303","3,184","2,823",338,"6,039","2,785","3,267",73,"20,012","18,619",,,"22,548"
Newfoundland and Labrador_1995,"5,872","5,871",1,,,,,,,,,,,,,,,,,,"14,681","9,049","4,783",764,517,"3,751","4,264",130,"5,590","4,090","3,480",702,"2,420","2,516",346,182,32,583,20,21,21,0,"9,983","7,726","7,467",271,"2,240","1,186",733,"9,781","3,798","3,440",343,"5,921","2,653","3,280",74,"20,656","18,747",,,"23,346"
Newfoundland and Labrador_1996,"5,782","5,780",2,,,,,,,,,,,,,,,,,,"14,570","9,079","4,750",746,520,"3,735","4,332",125,"5,432","3,366","2,828",732,"1,817","1,708",348,191,44,499,-36,-36,-36,0,"9,876","7,614","7,292",309,"2,241","1,289",673,"9,509","3,769","3,412",341,"5,682","2,617","3,076",109,"19,682","17,887",,,"22,077"
Newfoundland and Labrador_1997,"5,428","5,424",4,,,,,,,,,,,,,,,,,,"14,762","9,352","4,913",893,538,"3,668","4,441",165,"5,262","3,777","3,288",839,"2,206","1,972",473,126,24,469,235,237,238,-1,"10,520","8,291","7,845",393,"2,230","1,198",717,"10,618","4,658","4,264",384,"5,916","2,669","3,259",-124,"19,908","18,501",,,"21,864"
Newfoundland and Labrador_1998,"5,015","5,013",2,"101,769","101,766",0,0,"101,769","101,769",0,0,,,,,,,,,,"15,389","9,603","5,013",945,563,"3,668","4,594",184,"5,651","3,808","3,184",849,"2,023","1,657",512,224,15,608,-36,-37,-37,0,"12,432","9,695","9,110",497,"2,723","1,625",786,"11,299","5,222","4,825",395,"6,047","2,419","3,634",-50,"20,895","19,151",,,"21,948"
Newfoundland and Labrador_1999,"5,072","5,069",3,"97,557","97,557",0,0,"97,557","97,557",0,0,,,,,,,,,,"15,899","9,977","5,234","1,051",587,"3,732","4,745",209,"5,749","4,853","4,032",860,"2,509","2,340",487,505,26,795,-34,-34,-36,3,"13,311","10,373","9,863",465,"2,921","1,900",757,"12,629","5,774","5,358",420,"6,819","2,652","4,170",9,"22,144","20,752",,,"22,155"
Newfoundland and Labrador_2000,"4,886","4,877",9,"94,116","94,119",0,0,"94,119","94,119",0,0,,,,,,,,,,"16,430","10,313","5,374","1,108",614,"3,771","4,944",203,"5,952","4,330","3,514",895,"2,282","1,339",867,223,26,787,236,239,239,0,"14,912","10,926","10,393",486,"3,953","2,823",886,"13,175","6,488","6,084",423,"6,664","2,691","3,976",8,"23,334","20,731",,,"23,820"
