,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 11 12",,,,,,,,,,773,704,709,730,735,771,758,806,820,804,766,751,748,765,753,761,720,715,739,632,666,628
"1_Live births_Canada, place of residence of mother 11",,,,,,,,,,773,704,709,730,735,771,758,806,820,804,766,751,747,765,752,761,720,715,739,632,666,628
1_Live births_Place of residence of mother outside Canada 12,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"17,562","18,066","9,753","9,672","9,708","9,747","9,720","9,606","9,570","9,399","9,126","8,826","8,634","8,634","8,577","8,400","8,205","8,382","8,367","8,421","8,802","8,607","8,721","8,700"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"17,562","18,069","9,753","9,672","9,708","9,747","9,717","9,606","9,573","9,399","9,129","8,826","8,634","8,634","8,577","8,400","8,205","8,382","8,367","8,421","8,799","8,604","8,721","8,703"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"17,565","18,066","9,753","9,672","9,705","9,747","9,720","9,609","9,570","9,333","9,048","8,763","8,565","8,577","8,511","8,331","8,175","8,316","8,298","8,337","8,733","8,493","8,568","8,520"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"17,565","18,069","9,753","9,672","9,708","9,747","9,717","9,606","9,570","9,333","9,048","8,763","8,565","8,577","8,511","8,328","8,172","8,319","8,301","8,337","8,733","8,493","8,568","8,520"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,69,78,63,72,60,63,69,30,66,66,84,69,111,153,180
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,69,78,63,72,57,63,72,30,66,66,84,69,111,153,180
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,
3_Number of full-time and part-time educators_Northwest Territories,,,,,,,,,,,,645,681,678,669,672,714,720,705,687,630,672,672,666,654,645,,,,,
