Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 11 12","1_Live births_Canada, place of residence of mother 11",1_Live births_Place of residence of mother outside Canada 12,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Northwest Territories,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Northwest Territories,7_Dependency ratio_Northwest Territories,9_Postsecondary enrolments_Territories
Northwestern_1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern_1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern_1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,455"
Northwestern_1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,899"
Northwestern_1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,253"
Northwestern_1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,398"
Northwestern_1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,329"
Northwestern_1998,,,,"17,562","17,562",0,0,"17,565","17,565",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,464"
Northwestern_1999,,,,"18,066","18,069",0,0,"18,066","18,069",0,0,,,,,,,,,,"2,758","1,079",519,80,70,383,560,48,"1,644",753,590,53,272,166,90,278,0,166,0,0,0,0,"1,453",549,477,84,"1,083",773,316,"1,635",387,326,63,"1,276",579,703,-32,"3,369","3,493",,,"1,656"
Northwestern_2000,773,773,0,"9,753","9,753",0,0,"9,753","9,753",0,0,,,,,,,,,,"2,815","1,108",536,87,74,387,572,55,"1,664","1,095",958,40,616,581,94,306,0,134,28,28,28,0,"1,792",717,644,75,"1,240",941,328,"2,117",535,461,73,"1,604",665,940,-11,"3,594","3,908",,,"1,491"
Northwestern_2001,704,704,0,"9,672","9,672",0,0,"9,672","9,672",0,0,,,,,,,,,,"2,973","1,154",560,89,81,401,594,56,"1,778","1,757","1,559",51,"1,021","1,024",124,490,0,192,-25,-25,-25,0,"2,145",906,828,76,"1,399","1,079",356,"2,485",618,528,89,"1,899",843,"1,062",-28,"4,350","4,757","40,845",62.8,"1,428"
Northwestern_2002,709,709,0,"9,708","9,708",0,0,"9,705","9,708",0,0,,,,,,,,,645,"3,009","1,201",584,101,82,409,616,44,"1,775","1,646","1,408",118,754,570,190,555,0,237,-7,-7,-7,0,"2,446","1,274","1,185",85,"1,238",933,331,"2,467",635,550,84,"1,851",868,993,-3,"4,654","4,676","41,699",61,"1,554"
Northwestern_2003,730,730,0,"9,747","9,747",0,0,"9,747","9,747",0,0,,,,,,,,,681,"3,107","1,245",596,108,85,409,649,63,"1,811","1,041",835,98,449,400,80,297,0,209,66,66,66,0,"3,386","2,102","2,000",98,"1,272",857,417,"2,399",622,529,93,"1,793",751,"1,044",-5,"5,265","4,160","42,600",59.4,"1,482"
