,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","12,086","11,983","11,683","11,225","10,840","10,652","10,040","9,685","9,631","9,151","8,929","8,684","8,678","8,840","8,674","8,630","9,021","9,309","9,110","8,944","8,948","8,844","8,526","8,745","8,296","8,429","8,359","8,037","8,172","7,683","7,029"
"1_Live births_Canada, place of residence of mother 10","12,076","11,980","11,674","11,214","10,836","10,649","10,034","9,681","9,626","9,146","8,928","8,676","8,675","8,832","8,667","8,623","9,013","9,300","9,094","8,937","8,944","8,836","8,510","8,727","8,282","8,411","8,336","8,018","8,148","7,673","7,021"
1_Live births_Place of residence of mother outside Canada 11,10,3,9,11,4,3,6,4,5,5,1,8,3,8,7,7,8,9,16,7,4,8,16,18,14,18,23,19,24,10,8
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"162,360","160,011","158,205","155,874","153,450","150,600","148,515","145,395","142,305","142,725","139,428","137,151","134,544","132,423","129,774","126,981","125,463","123,999","122,799","123,120","123,990","126,165","128,556","128,001"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"161,949","159,642","157,878","155,553","153,165","150,309","148,206","145,044","141,966","142,359","139,089","136,842","134,232","132,423","129,774","126,981","125,463","123,999","122,799","123,120","123,990","126,168","128,556","127,998"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,411,369,327,321,285,288,306,351,339,366,339,309,315,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"162,360","160,011","158,205","155,874","153,450","150,600","148,512","145,398","142,305","138,663","135,303","133,134","130,548","128,130","125,541","122,643","121,029","119,382","118,152","118,569","118,962","120,606","123,240","121,599"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"161,946","159,642","157,875","155,553","153,165","150,309","148,206","145,044","141,966","138,294","134,964","132,828","130,236","128,130","125,541","122,643","121,026","119,382","118,152","118,566","118,962","120,603","123,240","121,599"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,414,369,330,321,285,288,309,351,339,366,339,309,315,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,"3,399","3,441","3,309","3,264","3,420","3,426","3,444","3,489","3,636","3,669","3,603","3,975","4,302","4,179","3,957"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,"3,399","3,441","3,309","3,264","3,420","3,426","3,444","3,489","3,636","3,669","3,603","3,975","4,299","4,179","3,957"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,663,681,708,732,873,807,894,948,981,981,948,"1,053","1,263","1,137","2,442"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,663,684,705,732,873,807,894,948,981,978,948,"1,053","1,263","1,134","2,439"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
