Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Nova Scotia,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Nova Scotia,7_Dependency ratio_Nova Scotia,9_Postsecondary enrolments_Nova Scotia
Nova Scotia_1991,"12,086","12,076",10,,,,,,,,,,,,,,,,,,"27,872","16,395","8,603","1,345",940,"6,728","7,787",329,"11,492","5,055","3,457","1,373","1,912","1,418",728,111,43,"1,621",-40,-38,-31,-11,"8,654","3,729","3,114",577,"5,065","2,506","2,543","14,624","5,476","4,921",571,"9,423","4,986","4,449",103,"26,591","32,828",,,
Nova Scotia_1992,"11,983","11,980",3,,,,,,,,,,,,,,,,,,"28,174","16,732","8,665","1,370",933,"6,777","8,069",320,"11,435","4,402","2,785","1,374","1,357","1,104",474,109,45,"1,655",40,40,38,4,"9,182","3,968","3,306",624,"5,359","2,744","2,605","14,322","5,425","4,867",576,"9,157","4,614","4,536",-83,"26,927","32,381",,,
Nova Scotia_1993,"11,683","11,674",9,,,,,,,,,,,,,,,,,,"28,663","17,006","8,839","1,406",959,"6,885","8,168",326,"11,653","4,431","2,698","1,449","1,213",798,505,137,44,"1,784",40,40,38,1,"9,433","4,171","3,437",707,"5,387","2,718","2,658","14,869","5,901","5,288",634,"9,189","4,486","4,694",-150,"27,073","32,888",,,"41,175"
Nova Scotia_1994,"11,225","11,214",11,,,,,,,,,,,,,,,,,,"28,778","17,316","8,915","1,419",964,"6,950","8,404",315,"11,423","4,495","2,923","1,464","1,359",630,679,175,47,"1,597",-88,-88,-80,-9,"9,442","4,200","3,369",838,"5,360","2,659","2,688","15,254","6,132","5,455",701,"9,333","4,904","4,419",192,"27,040","33,074",,,"41,214"
Nova Scotia_1995,"10,840","10,836",4,,,,,,,,,,,,,,,,,,"28,873","17,606","8,960","1,398","1,002","6,971","8,649",337,"11,155","4,368","2,834","1,428","1,313",762,589,169,45,"1,559",75,74,72,2,"9,673","4,179","3,316",887,"5,656","2,928","2,714","15,301","6,223","5,476",777,"9,274","4,777","4,490",123,"27,365","33,021",,,"40,248"
Nova Scotia_1996,"10,652","10,649",3,,,,,,,,,,,,,,,,,,"28,947","18,018","9,072","1,449","1,022","6,989","8,948",404,"10,673","4,390","3,161","1,503","1,524",803,720,187,45,"1,213",-100,-100,-105,10,"10,558","4,883","3,901",997,"5,731","2,986","2,729","16,096","6,960","6,256",726,"9,257","4,728","4,525",129,"27,388","33,118",,,"43,725"
Nova Scotia_1997,"10,040","10,034",6,,,,,,,,,,,,,,,,,,"29,383","18,618","9,344","1,617","1,025","7,028","9,276",419,"10,434","5,371","4,184","1,529","2,383",847,"1,315",173,34,"1,150",174,173,171,1,"11,669","5,590","4,481","1,120","6,079","3,078","2,990","17,697","8,225","7,515",726,"9,494","4,824","4,666",-178,"28,496","34,649",,,"44,076"
Nova Scotia_1998,"9,685","9,681",4,"162,360","161,949",0,411,"162,360","161,946",0,414,,,,,,,,,,"30,299","19,162","9,681","1,730","1,086","7,148","9,484",437,"10,798","5,734","4,677","1,346","2,826","2,339",945,285,18,"1,019",-40,-39,-39,0,"11,979","5,771","4,645","1,133","6,195","3,080","3,104","18,087","8,414","7,597",836,"9,693","4,726","4,968",-46,"29,558","35,950",,,"44,784"
Nova Scotia_1999,"9,631","9,626",5,"160,011","159,642",0,369,"160,011","159,642",0,369,,,,,,,,,,"31,259","19,937","10,136","1,866","1,132","7,401","9,805",534,"10,864","6,844","5,754","1,597","3,443","3,038","1,062",441,35,"1,012",291,291,296,-10,"12,468","6,024","4,889","1,128","6,426","3,320","3,095","19,583","9,289","8,470",840,"10,285","4,863","5,425",-53,"31,116","38,132",,,"44,604"
Nova Scotia_2000,"9,151","9,146",5,"158,205","157,878",0,327,"158,205","157,875",0,330,,,,,,,,,,"31,740","20,446","10,398","1,975","1,162","7,492","10,052",574,"10,773","6,329","4,995","1,768","2,561","1,514","1,162",583,33,"1,287",224,223,225,-5,"13,650","6,863","5,608","1,234","6,693","3,412","3,272","19,846","9,363","8,474",910,"10,484","5,117","5,365",36,"32,041","38,034",,,"45,069"
