,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",,,,,,,,,,386,366,391,424,435,366,427,480,481,487,482,447,468,490,483,437,456,440,411,385,504,462
"1_Live births_Canada, place of residence of mother 10",,,,,,,,,,386,366,391,424,435,366,427,480,481,487,482,447,468,490,483,437,455,440,411,385,504,462
1_Live births_Place of residence of mother outside Canada 11,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,0,0,"9,585","8,754","8,739","8,901","9,117","9,354","9,129","9,066","9,021","9,276","9,039","8,871","8,904","9,087","9,729","9,891","10,026","10,038","10,107","10,650","10,725","10,902"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,0,0,"9,582","8,754","8,739","8,901","9,120","9,354","9,129","9,066","9,021","9,276","9,039","8,871","8,907","9,087","9,729","9,888","10,026","10,041","10,107","10,650","10,728","10,902"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,0,0,"9,582","8,751","8,739","8,901","9,120","9,354","9,129","9,063","9,024","9,279","9,039","8,871","8,904","9,087","9,729","9,891","10,026","10,041","10,107","10,653","10,725","10,902"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,0,0,"9,582","8,754","8,739","8,901","9,117","9,354","9,129","9,063","9,024","9,276","9,042","8,874","8,907","9,084","9,729","9,888","10,029","10,038","10,107","10,650","10,725","10,902"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Nunavut,,,,,,,,,,,,537,528,624,711,702,705,654,651,666,666,801,573,783,762,864,,,,,
4_Canada_gdp_yearly_Final consumption expenditure,,,,,,,,,"1,550","1,641","1,723","1,814","1,852","1,874","1,900","1,946","2,066","2,164","2,162","2,203","2,198","2,251","2,254","2,271","2,401","2,427","2,505","2,683","2,659","2,717","2,826"
4_Canada_gdp_yearly_Household final consumption expenditure,,,,,,,,,432,451,469,494,521,538,554,578,597,630,642,670,693,715,733,747,771,781,799,808,818,810,828
4_Canada_gdp_yearly_Goods,,,,,,,,,191,202,212,225,238,243,250,262,269,280,288,298,309,319,329,330,346,349,364,371,375,397,405
4_Canada_gdp_yearly_Durable goods,,,,,,,,,16,17,19,21,23,24,26,27,29,32,34,34,35,38,40,40,43,45,48,51,53,57,60
4_Canada_gdp_yearly_Semi-durable goods,,,,,,,,,33,36,39,42,45,47,48,52,56,60,61,64,67,70,75,74,79,80,86,93,96,109,132
4_Canada_gdp_yearly_Non-durable goods,,,,,,,,,147,154,157,164,172,175,177,184,185,189,193,200,207,211,214,216,224,224,230,228,227,234,217
4_Canada_gdp_yearly_Services,,,,,,,,,241,249,256,269,284,294,304,316,328,349,354,372,384,396,404,417,425,432,436,439,445,415,424
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,,,,,,,,,21,20,25,35,40,38,39,42,46,52,50,45,50,52,48,39,42,45,44,49,48,57,59
4_Canada_gdp_yearly_General governments final consumption expenditure,,,,,,,,,"1,105","1,181","1,241","1,293","1,295","1,302","1,310","1,327","1,425","1,485","1,471","1,490","1,456","1,484","1,473","1,487","1,589","1,602","1,662","1,822","1,790","1,843","1,931"
4_Canada_gdp_yearly_Gross fixed capital formation,,,,,,,,,393,358,398,395,548,606,637,618,964,"1,426",860,953,"1,122",895,"1,216",940,975,"1,003","1,447","1,866","1,709",993,"1,106"
4_Canada_gdp_yearly_Business gross fixed capital formation,,,,,,,,,242,210,231,242,337,434,508,468,759,"1,235",582,696,857,738,"1,013",668,687,698,"1,125","1,549","1,356",798,963
