Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Nunavut,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Nunavut,7_Dependency ratio_Nunavut,9_Postsecondary enrolments_Territories
Nunavut_1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut_1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut_1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,455"
Nunavut_1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,899"
Nunavut_1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,253"
Nunavut_1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,398"
Nunavut_1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,329"
Nunavut_1998,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,464"
Nunavut_1999,,,,0,0,0,0,0,0,0,0,,,,,,,,,,"1,550",432,191,16,33,147,241,21,"1,105",393,242,72,168,177,32,16,0,145,0,0,0,0,325,186,176,20,76,6,62,"1,021",278,226,49,733,310,422,-12,"1,255","1,955",,,"1,656"
Nunavut_2000,386,386,0,"9,585","9,582",0,0,"9,582","9,582",0,0,,,,,,,,,,"1,641",451,202,17,36,154,249,20,"1,181",358,210,72,109,101,25,46,0,143,-44,-44,-44,0,403,245,236,21,76,6,62,"1,060",280,234,44,772,311,461,-10,"1,310","2,013",,,"1,491"
Nunavut_2001,366,366,0,"8,754","8,754",0,0,"8,751","8,754",0,0,,,,,,,,,,"1,723",469,212,19,39,157,256,25,"1,241",398,231,46,164,162,35,27,1,160,-37,-37,-37,0,403,239,229,22,85,7,68,"1,123",319,254,60,792,313,478,3,"1,392","2,135","28,133",92.8,"1,428"
Nunavut_2002,391,391,0,"8,739","8,739",0,0,"8,739","8,739",0,0,,,,,,,,,537,"1,814",494,225,21,42,164,269,35,"1,293",395,242,48,94,59,31,104,1,147,-182,-182,-182,0,419,194,180,25,163,10,135,"1,013",257,206,47,750,292,458,-1,"1,423","2,225","28,822",91.1,"1,554"
Nunavut_2003,424,424,0,"8,901","8,901",0,0,"8,901","8,901",0,0,,,,,,,,,528,"1,852",521,238,23,45,172,284,40,"1,295",548,337,38,155,107,48,142,1,202,-64,-63,-63,0,207,55,30,27,139,11,112,"1,119",286,251,37,825,350,475,-10,"1,423","2,406","29,322",90.4,"1,482"
Nunavut_2004,435,435,0,"9,117","9,120",0,0,"9,120","9,117",0,0,,,,,,,,,624,"1,874",538,243,24,47,175,294,38,"1,302",606,434,43,148,109,43,234,0,170,-63,-63,-63,0,214,57,32,27,145,8,122,"1,140",252,222,31,883,405,477,-8,"1,487","2,482","29,857",89,"1,419"
