Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Nunavut_1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut_1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut_1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,455"
Nunavut_1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,899"
Nunavut_1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,253"
Nunavut_1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,398"
Nunavut_1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,329"
Nunavut_1998,,,,0,0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,464"
Nunavut_1999,,,,0,0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,"1,550",432.0,191.0,16.0,33.0,147.0,241.0,21.0,"1,105",393,242,72.0,168,177.0,32.0,16.0,0.0,145.0,0.0,0.0,0.0,0.0,325,186.0,176.0,20.0,76,6.0,62.0,"1,021",278,226,49.0,733,310.0,422,-12.0,"1,255","1,955",,,"1,656"
Nunavut_2000,386.0,386.0,0.0,"9,585","9,582",0.0,0.0,"9,582","9,582",0.0,0.0,,,,,,,,,,"1,641",451.0,202.0,17.0,36.0,154.0,249.0,20.0,"1,181",358,210,72.0,109,101.0,25.0,46.0,0.0,143.0,-44.0,-44.0,-44.0,0.0,403,245.0,236.0,21.0,76,6.0,62.0,"1,060",280,234,44.0,772,311.0,461,-10.0,"1,310","2,013",,,"1,491"
Nunavut_2001,366.0,366.0,0.0,"8,754","8,754",0.0,0.0,"8,751","8,754",0.0,0.0,,,,,,,,,,"1,723",469.0,212.0,19.0,39.0,157.0,256.0,25.0,"1,241",398,231,46.0,164,162.0,35.0,27.0,1.0,160.0,-37.0,-37.0,-37.0,0.0,403,239.0,229.0,22.0,85,7.0,68.0,"1,123",319,254,60.0,792,313.0,478,3.0,"1,392","2,135","28,133",92.8,"1,428"
Nunavut_2002,391.0,391.0,0.0,"8,739","8,739",0.0,0.0,"8,739","8,739",0.0,0.0,,,,,,,,,537.0,"1,814",494.0,225.0,21.0,42.0,164.0,269.0,35.0,"1,293",395,242,48.0,94,59.0,31.0,104.0,1.0,147.0,-182.0,-182.0,-182.0,0.0,419,194.0,180.0,25.0,163,10.0,135.0,"1,013",257,206,47.0,750,292.0,458,-1.0,"1,423","2,225","28,822",91.1,"1,554"
