,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","153,640","152,124","149,465","149,332","147,998","141,534","134,690","133,874","132,255","128,733","133,397","130,398","133,014","135,271","137,887","139,733","141,803","144,826","144,623","142,723","142,944","144,173","141,990","142,299","141,744","142,731","142,678","142,647","142,690","138,196","142,122"
"1_Live births_Canada, place of residence of mother 10","153,523","152,051","149,331","149,203","147,875","141,388","134,549","133,733","132,089","128,572","133,228","130,260","132,873","135,079","137,684","139,581","141,698","144,720","144,575","142,658","142,883","144,119","141,935","142,242","141,663","142,659","142,574","142,562","142,641","137,907","141,766"
1_Live births_Place of residence of mother outside Canada 11,117,73,134,129,123,146,141,141,166,161,169,138,141,192,203,152,105,106,48,65,61,54,55,57,81,72,104,85,49,289,356
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"2,095,629","2,111,622","2,131,626","2,143,599","2,163,108","2,164,941","2,129,742","2,123,904","2,118,543","2,221,422","2,208,771","2,193,381","2,177,688","2,168,094","2,162,604","2,157,126","2,146,026","2,140,152","2,135,448","2,152,479","2,174,391","2,200,749","2,220,585","2,192,193"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"2,095,632","2,111,622","2,131,626","2,143,599","2,163,108","2,164,941","2,129,742","2,123,904","2,118,543","2,221,422","2,208,771","2,193,384","2,177,691","2,168,094","2,162,604","2,157,126","2,146,029","2,140,152","2,135,451","2,152,479","2,174,391","2,200,749","2,220,585","2,192,193"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"2,095,632","2,111,622","2,131,626","2,143,599","2,163,108","2,164,941","2,129,742","2,123,904","2,118,543","2,103,465","2,087,589","2,070,738","2,061,390","2,051,865","2,043,117","2,031,195","2,015,385","2,003,238","1,993,431","2,006,703","2,020,245","2,040,483","2,056,059","2,025,258"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"2,095,629","2,111,622","2,131,626","2,143,599","2,163,108","2,164,938","2,129,742","2,123,904","2,118,543","2,103,465","2,087,589","2,070,735","2,061,390","2,051,865","2,043,117","2,031,195","2,015,385","2,003,238","1,993,431","2,006,700","2,020,245","2,040,483","2,056,059","2,025,258"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,"114,375","117,474","119,145","112,716","111,486","114,537","120,249","124,143","129,609","133,944","138,411","146,310","151,077","154,638","143,469"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,"114,375","117,474","119,145","112,716","111,486","114,540","120,252","124,143","129,609","133,944","138,414","146,310","151,077","154,638","143,466"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,"3,582","3,711","3,501","3,585","4,743","4,950","5,679","6,504","7,311","8,073","7,365","7,836","9,192","9,891","23,466"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,"3,582","3,711","3,501","3,585","4,746","4,950","5,682","6,504","7,311","8,073","7,365","7,839","9,192","9,888","23,469"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Ontario 6 7,,,,,,,,,,,,"130,824","129,912","132,678","137,889","149,712","154,962","157,302","158,172","160,455","161,523","163,311","165,702","169,314","168,045","169,572",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"317,510","321,440","324,524","330,831","335,846","338,714","351,884","362,308","378,379","395,560","406,250","421,510","433,553","446,321","460,339","476,590","489,698","505,398","507,806","524,710","532,735","538,661","546,100","557,658","573,236","586,290","607,021","626,363","634,609","598,667","628,667"
4_Canada_gdp_yearly_Household final consumption expenditure,"212,429","215,110","218,103","224,329","229,167","234,509","246,112","254,934","267,017","279,843","286,845","298,338","307,030","315,520","327,313","337,858","350,919","359,500","359,358","372,425","378,684","384,259","392,569","403,041","415,132","425,153","442,979","456,275","463,908","427,043","445,853"
4_Canada_gdp_yearly_Goods,"93,537","94,059","94,850","98,350","100,094","101,535","107,427","112,420","119,154","125,311","127,771","133,784","137,554","139,869","144,177","147,927","152,971","157,382","156,492","161,846","162,620","164,715","169,289","174,856","181,145","186,432","195,949","202,846","204,506","199,445","207,666"
4_Canada_gdp_yearly_Durable goods,"19,259","19,273","19,364","20,361","20,511","21,013","23,975","25,725","28,549","30,590","31,105","33,700","34,454","34,615","36,292","37,888","39,514","41,795","41,212","43,018","43,081","43,779","45,334","48,847","51,804","55,055","59,760","62,154","62,413","57,742","61,748"
4_Canada_gdp_yearly_Semi-durable goods,"12,539","12,655","12,860","13,389","13,952","13,967","14,657","15,622","16,369","17,394","17,978","18,882","19,598","20,222","21,079","22,637","23,719","24,609","24,200","25,624","26,080","26,782","27,831","28,716","30,019","30,816","32,748","33,940","34,753","31,075","34,532"
4_Canada_gdp_yearly_Non-durable goods,"65,409","65,840","66,336","68,235","69,224","70,199","71,608","73,408","76,041","78,790","80,082","82,131","84,450","86,023","87,569","87,766","89,980","91,026","91,197","93,225","93,467","94,154","96,129","97,334","99,391","100,623","103,504","106,821","107,448","110,499","111,460"
4_Canada_gdp_yearly_Services,"118,734","121,014","123,297","125,924","129,054","133,033","138,678","142,431","147,690","154,323","158,906","164,320","169,243","175,510","183,052","189,903","197,954","202,101","202,859","210,570","216,063","219,544","223,288","228,213","234,044","238,814","247,198","253,647","259,537","228,405","239,003"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,"4,592","4,723","4,725","4,955","5,128","5,764","6,781","6,535","7,550","8,008","8,362","9,086","8,524","8,455","9,135","9,617","9,419","10,273","9,736","9,668","10,234","10,490","10,859","10,852","11,418","12,579","12,736","12,796","13,382","13,411","13,592"
