Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Ontario 6 7,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Ontario by Local Health Integration Network 8,6_Estimates of population_Ontario by Health Unit 8,7_Dependency ratio_Ontario by Local Health Integration Network 9,7_Dependency ratio_Ontario by Health Unit 9,9_Postsecondary enrolments_Ontario
Ontario_1991,"153,640","153,523",117,,,,,,,,,,,,,,,,,,"317,510","212,429","93,537","19,259","12,539","65,409","118,734","4,592","103,381","72,144","57,730","28,711","24,664","20,091","10,353","4,766",472,"13,997","-5,542","-5,521","-5,372",-75,"171,627","96,395","81,656","14,699","80,129","36,426","42,845","150,422","99,232","78,181","22,821","56,350","33,802","22,487","-1,616","400,193","389,473",,,,,
Ontario_1992,"152,124","152,051",73,,,,,,,,,,,,,,,,,,"321,440","215,110","94,059","19,273","12,655","65,840","121,014","4,723","104,505","71,967","57,709","30,015","23,880","17,489","10,753","4,912",461,"13,843","-4,753","-4,752","-4,358",-471,"177,936","104,300","88,202","16,088","77,621","33,939","42,889","158,952","106,911","85,399","22,978","56,539","32,847","23,476","1,707","405,564","393,148",,,,,
Ontario_1993,"149,465","149,331",134,,,,,,,,,,,,,,,,,,"324,524","218,103","94,850","19,364","12,860","66,336","123,297","4,725","104,472","66,412","52,760","27,393","20,862","13,985","9,887","5,864",461,"13,271","-2,314","-2,324","-2,359",99,"192,407","118,745","100,913","17,682","76,343","31,460","44,241","168,484","114,591","92,127","23,818","57,985","33,858","23,924","1,922","411,365","390,383",,,,,"469,308"
Ontario_1994,"149,332","149,203",129,,,,,,,,,,,,,,,,,,"330,831","224,329","98,350","20,361","13,389","68,235","125,924","4,955","103,976","69,869","55,219","27,936","21,776","11,924","11,339","6,751",547,"14,213",551,552,341,286,"212,701","133,571","114,172","19,026","81,440","37,156","43,246","180,105","126,996","105,136","22,329","54,854","31,858","22,790","1,256","433,727","400,246",,,,,"465,606"
Ontario_1995,"147,998","147,875",123,,,,,,,,,,,,,,,,,,"335,846","229,167","100,094","20,511","13,952","69,224","129,054","5,128","103,712","70,762","55,307","24,020","23,520","11,783","12,670","7,163",562,"15,059","3,935","3,931","3,865",18,"229,585","148,228","127,166","20,492","82,666","37,394","44,265","191,781","136,339","113,562","23,052","56,642","32,613","23,802",-607,"447,735","406,138",,,,,"463,173"
Ontario_1996,"141,534","141,388",146,,,,,,,,,,,,,,,,,,"338,714","234,509","101,535","21,013","13,967","70,199","133,033","5,764","99,788","77,231","62,328","26,320","26,952","14,087","14,284","7,971",620,"14,302",-577,-572,-630,90,"242,199","158,735","135,385","23,004","84,198","36,232","47,238","201,523","142,471","117,939","25,036","60,738","36,656","23,871",-413,"455,035","415,718",,,,,"465,450"
Ontario_1997,"134,690","134,549",141,,,,,,,,,,,,,,,,,,"351,884","246,112","107,427","23,975","14,657","71,608","138,678","6,781","99,764","85,945","71,510","30,016","31,982","15,709","17,374","7,758",561,"13,736","3,936","3,933","3,856",27,"261,968","173,414","147,431","25,744","88,901","37,075","51,231","226,709","162,378","135,695","26,943","65,193","38,556","26,393","1,068","477,053","437,792",,,,,"458,871"
Ontario_1998,"133,874","133,733",141,"2,095,629","2,095,632",0,0,"2,095,632","2,095,629",0,0,,,,,,,,,,"362,308","254,934","112,420","25,725","15,622","73,408","142,431","6,535","101,358","88,687","74,712","29,453","34,137","16,054","18,850","8,495",406,"13,364","4,636","4,641","4,560",9,"280,761","192,528","163,916","28,283","86,914","33,855","52,804","237,687","171,077","143,160","28,149","67,070","37,819","28,868",-165,"498,740","450,964",,,,,"455,859"
Ontario_1999,"132,255","132,089",166,"2,111,622","2,111,622",0,0,"2,111,622","2,111,622",0,0,,,,,,,,,,"378,379","267,017","119,154","28,549","16,369","76,041","147,690","7,550","104,117","96,972","81,057","33,023","36,990","17,879","20,212","8,477",465,"15,274",-562,-565,-516,-58,"314,033","217,932","187,733","29,277","93,991","35,267","58,625","257,701","186,377","156,570","29,958","71,342","40,308","30,634","1,160","533,253","475,439",,,,,"455,526"
Ontario_2000,"128,733","128,572",161,"2,131,626","2,131,626",0,0,"2,131,626","2,131,626",0,0,,,,,,,,,,"395,560","279,843","125,311","30,590","17,394","78,790","154,323","8,008","107,889","101,455","84,536","35,322","37,092","15,631","21,371","10,168",527,"16,222","3,914","3,904","3,987",-205,"339,144","235,720","202,659","32,153","101,057","36,994","64,087","276,749","200,960","169,665","31,347","75,466","41,529","33,526","1,325","567,019","497,109",,,,,"467,001"
