,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1,851","1,827","1,739","1,693","1,747","1,663","1,569","1,476","1,491","1,417","1,354","1,309","1,389","1,372","1,314","1,388","1,367","1,452","1,406","1,375","1,409","1,292","1,380","1,395","1,320","1,375","1,311","1,283","1,302","1,292","1,447"
"1_Live births_Canada, place of residence of mother 10","1,851","1,827","1,737","1,693","1,747","1,663","1,567","1,476","1,490","1,417","1,354","1,309","1,389","1,371","1,314","1,388","1,367","1,452","1,406","1,375","1,408","1,292","1,380","1,395","1,320","1,375","1,311","1,283","1,302","1,292","1,447"
1_Live births_Place of residence of mother outside Canada 11,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"24,399","24,147","24,087","23,151","22,842","23,241","22,905","22,392","21,948","21,411","21,063","20,595","20,202","21,432","21,120","20,700","20,427","20,256","20,073","20,475","20,691","20,970","21,399","21,756"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"24,396","24,147","24,090","23,154","22,842","23,241","22,905","22,395","21,948","21,411","21,063","20,595","20,202","21,432","21,120","20,700","20,427","20,256","20,073","20,475","20,691","20,973","21,402","21,753"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"24,396","24,144","24,090","23,154","22,842","23,244","22,905","22,395","21,948","21,366","20,811","20,322","19,953","21,162","20,832","20,406","20,130","19,938","19,713","20,007","20,187","20,361","20,733","20,640"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"24,399","24,144","24,090","23,154","22,845","23,244","22,905","22,392","21,948","21,366","20,814","20,325","19,956","21,162","20,832","20,406","20,130","19,938","19,710","20,007","20,187","20,361","20,733","20,640"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,0,195,213,192,204,207,210,210,225,240,276,342,441,474,558
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,0,192,210,192,204,207,210,210,225,240,276,339,441,474,558
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,45,54,60,57,69,81,81,84,90,120,189,162,171,195,558
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,45,54,57,57,69,81,81,84,93,123,189,162,171,192,555
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Prince Edward Island 6,,,,,,,,,,,,"1,602","1,587","1,587","1,539","1,548","1,581","1,638","1,644","1,749","1,764","1,767","1,692","1,686","1,683","1,611",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"3,533","3,541","3,582","3,625","3,706","3,823","3,927","4,032","4,271","4,418","4,528","4,590","4,723","4,826","5,083","5,209","5,306","5,456","5,557","5,744","5,820","5,818","5,833","5,862","5,924","6,046","6,187","6,337","6,496","6,425","6,931"
4_Canada_gdp_yearly_Household final consumption expenditure,"2,234","2,279","2,329","2,375","2,426","2,489","2,564","2,653","2,751","2,867","2,915","3,019","3,094","3,175","3,262","3,358","3,511","3,604","3,650","3,782","3,859","3,897","3,953","3,997","4,069","4,167","4,274","4,369","4,498","4,361","4,715"
4_Canada_gdp_yearly_Goods,"1,194","1,212","1,241","1,259","1,281","1,305","1,354","1,398","1,470","1,514","1,525","1,570","1,600","1,625","1,665","1,685","1,782","1,828","1,845","1,914","1,945","1,955","1,970","1,992","2,021","2,077","2,144","2,166","2,202","2,174","2,356"
4_Canada_gdp_yearly_Durable goods,178,183,189,193,193,199,221,232,251,269,274,288,296,310,334,342,365,379,380,423,422,455,478,498,518,554,579,567,584,574,647
4_Canada_gdp_yearly_Semi-durable goods,137,136,141,144,150,154,160,166,177,183,192,198,203,203,213,227,243,248,247,257,262,261,261,265,276,287,297,301,301,281,339
4_Canada_gdp_yearly_Non-durable goods,934,948,965,976,992,"1,003","1,016","1,041","1,077","1,089","1,081","1,103","1,120","1,127","1,126","1,120","1,178","1,204","1,221","1,234","1,262","1,239","1,231","1,230","1,228","1,235","1,267","1,299","1,318","1,321","1,371"
4_Canada_gdp_yearly_Services,"1,041","1,068","1,089","1,117","1,146","1,185","1,211","1,255","1,284","1,355","1,392","1,450","1,495","1,550","1,597","1,674","1,729","1,776","1,805","1,869","1,914","1,942","1,983","2,005","2,047","2,089","2,129","2,201","2,293","2,186","2,359"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,42,37,49,47,48,52,60,62,73,73,68,77,72,72,75,75,70,71,66,69,73,74,72,74,75,81,81,85,88,94,96
4_Canada_gdp_yearly_General governments final consumption expenditure,"1,270","1,232","1,206","1,202","1,231","1,284","1,303","1,316","1,453","1,481","1,551","1,493","1,557","1,577","1,752","1,782","1,724","1,782","1,842","1,894","1,888","1,847","1,809","1,792","1,783","1,802","1,837","1,888","1,916","1,970","2,120"
4_Canada_gdp_yearly_Gross fixed capital formation,613,513,542,624,666,721,593,617,715,766,797,820,859,892,963,"1,064","1,131","1,027","1,038",981,"1,097",965,"1,031",940,874,977,"1,193","1,210","1,336","1,381","1,467"
4_Canada_gdp_yearly_Business gross fixed capital formation,418,290,322,448,499,546,396,424,505,546,538,544,590,667,636,672,820,783,665,668,738,706,766,718,662,748,920,943,"1,039","1,028","1,107"
4_Canada_gdp_yearly_Residential structures,187,168,183,175,164,177,190,175,203,243,249,262,287,326,312,304,316,310,326,340,351,350,345,309,333,356,438,460,555,583,667
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",219,123,137,248,301,329,187,219,268,275,259,261,277,315,293,330,450,423,300,289,349,317,379,362,288,348,429,423,418,378,370
4_Canada_gdp_yearly_Non-residential structures,135,76,75,207,276,369,117,104,114,137,137,134,116,142,92,108,272,239,121,114,147,122,151,138,108,164,208,209,205,202,196
4_Canada_gdp_yearly_Machinery and equipment,103,57,69,90,98,74,88,121,154,146,134,137,162,178,194,215,190,193,179,175,203,195,228,224,180,186,224,217,216,180,178
4_Canada_gdp_yearly_Intellectual property products,8,8,11,13,11,13,21,22,23,22,27,21,27,26,33,37,49,46,40,39,37,39,42,47,43,45,54,62,70,70,71
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,5,8,9,8,9,9,8,3,7,8,9,9,8,3,12,15,16,23,5,8,9,8,12,9,7,6,6,7,9,11,10
4_Canada_gdp_yearly_General governments gross fixed capital formation,192,228,219,160,143,150,191,190,197,204,251,271,261,207,323,393,292,214,369,306,350,251,253,213,204,221,264,257,285,342,347
4_Canada_gdp_yearly_Investment in inventories,-29,40,-9,17,74,8,114,73,44,95,-67,76,38,36,-14,-9,-23,13,-112,6,16,25,63,31,19,-21,21,30,58,-146,-47
4_Canada_gdp_yearly_Of which: business investment in inventories,-28,41,-10,17,74,8,114,73,44,94,-66,77,36,35,-14,-8,-23,19,-114,7,14,21,65,32,20,-21,19,33,59,-147,-50
4_Canada_gdp_yearly_Non-farm,-16,3,6,26,30,0,87,79,44,69,9,5,36,27,8,-31,8,45,-108,-10,32,26,79,46,27,-24,25,44,23,-133,-166
4_Canada_gdp_yearly_Farm,-19,75,-29,-17,66,14,30,-22,-6,30,-114,103,-6,10,-36,39,-44,-35,-2,19,-20,-5,-14,-14,-7,3,-5,-9,33,-16,90
4_Canada_gdp_yearly_Exports of goods and services,"1,114","1,255","1,325","1,336","1,445","1,493","1,643","1,870","2,033","2,118","2,086","2,079","2,197","2,290","2,277","2,328","2,503","2,463","2,354","2,385","2,420","2,467","2,555","2,665","2,874","2,888","2,998","2,998","3,070","3,074","3,310"
4_Canada_gdp_yearly_Exports to other countries,320,431,432,505,557,566,706,879,"1,018","1,047","1,003","1,005","1,083","1,140","1,186","1,130","1,275","1,260","1,084","1,020","1,027","1,002","1,014","1,163","1,355","1,374","1,393","1,415","1,466","1,459","1,543"
4_Canada_gdp_yearly_Exports of goods to other countries,253,337,318,379,420,417,532,675,802,828,782,777,840,877,884,838,937,920,723,688,695,658,655,743,844,872,864,806,806,884,966
4_Canada_gdp_yearly_Exports of services to other countries,64,92,123,133,144,165,184,208,206,205,219,227,241,262,299,290,335,338,359,330,330,344,359,421,515,503,535,632,692,582,573
