Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Prince Edward Island_1991,"1,851","1,851",0,,,,,,,,,,,,,,,,,,"3,533","2,234","1,194",178,137,934,"1,041",42,"1,270",613,418,187,219,135,103,8,5,192,-29,-28,-16,-19,"1,114",320,253,64,835,283,589,"1,778",277,227,56,"1,647",759,889,-77,"3,340","4,147",,,
Prince Edward Island_1992,"1,827","1,827",0,,,,,,,,,,,,,,,,,,"3,541","2,279","1,212",183,136,948,"1,068",37,"1,232",513,290,168,123,76,57,8,8,228,40,41,3,75,"1,255",431,337,92,856,308,581,"1,833",320,271,52,"1,642",750,893,-55,"3,445","4,041",,,
Prince Edward Island_1993,"1,739","1,737",2,,,,,,,,,,,,,,,,,,"3,582","2,329","1,241",189,141,965,"1,089",49,"1,206",542,322,183,137,75,69,11,9,219,-9,-10,6,-29,"1,325",432,318,123,929,330,637,"1,854",338,285,59,"1,636",728,908,-76,"3,495","4,114",,,"4,563"
Prince Edward Island_1994,"1,693","1,693",0,,,,,,,,,,,,,,,,,,"3,625","2,375","1,259",193,144,976,"1,117",47,"1,202",624,448,175,248,207,90,13,8,160,17,17,26,-17,"1,336",505,379,133,861,302,597,"1,901",370,308,69,"1,637",755,884,-16,"3,683","4,250",,,"4,812"
Prince Edward Island_1995,"1,747","1,747",0,,,,,,,,,,,,,,,,,,"3,706","2,426","1,281",193,150,992,"1,146",48,"1,231",666,499,164,301,276,98,11,9,143,74,74,30,66,"1,445",557,420,144,919,307,659,"2,007",388,323,71,"1,734",829,908,3,"3,918","4,378",,,"4,326"
Prince Edward Island_1996,"1,663","1,663",0,,,,,,,,,,,,,,,,,,"3,823","2,489","1,305",199,154,"1,003","1,185",52,"1,284",721,546,177,329,369,74,13,9,150,8,8,0,14,"1,493",566,417,165,961,346,649,"2,050",368,299,79,"1,819",894,928,29,"4,044","4,556",,,"4,218"
Prince Edward Island_1997,"1,569","1,567",2,,,,,,,,,,,,,,,,,,"3,927","2,564","1,354",221,160,"1,016","1,211",60,"1,303",593,396,190,187,117,88,21,8,191,114,114,87,30,"1,643",706,532,184,957,357,629,"2,209",462,385,84,"1,847",923,928,9,"4,097","4,509",,,"4,155"
Prince Edward Island_1998,"1,476","1,476",0,"24,399","24,396",0.0,0.0,"24,396","24,399",0.0,0.0,,,,,,,,,,"4,032","2,653","1,398",232,166,"1,041","1,255",62,"1,316",617,424,175,219,104,121,22,3,190,73,73,79,-22,"1,870",879,675,208,"1,001",391,633,"2,383",539,462,82,"1,922",915,"1,009",26,"4,251","4,639",,,"4,629"
Prince Edward Island_1999,"1,491","1,490",1,"24,147","24,147",0.0,0.0,"24,144","24,144",0.0,0.0,,,,,,,,,,"4,271","2,751","1,470",251,177,"1,077","1,284",73,"1,453",715,505,203,268,114,154,23,7,197,44,44,44,-6,"2,033","1,018",802,206,"1,013",396,640,"2,632",594,507,92,"2,127","1,026","1,103",1,"4,435","4,983",,,"4,860"
Prince Edward Island_2000,"1,417","1,417",0,"24,087","24,090",0.0,0.0,"24,090","24,090",0.0,0.0,,,,,,,,,,"4,418","2,867","1,514",269,183,"1,089","1,355",73,"1,481",766,546,243,275,137,146,22,8,204,95,94,69,30,"2,118","1,047",828,205,"1,072",436,651,"2,837",656,558,104,"2,265","1,136","1,132",-7,"4,554","5,185",,,"5,070"
Prince Edward Island_2001,"1,354","1,354",0,"23,151","23,154",0.0,0.0,"23,154","23,154",0.0,0.0,,,,,,,,,,"4,528","2,915","1,525",274,192,"1,081","1,392",68,"1,551",797,538,249,259,137,134,27,9,251,-67,-66,9,-114,"2,086","1,003",782,219,"1,091",442,665,"2,811",668,564,111,"2,214","1,043","1,174",-16,"4,490","5,326","136,665",68.5,"5,046"
Prince Edward Island_2002,"1,309","1,309",0,"22,842","22,842",0.0,0.0,"22,842","22,845",0.0,0.0,,,,,,,,,"1,602","4,590","3,019","1,570",288,198,"1,103","1,450",77,"1,493",820,544,262,261,134,137,21,9,271,76,77,5,103,"2,079","1,005",777,227,"1,080",445,647,"2,884",681,565,126,"2,280","1,094","1,188",24,"4,705","5,412","136,880",67.4,"5,373"
Prince Edward Island_2003,"1,389","1,389",0,"23,241","23,241",0.0,0.0,"23,244","23,244",0.0,0.0,,,,,,,,,"1,587","4,723","3,094","1,600",296,203,"1,120","1,495",72,"1,557",859,590,287,277,116,162,27,8,261,38,36,36,-6,"2,197","1,083",840,241,"1,116",468,658,"3,007",751,635,123,"2,307","1,104","1,206",-6,"4,794","5,586","137,227",66.4,"5,601"
Prince Edward Island_2004,"1,372","1,371",1,"22,905","22,905",0.0,0.0,"22,905","22,905",0.0,0.0,,,,,,,,,"1,587","4,826","3,175","1,625",310,203,"1,127","1,550",72,"1,577",892,667,326,315,142,178,26,3,207,36,35,27,10,"2,290","1,140",877,262,"1,148",506,643,"3,075",766,651,120,"2,366","1,131","1,238",-12,"4,951","5,721","137,680",65.5,"6,096"
Prince Edward Island_2005,"1,314","1,314",0,"22,392","22,395",0.0,0.0,"22,395","22,392",0.0,0.0,,,,,,,,,"1,539","5,083","3,262","1,665",334,213,"1,126","1,597",75,"1,752",963,636,312,293,92,194,33,12,323,-14,-14,8,-36,"2,277","1,186",884,299,"1,084",417,692,"3,152",830,717,116,"2,359","1,067","1,296",-25,"5,122","6,051","138,064",64.7,"5,790"
Prince Edward Island_2006,"1,388","1,388",0,"21,948","21,948",0.0,0.0,"21,948","21,948",0.0,0.0,,,,,,,,,"1,548","5,209","3,358","1,685",342,227,"1,120","1,674",75,"1,782","1,064",672,304,330,108,215,37,15,393,-9,-8,-31,39,"2,328","1,130",838,290,"1,196",486,726,"3,309",880,753,132,"2,464","1,083","1,385",-4,"5,261","6,279","137,867",64.2,"5,874"
Prince Edward Island_2007,"1,367","1,367",0,"21,411","21,411",0.0,0.0,"21,366","21,366",0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,"1,581","5,306","3,511","1,782",365,243,"1,178","1,729",70,"1,724","1,131",820,316,450,272,190,49,16,292,-23,-23,8,-44,"2,503","1,275",937,335,"1,226",562,664,"3,647",969,829,144,"2,716","1,383","1,336",-3,"5,228","6,444","137,711",64.1,"6,045"
Prince Edward Island_2008,"1,452","1,452",0,"21,063","21,063",,,"20,811","20,814",,,195.0,192.0,,,54.0,54.0,,,"1,638","5,456","3,604","1,828",379,248,"1,204","1,776",71,"1,782","1,027",783,310,423,239,193,46,23,214,13,19,45,-35,"2,463","1,260",920,338,"1,201",545,656,"3,635",962,826,140,"2,713","1,366","1,349",3,"5,284","6,486","138,749",64.0,"6,132"
Prince Edward Island_2009,"1,406","1,406",0,"20,595","20,595",,,"20,322","20,325",,,213.0,210.0,,,60.0,57.0,,,"1,644","5,557","3,650","1,845",380,247,"1,221","1,805",66,"1,842","1,038",665,326,300,121,179,40,5,369,-112,-114,-108,-2,"2,354","1,084",723,359,"1,268",567,703,"3,496","1,006",882,125,"2,508","1,173","1,336",8,"5,305","6,597","139,891",63.8,"7,104"
Prince Edward Island_2010,"1,375","1,375",0,"20,202","20,202",,,"19,953","19,956",,,192.0,192.0,,,57.0,57.0,,,"1,749","5,744","3,782","1,914",423,257,"1,234","1,869",69,"1,894",981,668,340,289,114,175,39,8,306,6,7,-10,19,"2,385","1,020",688,330,"1,364",629,737,"3,656","1,110",967,145,"2,553","1,194","1,359",-3,"5,412","6,724","141,654",63.5,"5,841"
Prince Edward Island_2011,"1,409","1,408",1,"21,432","21,432",,,"21,162","21,162",,,204.0,204.0,,,69.0,69.0,,,"1,764","5,820","3,859","1,945",422,262,"1,262","1,914",73,"1,888","1,097",738,351,349,147,203,37,9,350,16,14,32,-20,"2,420","1,027",695,330,"1,393",630,764,"3,784","1,165","1,021",146,"2,625","1,231","1,396",2,"5,527","6,916","143,963",63.4,"6,126"
Prince Edward Island_2012,"1,292","1,292",0,"21,120","21,120",,,"20,832","20,832",,,207.0,207.0,,,81.0,81.0,,,"1,767","5,818","3,897","1,955",455,261,"1,239","1,942",74,"1,847",965,706,350,317,122,195,39,8,251,25,21,26,-5,"2,467","1,002",658,344,"1,465",687,778,"3,679","1,268","1,124",145,"2,410","1,107","1,303",-10,"5,586","6,783","144,530",64.0,"6,564"
Prince Edward Island_2013,"1,380","1,380",0,"20,700","20,700",,,"20,406","20,406",,,210.0,210.0,,,81.0,81.0,,,"1,692","5,833","3,953","1,970",478,261,"1,231","1,983",72,"1,809","1,031",766,345,379,151,228,42,12,253,63,65,79,-14,"2,555","1,014",655,359,"1,541",775,767,"3,758","1,324","1,156",167,"2,436","1,226","1,212",1,"5,684","6,864","144,094",65.3,"6,603"
Prince Edward Island_2014,"1,395","1,395",0,"20,427","20,427",,,"20,130","20,130",,,210.0,210.0,,,84.0,84.0,,,"1,686","5,862","3,997","1,992",498,265,"1,230","2,005",74,"1,792",940,718,309,362,138,224,47,9,213,31,32,46,-14,"2,665","1,163",743,421,"1,497",779,717,"3,749","1,299","1,132",167,"2,449","1,167","1,284",0,"5,690","6,803","144,283",66.8,"6,015"
Prince Edward Island_2015,"1,320","1,320",0,"20,256","20,256",,,"19,938","19,938",,,225.0,225.0,,,90.0,93.0,,,"1,683","5,924","4,069","2,021",518,276,"1,228","2,047",75,"1,783",874,662,333,288,108,180,43,7,204,19,20,27,-7,"2,874","1,355",844,515,"1,513",754,761,"3,837","1,296","1,113",183,"2,538","1,213","1,326",-4,"5,770","6,797","144,546",67.9,"6,390"
Prince Edward Island_2016,"1,375","1,375",0,"20,073","20,073",,,"19,713","19,710",,,240.0,240.0,,,120.0,123.0,,,"1,611","6,046","4,167","2,077",554,287,"1,235","2,089",81,"1,802",977,748,356,348,164,186,45,6,221,-21,-21,-24,3,"2,888","1,374",872,503,"1,508",770,737,"3,922","1,298","1,112",186,"2,622","1,184","1,439",-4,"5,894","7,024","146,969",68.7,"6,360"
Prince Edward Island_2017,"1,311","1,311",0,"20,475","20,475",,,"20,007","20,007",,,276.0,276.0,,,189.0,189.0,,,,"6,187","4,274","2,144",579,297,"1,267","2,129",81,"1,837","1,193",920,438,429,208,224,54,6,264,21,19,25,-5,"2,998","1,393",864,535,"1,599",833,762,"4,155","1,383","1,215",168,"2,770","1,271","1,499",-8,"6,170","7,386","150,402",69.0,"6,189"
Prince Edward Island_2018,"1,283","1,283",0,"20,691","20,691",,,"20,187","20,187",,,342.0,339.0,,,162.0,162.0,,,,"6,337","4,369","2,166",567,301,"1,299","2,201",85,"1,888","1,210",943,460,423,209,217,62,7,257,30,33,44,-9,"2,998","1,415",806,632,"1,577",807,768,"4,232","1,433","1,251",181,"2,796","1,264","1,532",7,"6,277","7,554","153,396",69.5,"8,037"
Prince Edward Island_2019,"1,302","1,302",0,"20,970","20,973",,,"20,361","20,361",,,441.0,441.0,,,171.0,171.0,,,,"6,496","4,498","2,202",584,301,"1,318","2,293",88,"1,916","1,336","1,039",555,418,205,216,70,9,285,58,59,23,33,"3,070","1,466",806,692,"1,597",815,781,"4,324","1,406","1,217",187,"2,920","1,327","1,592",5,"6,562","7,843","157,419",69.6,"7,455"
Prince Edward Island_2020,"1,292","1,292",0,"21,399","21,402",,,"20,733","20,733",,,474.0,474.0,,,195.0,192.0,,,,"6,425","4,361","2,174",574,281,"1,321","2,186",94,"1,970","1,381","1,028",583,378,202,180,70,11,342,-146,-147,-133,-16,"3,074","1,459",884,582,"1,609",858,744,"4,231","1,259","1,118",141,"2,987","1,373","1,613",5,"6,454","7,818","161,329",69.3,"8,505"
