,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","96,230","94,800","91,201","89,346","86,172","84,193","78,893","74,926","72,859","71,151","72,739","71,509","72,838","73,033","75,231","80,853","83,202","87,630","88,074","87,045","87,125","87,338","87,165","86,337","85,348","84,810","82,417","82,419","82,922","80,520","83,341"
"1_Live births_Canada, place of residence of mother 10","96,199","94,765","91,166","89,302","86,142","84,151","78,856","74,894","72,806","71,086","72,683","71,468","72,797","73,005","75,201","80,828","83,176","87,594","88,041","87,015","87,098","87,320","87,127","86,292","85,314","84,768","82,385","82,367","82,871","80,498","83,335"
1_Live births_Place of residence of mother outside Canada 11,31,35,35,44,30,42,37,32,53,65,56,41,41,28,30,25,26,36,33,30,27,18,38,45,34,42,32,52,51,22,6
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"1,260,480","1,250,247","1,247,757","1,237,980","1,244,691","1,244,943","1,240,821","1,232,664","1,062,324","1,175,469","1,320,495","1,319,697","1,322,439","1,313,169","1,305,009","1,308,171","1,313,754","1,316,289","1,325,913","1,341,285","1,349,298","1,367,124","1,372,902","1,380,750"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"1,033,125","1,027,887","1,019,673","1,011,111","1,002,975","994,971","983,712","971,937","957,603","1,064,667","1,044,321","1,023,645","1,006,785","996,519","991,470","989,886","994,455","1,003,119","1,015,254","1,033,164","1,052,802","1,074,369","1,095,288","1,111,734"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,"136,470","130,920","128,199","134,430","146,784","153,942","157,839","158,103","46,161","46,263","167,916","184,407","198,222","197,112","191,364","193,068","190,479","183,006","180,960","179,745","173,466","170,907","158,304","135,405"
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,"90,885","91,440","99,882","92,439","94,929","96,030","99,267","102,621","58,563","64,542","108,258","111,645","117,435","119,541","122,175","125,217","128,817","130,167","129,699","128,376","123,030","121,845","119,310","133,614"
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"1,260,480","1,250,247","1,247,757","1,237,983","1,244,688","1,244,943","1,240,818","1,232,664","1,062,324","1,046,118","1,188,903","1,187,610","1,189,632","1,179,801","1,172,142","1,176,852","1,183,488","1,187,103","1,196,667","1,210,680","1,216,800","1,231,068","1,234,263","1,234,032"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"1,033,125","1,027,887","1,019,673","1,011,111","1,002,972","994,971","983,712","971,940","957,603","940,395","918,267","897,168","879,864","869,181","864,591","864,492","869,892","879,048","890,886","907,611","925,818","944,907","964,110","972,369"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,"136,470","130,920","128,199","134,430","146,787","153,942","157,839","158,103","46,161","46,263","167,916","184,308","197,988","196,851","191,181","192,870","190,236","182,760","180,750","179,541","173,292","170,751","158,178","135,243"
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,"90,885","91,443","99,882","92,439","94,932","96,027","99,270","102,621","58,563","59,460","102,720","106,134","111,780","113,769","116,370","119,490","123,363","125,298","125,031","123,528","117,693","115,407","111,975","126,423"
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,"129,204","130,803","131,148","131,796","132,312","131,826","130,206","129,087","127,911","127,320","128,043","129,195","131,910","134,331","136,521"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,"124,122","125,262","125,538","125,910","126,282","125,838","124,281","123,384","122,793","122,439","122,994","123,684","125,316","126,870","129,171"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,102,234,261,180,201,246,246,213,201,177,156,126,159
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,"5,082","5,541","5,508","5,655","5,772","5,805","5,727","5,457","4,869","4,668","4,848","5,334","6,438","7,338","7,191"
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,147,789,939,"1,011","1,056","1,038","1,116","1,179","1,275","1,929","2,565","3,303","4,149","4,308","10,197"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,147,789,936,"1,014","1,056","1,038","1,116","1,182","1,275","1,929","2,562","3,300","4,146","4,308","10,197"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Quebec 6,,,,,,,,,,,,"93,084","93,360","93,201","93,270","96,132","96,222","96,144","96,930","97,032","97,149","97,617","98,112","98,313","99,243","100,812",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"186,106","188,611","190,336","193,851","195,363","199,442","204,711","208,020","214,351","221,710","228,326","236,132","243,155","248,092","252,962","259,761","268,657","275,973","280,220","289,303","293,985","296,814","300,713","305,770","308,762","315,815","325,272","333,526","340,038","328,701","348,054"
4_Canada_gdp_yearly_Household final consumption expenditure,"119,650","121,246","123,295","126,957","128,930","133,256","138,528","141,805","146,694","151,760","155,163","161,058","165,642","169,956","174,528","179,717","186,990","193,019","194,501","202,081","205,824","207,976","212,333","216,093","219,546","224,361","232,139","238,449","242,710","228,850","241,192"
4_Canada_gdp_yearly_Goods,"60,338","60,688","61,520","63,620","64,154","66,451","69,289","71,264","73,935","76,520","78,339","82,157","84,582","85,995","87,051","89,420","93,100","96,944","97,740","101,071","102,032","101,987","104,409","105,881","107,873","110,365","113,827","117,096","119,467","118,546","124,496"
4_Canada_gdp_yearly_Durable goods,"12,883","12,855","12,790","13,071","12,918","13,977","15,542","16,309","17,516","18,525","19,374","21,194","22,140","22,421","22,705","23,607","24,749","26,918","26,795","28,378","28,435","28,358","28,841","29,156","30,023","31,340","33,026","34,395","34,989","32,922","36,021"
4_Canada_gdp_yearly_Semi-durable goods,"7,439","7,364","7,690","8,112","8,441","8,595","8,774","9,178","9,381","9,760","10,187","10,684","11,170","11,657","12,145","12,773","13,479","14,330","14,560","15,619","15,837","16,005","16,482","16,881","17,504","17,768","18,320","18,985","19,343","18,784","20,941"
4_Canada_gdp_yearly_Non-durable goods,"42,312","42,911","43,478","44,926","45,272","46,181","46,923","47,496","48,579","49,601","49,893","51,093","51,917","52,487","52,664","53,368","55,138","55,769","56,472","57,068","57,759","57,624","59,086","59,845","60,349","61,244","62,441","63,663","65,084","66,838","67,519"
4_Canada_gdp_yearly_Services,"59,270","60,569","61,805","63,346","64,813","66,834","69,257","70,540","72,745","75,225","76,801","78,826","80,977","83,919","87,500","90,331","93,922","96,088","96,774","101,018","103,793","105,989","107,925","110,207","111,679","114,008","118,306","121,355","123,259","110,678","117,065"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,"2,587","2,834","2,729","2,490","2,671","2,981","3,709","3,648","4,137","4,428","4,704","5,287","5,221","5,102","5,324","5,442","5,276","5,760","5,548","5,475","5,807","5,844","5,929","5,815","5,925","6,406","6,346","6,662","6,712","6,865","6,973"
4_Canada_gdp_yearly_General governments final consumption expenditure,"65,573","66,221","65,857","65,806","64,962","64,085","62,994","62,897","63,736","65,739","68,846","70,122","72,652","73,295","73,246","74,699","76,425","77,176","80,210","81,757","82,355","82,994","82,476","83,889","83,374","85,134","86,928","88,596","90,768","92,612","99,351"
4_Canada_gdp_yearly_Gross fixed capital formation,"40,534","38,847","39,116","39,939","37,692","41,131","42,298","45,325","48,351","50,927","52,334","55,549","58,751","64,907","66,033","67,588","71,820","73,696","70,604","73,918","76,625","79,305","76,468","71,666","70,238","69,012","75,403","79,299","81,977","81,153","86,993"
4_Canada_gdp_yearly_Business gross fixed capital formation,"32,573","30,995","30,685","31,350","29,149","32,374","34,024","36,522","39,211","41,623","41,621","44,124","47,031","52,223","51,959","53,854","57,245","56,960","52,212","55,503","58,433","61,840","59,842","55,913","54,009","54,397","59,055","61,543","64,491","63,585","69,917"
4_Canada_gdp_yearly_Residential structures,"14,373","14,386","13,677","15,403","11,802","13,782","13,099","12,624","13,049","13,252","15,544","19,203","20,868","23,855","23,690","23,674","25,041","24,152","23,548","25,874","25,910","26,099","24,295","23,909","23,837","24,744","26,575","27,575","28,559","29,367","33,158"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","15,018","13,751","13,563","12,747","13,015","13,995","15,876","17,868","19,166","20,435","18,661","18,298","19,475","21,889","21,574","23,279","24,912","25,121","21,784","22,402","24,778","28,282","28,125","24,343","23,404","22,688","24,174","25,223","26,607","24,859","26,630"
4_Canada_gdp_yearly_Non-residential structures,"11,502","10,084","10,997","9,286","8,704","8,234","8,247","9,160","8,527","9,559","9,521","9,664","10,343","11,337","10,284","10,917","11,868","11,790","11,821","11,369","13,318","16,329","16,281","14,669","13,769","13,605","13,208","13,489","14,582","14,665","14,448"
4_Canada_gdp_yearly_Machinery and equipment,"5,861","5,542","5,060","5,156","5,565","6,439","7,773","8,802","10,036","10,472","9,161","8,813","9,348","10,681","11,120","12,128","12,837","13,090","10,033","10,999","11,455","11,953","11,844","9,669","9,620","9,083","10,911","11,669","11,965","10,163","12,225"
4_Canada_gdp_yearly_Intellectual property products,"2,893","2,935","3,436","3,925","4,064","4,617","4,348","4,697","5,486","6,202","6,573","6,564","6,700","6,556","6,787","6,873","7,249","7,611","6,884","7,260","7,761","7,459","7,420","7,678","6,810","7,041","8,378","8,819","9,402","9,410","10,080"
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,203,210,245,230,235,232,203,193,170,234,257,314,286,177,389,388,304,408,423,468,447,500,455,471,416,306,320,336,323,322,365
4_Canada_gdp_yearly_General governments gross fixed capital formation,"7,716","7,611","8,182","8,357","8,340","8,518","8,013","8,540","8,902","8,967","10,413","11,064","11,364","12,426","13,649","13,282","14,210","16,314","18,012","17,968","17,752","16,965","16,173","15,281","15,802","14,319","16,032","17,416","17,166","17,250","16,647"
