Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Quebec_1991,"96,230","96,199",31,,,,,,,,,,,,,,,,,,"186,106","119,650","60,338","12,883","7,439","42,312","59,270","2,587","65,573","40,534","32,573","14,373","15,018","11,502","5,861","2,893",203,"7,716","-2,501","-2,476","-2,471",71,"89,826","44,560","38,222","6,266","46,809","27,419","19,320","90,145","48,827","41,767","7,203","42,946","21,156","21,599",-365,"224,585","226,677",,,
Quebec_1992,"94,800","94,765",35,,,,,,,,,,,,,,,,,,"188,611","121,246","60,688","12,855","7,364","42,911","60,569","2,834","66,221","38,847","30,995","14,386","13,751","10,084","5,542","2,935",210,"7,611","-1,807","-1,806","-1,690",-108,"90,598","47,324","40,725","6,507","44,708","25,277","19,351","90,268","49,496","42,510","7,104","42,253","20,854","21,215","-1,724","225,375","227,389",,,
Quebec_1993,"91,201","91,166",35,,,,,,,,,,,,,,,,,,"190,336","123,295","61,520","12,790","7,690","43,478","61,805","2,729","65,857","39,116","30,685","13,677","13,563","10,997","5,060","3,436",245,"8,182",-505,-513,-486,-22,"97,637","53,982","46,940","6,870","44,977","24,763","20,157","96,703","53,857","46,350","7,622","44,189","21,365","22,619",-244,"230,500","229,379",,,"449,112"
Quebec_1994,"89,346","89,302",44,,,,,,,,,,,,,,,,,,"193,851","126,957","63,620","13,071","8,112","44,926","63,346","2,490","65,806","39,939","31,350","15,403","12,747","9,286","5,156","3,925",230,"8,357",619,618,457,209,"107,158","63,868","55,652","7,991","44,239","24,622","19,543","99,403","54,540","46,756","7,924","46,509","24,839","21,428","-2,497","241,075","233,721",,,"440,490"
Quebec_1995,"86,172","86,142",30,,,,,,,,,,,,,,,,,,"195,363","128,930","64,154","12,918","8,441","45,272","64,813","2,671","64,962","37,692","29,149","11,802","13,015","8,704","5,565","4,064",235,"8,340","2,462","2,457","2,473",-93,"112,702","67,287","58,654","8,391","46,396","25,553","20,796","102,044","56,696","48,587","8,256","46,804","25,206","21,343","-1,667","246,253","232,829",,,"433,029"
Quebec_1996,"84,193","84,151",42,,,,,,,,,,,,,,,,,,"199,442","133,256","66,451","13,977","8,595","46,181","66,834","2,981","64,085","41,131","32,374","13,782","13,995","8,234","6,439","4,617",232,"8,518",351,357,245,146,"116,008","70,690","61,039","9,536","46,092","25,958","20,012","107,551","60,843","52,261","8,728","47,900","25,491","22,168",-887,"249,340","240,479",,,"425,532"
Quebec_1997,"78,893","78,856",37,,,,,,,,,,,,,,,,,,"204,711","138,528","69,289","15,542","8,774","46,923","69,257","3,709","62,994","42,298","34,024","13,099","15,876","8,247","7,773","4,348",203,"8,013",649,646,582,72,"125,357","76,859","66,147","10,631","49,274","28,126","20,974","116,975","69,433","60,189","9,379","47,892","24,665","23,025",-85,"256,374","246,916",,,"413,559"
Quebec_1998,"74,926","74,894",32,"1,260,480","1,033,125","136,470","90,885","1,260,480","1,033,125","136,470","90,885",,,,,,,,,,"208,020","141,805","71,264","16,309","9,178","47,496","70,540","3,648","62,897","45,325","36,522","12,624","17,868","9,160","8,802","4,697",193,"8,540",381,388,358,29,"133,345","84,720","72,557","12,137","49,131","26,677","22,413","122,980","74,305","65,450","8,986","48,664","24,061","24,422",150,"264,665","253,354",,,"405,918"
Quebec_1999,"72,859","72,806",53,"1,250,247","1,027,887","130,920","91,440","1,250,247","1,027,887","130,920","91,443",,,,,,,,,,"214,351","146,694","73,935","17,516","9,381","48,579","72,745","4,137","63,736","48,351","39,211","13,049","19,166","8,527","10,036","5,486",170,"8,902","2,840","2,836","2,786",-38,"147,924","96,323","83,467","12,674","51,920","28,416","23,441","134,257","82,211","73,207","9,170","51,710","25,094","26,429",327,"280,467","262,774",,,"405,705"
Quebec_2000,"71,151","71,086",65,"1,247,757","1,019,673","128,199","99,882","1,247,757","1,019,673","128,199","99,882",,,,,,,,,,"221,710","151,760","76,520","18,525","9,760","49,601","75,225","4,428","65,739","50,927","41,623","13,252","20,435","9,559","10,472","6,202",234,"8,967","3,092","3,084","3,087",-119,"164,119","109,942","95,266","14,469","54,271","28,432","25,904","147,298","89,804","80,639","9,375","57,233","27,285","29,763",-370,"292,882","272,726",,,"412,686"
