,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","15,284","14,955","14,247","13,993","13,517","13,310","12,812","12,794","12,568","12,118","12,260","11,750","12,128","12,078","12,111","12,427","13,446","13,969","14,535","14,538","14,564","15,042","15,011","15,770","15,497","15,723","15,606","15,407","14,674","14,169","14,509"
"1_Live births_Canada, place of residence of mother 10","15,276","14,951","14,240","13,986","13,509","13,308","12,810","12,790","12,564","12,114","12,253","11,748","12,122","12,074","12,109","12,424","13,446","13,964","14,526","14,532","14,560","15,034","15,005","15,765","15,493","15,722","15,598","15,405","14,670","14,166","14,509"
1_Live births_Place of residence of mother outside Canada 11,8,4,7,7,8,2,2,4,4,4,7,2,6,4,2,3,0,5,9,6,4,8,6,5,4,1,8,2,4,3,0
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"196,014","194,796","192,885","186,588","183,024","184,605","182,130","178,710","175,587","169,713","171,189","170,526","171,810","171,078","172,551","176,085","178,479","181,545","183,894","187,536","189,999","191,994","194,367","192,036"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"193,920","192,648","190,896","184,494","180,711","182,553","179,883","176,118","172,833","166,722","168,348","167,532","168,408","169,665","171,324","175,017","177,195","180,456","182,385","186,024","188,625","190,860","193,230","190,884"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,"2,091","2,148","1,989","2,091","2,313","2,052","2,244","2,592","2,757","2,991","2,844","2,994","3,402","1,410","1,227","1,065","1,281","1,089","1,506","1,512","1,374","1,134","1,137","1,152"
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"196,014","194,796","192,885","186,588","183,024","184,605","182,127","178,710","175,587","166,497","167,064","164,763","166,002","165,573","166,863","169,728","171,987","174,747","177,081","180,651","182,655","183,972","186,066","181,506"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"193,923","192,651","190,896","184,494","180,711","182,553","179,883","176,115","172,833","163,518","164,250","161,796","162,630","164,163","165,639","168,669","170,715","173,664","175,593","179,148","181,290","182,844","184,941","180,363"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,"2,091","2,145","1,989","2,094","2,313","2,052","2,244","2,592","2,757","2,979","2,817","2,964","3,375","1,410","1,224","1,056","1,272","1,083","1,488","1,506","1,368","1,125","1,128","1,140"
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,"2,004","2,334","3,975","3,891","3,555","3,693","4,368","4,395","4,638","4,572","4,521","4,857","5,412","5,523","5,871"
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,"1,998","2,316","3,948","3,867","3,555","3,690","4,359","4,386","4,632","4,554","4,512","4,854","5,406","5,511","5,859"
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,6,21,27,24,3,6,9,6,6,21,9,6,6,9,12
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,"1,212","1,791","1,788","1,917","1,950","1,995","1,989","2,097","2,163","2,238","2,364","2,484","2,607","2,778","4,662"
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,"1,206","1,782","1,782","1,914","1,947","1,992","1,989","2,097","2,160","2,241","2,364","2,484","2,607","2,781","4,662"
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,6,6,6,3,0,3,0,0,0,0,0,0,0,0,0
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Saskatchewan 6 9,,,,,,,,,,,,"12,348","12,378","12,261","12,171","12,444","12,252","11,694","11,904","12,099","12,426","12,564","12,726","13,044","12,894","12,918",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"29,107","28,748","29,228","29,445","30,040","30,588","31,239","31,826","32,304","33,096","33,583","34,485","35,163","35,609","36,410","37,580","39,603","41,662","42,547","43,860","44,868","46,058","47,056","47,890","48,533","48,978","50,084","51,087","51,626","49,487","52,211"
4_Canada_gdp_yearly_Household final consumption expenditure,"18,218","18,280","18,613","19,192","19,628","20,120","20,856","21,093","21,426","21,988","22,272","22,906","23,425","23,810","24,500","25,400","27,006","28,556","29,040","29,954","30,874","32,061","33,256","34,092","34,321","34,604","35,356","35,889","36,210","33,947","35,785"
4_Canada_gdp_yearly_Goods,"7,991","8,003","8,216","8,457","8,608","8,816","9,216","9,229","9,364","9,638","9,783","10,144","10,433","10,537","10,913","11,361","12,243","13,164","13,335","13,599","14,124","14,817","15,478","15,720","15,562","15,507","15,833","15,970","16,141","15,888","16,883"
4_Canada_gdp_yearly_Durable goods,"1,444","1,432","1,456","1,552","1,594","1,721","1,958","1,882","1,904","2,050","2,119","2,270","2,418","2,446","2,591","2,776","3,196","3,654","3,631","3,736","4,007","4,375","4,637","4,648","4,545","4,458","4,612","4,552","4,593","4,374","4,717"
4_Canada_gdp_yearly_Semi-durable goods,959,981,"1,014","1,044","1,115","1,125","1,153","1,193","1,216","1,260","1,298","1,355","1,392","1,431","1,509","1,641","1,803","1,952","1,964","2,002","2,101","2,267","2,397","2,461","2,482","2,446","2,442","2,445","2,444","2,278","2,749"
4_Canada_gdp_yearly_Non-durable goods,"5,984","5,978","6,150","6,242","6,242","6,277","6,340","6,415","6,508","6,546","6,558","6,683","6,761","6,789","6,922","7,020","7,274","7,559","7,747","7,866","8,017","8,175","8,445","8,610","8,535","8,605","8,780","8,974","9,104","9,229","9,431"
4_Canada_gdp_yearly_Services,"10,281","10,337","10,439","10,782","11,079","11,366","11,687","11,930","12,131","12,416","12,552","12,813","13,035","13,328","13,631","14,076","14,781","15,390","15,705","16,358","16,751","17,244","17,779","18,371","18,751","19,082","19,508","19,901","20,051","18,059","18,903"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,438,458,486,356,409,466,478,507,578,567,552,604,589,555,561,567,558,586,610,616,651,658,693,718,764,828,831,852,882,898,938
4_Canada_gdp_yearly_General governments final consumption expenditure,"10,825","10,300","10,418","10,068","10,161","10,128","9,956","10,315","10,389","10,623","10,850","11,062","11,224","11,306","11,390","11,642","12,047","12,519","12,902","13,294","13,343","13,339","13,109","13,085","13,450","13,551","13,899","14,343","14,531","14,606","15,448"
4_Canada_gdp_yearly_Gross fixed capital formation,"7,200","6,439","6,456","7,032","7,361","8,375","11,033","9,787","9,955","9,930","9,928","9,423","10,092","10,246","11,944","13,318","14,314","16,752","16,647","19,414","21,318","23,264","25,093","26,038","22,110","19,229","20,031","19,591","17,804","15,325","16,080"
4_Canada_gdp_yearly_Business gross fixed capital formation,"6,010","5,344","5,227","5,786","6,347","7,279","9,807","8,508","8,570","8,537","8,241","7,769","8,566","8,688","10,186","11,457","12,532","14,394","14,473","16,854","18,829","20,902","22,785","23,655","19,264","16,079","16,991","16,749","15,600","13,025","13,721"
4_Canada_gdp_yearly_Residential structures,"1,107","1,192","1,182","1,303","1,386","1,631","1,738","1,818","1,799","1,800","1,835","2,008","2,184","2,378","2,522","2,699","3,075","3,157","2,886","3,166","3,726","4,336","4,413","4,354","3,840","3,467","3,437","3,203","2,820","2,954","3,566"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","4,496","3,842","3,610","3,965","4,364","4,955","6,898","5,826","5,897","5,872","5,639","5,194","5,530","5,453","6,606","7,693","8,050","9,466","10,327","12,508","13,823","15,114","16,930","17,942","14,391","11,760","12,691","12,460","11,661","9,189","9,162"
4_Canada_gdp_yearly_Non-residential structures,"3,363","2,660","2,706","3,231","3,194","3,823","5,050","4,085","4,070","4,418","4,183","3,774","3,789","3,684","4,578","5,071","4,928","6,223","7,493","9,050","9,605","10,357","11,284","12,477","9,318","8,123","8,342","8,403","8,001","5,985","5,394"
4_Canada_gdp_yearly_Machinery and equipment,"1,284","1,196","1,031","1,018","1,278","1,365","2,024","1,793","1,846","1,654","1,619","1,532","1,755","1,762","2,061","2,584","2,999","3,165","2,855","3,480","4,220","4,757","5,649","5,460","5,051","3,653","4,338","4,059","3,671","3,185","3,714"
4_Canada_gdp_yearly_Intellectual property products,223,241,391,473,532,640,925,770,764,759,695,592,885,943,"1,084","1,054","1,419","1,778","1,260","1,178","1,280","1,452","1,442","1,358","1,036",863,868,"1,077","1,098",903,"1,023"
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,34,37,37,37,37,41,42,23,37,42,45,57,49,31,76,90,64,89,72,63,64,76,97,118,94,66,64,59,51,47,50
4_Canada_gdp_yearly_General governments gross fixed capital formation,"1,171","1,069","1,208","1,222",975,"1,047","1,165","1,250","1,345","1,348","1,648","1,601","1,480","1,532","1,681","1,768","1,722","2,269","2,103","2,499","2,424","2,286","2,212","2,266","2,751","3,086","2,979","2,788","2,162","2,260","2,314"
4_Canada_gdp_yearly_Investment in inventories,185,-950,859,102,721,860,553,444,743,348,-806,-351,"1,765","1,354","2,228",670,655,"1,699",-414,"-1,242",16,-140,"2,565",-296,-269,"1,118",314,543,"1,328","-1,196","-2,398"
4_Canada_gdp_yearly_Of which: business investment in inventories,187,-950,858,102,721,861,552,445,743,347,-806,-350,"1,762","1,355","2,228",672,653,"1,690",-413,"-1,245",24,-159,"2,565",-293,-270,"1,116",324,531,"1,327","-1,199","-2,413"
4_Canada_gdp_yearly_Non-farm,-235,-233,61,39,356,3,922,324,157,-31,172,310,538,452,760,"1,108","1,151",123,-932,-88,339,-188,65,95,-62,581,104,429,789,274,"2,139"
4_Canada_gdp_yearly_Farm,772,-957,"1,109",76,380,"1,122",-815,36,792,573,"-1,449","-1,032","1,571","1,182","1,946","-1,297",-968,"1,803",796,"-1,369",-380,29,"2,451",-395,-205,534,216,115,546,"-1,366","-3,993"
4_Canada_gdp_yearly_Exports of goods and services,"23,894","26,347","26,553","30,554","30,311","32,030","35,077","37,992","38,320","40,738","41,468","40,086","39,723","43,628","43,492","44,117","46,484","47,778","45,882","49,111","52,398","53,032","51,736","55,123","56,006","53,809","56,392","57,820","57,366","56,648","55,762"
4_Canada_gdp_yearly_Exports to other countries,"14,964","16,438","17,305","20,902","20,553","22,218","25,680","26,135","25,699","27,904","27,305","26,328","25,413","27,456","27,832","27,340","29,218","29,961","28,501","31,265","33,931","35,412","33,662","35,888","38,076","36,777","39,105","39,990","39,749","40,515","37,874"
4_Canada_gdp_yearly_Exports of goods to other countries,"14,579","15,922","16,660","20,148","19,847","21,409","24,780","25,042","24,604","26,920","26,439","25,355","24,493","26,587","26,868","26,348","28,385","29,007","27,527","30,187","32,871","34,306","32,515","34,611","36,701","35,276","37,578","38,363","37,888","38,854","36,087"
4_Canada_gdp_yearly_Exports of services to other countries,422,523,621,733,694,789,883,"1,033","1,031",959,860,939,891,859,944,969,843,951,970,"1,073","1,060","1,106","1,145","1,273","1,367","1,452","1,492","1,576","1,761","1,620","1,701"
4_Canada_gdp_yearly_Exports to other provinces,"8,912","9,871","9,410","10,104","10,166","10,336","10,241","12,404","13,032","13,404","14,483","14,056","14,456","16,230","15,816","16,756","17,323","17,851","17,426","17,894","18,505","17,620","18,058","19,217","18,029","17,164","17,540","18,070","17,867","16,624","18,041"
4_Canada_gdp_yearly_Exports of goods to other provinces,"5,369","6,123","6,102","7,209","6,957","7,462","7,822","9,606","9,821","9,987","11,274","10,798","11,069","12,576","12,035","12,657","12,796","12,967","12,376","12,598","12,486","11,594","11,415","12,146","11,054","10,320","10,667","11,189","11,042","10,301","11,199"
4_Canada_gdp_yearly_Exports of services to other provinces,"3,261","3,479","3,120","2,843","3,096","2,829","2,451","2,866","3,216","3,403","3,266","3,289","3,415","3,704","3,811","4,125","4,541","4,909","5,076","5,311","6,016","6,026","6,642","7,070","6,975","6,836","6,871","6,882","6,826","6,326","6,847"
4_Canada_gdp_yearly_Less: imports of goods and services,"14,804","15,225","15,556","16,898","17,734","19,235","21,943","21,412","22,331","23,173","23,455","23,613","24,773","25,602","27,010","29,269","32,111","35,304","35,859","39,062","42,535","44,123","44,406","45,200","43,432","40,742","41,973","42,554","41,976","38,072","40,191"
4_Canada_gdp_yearly_Imports from other countries,"3,968","4,270","4,660","5,285","5,770","6,027","7,580","7,499","7,908","8,075","7,780","7,989","8,468","9,068","10,215","11,139","12,696","15,244","14,076","15,863","17,974","18,481","19,208","19,349","17,900","15,917","16,794","17,195","16,316","14,696","16,089"
4_Canada_gdp_yearly_Imports of goods from other countries,"3,313","3,567","3,889","4,447","4,893","5,106","6,443","6,373","6,781","6,946","6,709","6,927","7,269","7,866","8,910","9,697","10,901","13,070","12,076","13,714","15,816","16,255","16,692","16,666","15,364","13,458","14,418","14,696","13,837","13,005","14,007"
4_Canada_gdp_yearly_Imports of services from other countries,679,729,800,859,889,935,"1,148","1,137","1,127","1,127","1,065","1,052","1,196","1,193","1,293","1,429","1,782","2,159","1,987","2,137","2,157","2,226","2,513","2,678","2,533","2,465","2,379","2,501","2,479","1,716","2,099"
4_Canada_gdp_yearly_Imports from other provinces,"11,462","11,532","11,360","12,010","12,264","13,647","14,541","14,038","14,511","15,245","15,985","15,869","16,530","16,687","16,839","18,169","19,421","20,076","21,739","23,162","24,569","25,642","25,203","25,856","25,572","24,993","25,278","25,429","25,853","23,578","24,192"
4_Canada_gdp_yearly_Imports of goods from other provinces,"5,194","5,031","4,786","5,393","5,440","6,431","6,264","5,723","5,705","5,906","6,726","6,465","7,021","6,766","6,359","6,944","8,136","7,970","9,431","10,271","11,036","11,737","10,727","10,038","11,158","11,098","10,751","10,754","11,113","9,914","10,432"
4_Canada_gdp_yearly_Imports of services from other provinces,"6,359","6,590","6,667","6,699","6,913","7,284","8,400","8,458","8,969","9,520","9,342","9,525","9,583","10,067","10,752","11,494","11,389","12,315","12,350","12,912","13,539","13,905","14,479","15,856","14,422","13,916","14,517","14,663","14,731","13,643","13,746"
4_Canada_gdp_yearly_Statistical discrepancy,339,18,-143,449,287,287,155,12,-104,-63,92,92,130,228,-47,50,9,-29,10,-92,-78,-85,50,-50,-84,141,57,-15,-28,14,-36
4_Canada_gdp_yearly_Gross domestic product at market prices,"50,010","47,799","50,849","52,840","53,426","55,034","57,399","59,879","59,943","61,503","60,993","60,789","63,564","66,605","68,360","67,347","69,855","73,518","69,597","72,851","76,697","78,007","83,111","84,786","84,072","84,006","86,180","87,728","87,379","83,208","82,494"
4_Canada_gdp_yearly_Final domestic demand,"36,407","35,263","35,759","36,570","37,503","39,092","42,470","41,772","42,421","43,190","43,677","44,094","45,425","46,026","48,443","50,934","53,945","58,426","59,204","63,290","66,192","69,322","72,145","73,923","70,627","68,174","70,083","70,642","69,381","64,757","68,231"
6_Estimates of population_Saskatchewan,,,,,,,,,,,"1,000,239","996,807","996,386","997,283","993,500","992,314","1,002,086","1,017,404","1,034,819","1,051,443","1,066,026","1,083,755","1,099,736","1,112,979","1,120,967","1,135,987","1,150,331","1,161,767","1,172,479","1,179,300","1,179,844"
7_Dependency ratio_Saskatchewan,,,,,,,,,,,77.8,76.8,75.5,74.1,73.1,72.3,71.4,70.3,69.0,67.9,67.0,66.8,66.6,66.7,67.3,68.0,68.7,69.7,70.7,71.9,72.9
9_Postsecondary enrolments_Saskatchewan,,,"37,149","36,351","35,184","34,983","34,263","34,578","34,107","34,500","35,904","36,330","38,244","38,706","37,032","40,965","45,120","52,053","51,522","51,327","51,450","52,356","52,890","52,869","54,240","56,238","55,602","56,529","59,301","56,784","53,085"
