Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Saskatchewan 6 9,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Saskatchewan,7_Dependency ratio_Saskatchewan,9_Postsecondary enrolments_Saskatchewan
Saskatchewan_1991,"15,284","15,276",8,,,,,,,,,,,,,,,,,,"29,107","18,218","7,991","1,444",959,"5,984","10,281",438,"10,825","7,200","6,010","1,107","4,496","3,363","1,284",223,34,"1,171",185,187,-235,772,"23,894","14,964","14,579",422,"8,912","5,369","3,261","14,804","3,968","3,313",679,"11,462","5,194","6,359",339,"50,010","36,407",,,
Saskatchewan_1992,"14,955","14,951",4,,,,,,,,,,,,,,,,,,"28,748","18,280","8,003","1,432",981,"5,978","10,337",458,"10,300","6,439","5,344","1,192","3,842","2,660","1,196",241,37,"1,069",-950,-950,-233,-957,"26,347","16,438","15,922",523,"9,871","6,123","3,479","15,225","4,270","3,567",729,"11,532","5,031","6,590",18,"47,799","35,263",,,
Saskatchewan_1993,"14,247","14,240",7,,,,,,,,,,,,,,,,,,"29,228","18,613","8,216","1,456","1,014","6,150","10,439",486,"10,418","6,456","5,227","1,182","3,610","2,706","1,031",391,37,"1,208",859,858,61,"1,109","26,553","17,305","16,660",621,"9,410","6,102","3,120","15,556","4,660","3,889",800,"11,360","4,786","6,667",-143,"50,849","35,759",,,"37,149"
Saskatchewan_1994,"13,993","13,986",7,,,,,,,,,,,,,,,,,,"29,445","19,192","8,457","1,552","1,044","6,242","10,782",356,"10,068","7,032","5,786","1,303","3,965","3,231","1,018",473,37,"1,222",102,102,39,76,"30,554","20,902","20,148",733,"10,104","7,209","2,843","16,898","5,285","4,447",859,"12,010","5,393","6,699",449,"52,840","36,570",,,"36,351"
Saskatchewan_1995,"13,517","13,509",8,,,,,,,,,,,,,,,,,,"30,040","19,628","8,608","1,594","1,115","6,242","11,079",409,"10,161","7,361","6,347","1,386","4,364","3,194","1,278",532,37,975,721,721,356,380,"30,311","20,553","19,847",694,"10,166","6,957","3,096","17,734","5,770","4,893",889,"12,264","5,440","6,913",287,"53,426","37,503",,,"35,184"
Saskatchewan_1996,"13,310","13,308",2,,,,,,,,,,,,,,,,,,"30,588","20,120","8,816","1,721","1,125","6,277","11,366",466,"10,128","8,375","7,279","1,631","4,955","3,823","1,365",640,41,"1,047",860,861,3,"1,122","32,030","22,218","21,409",789,"10,336","7,462","2,829","19,235","6,027","5,106",935,"13,647","6,431","7,284",287,"55,034","39,092",,,"34,983"
Saskatchewan_1997,"12,812","12,810",2,,,,,,,,,,,,,,,,,,"31,239","20,856","9,216","1,958","1,153","6,340","11,687",478,"9,956","11,033","9,807","1,738","6,898","5,050","2,024",925,42,"1,165",553,552,922,-815,"35,077","25,680","24,780",883,"10,241","7,822","2,451","21,943","7,580","6,443","1,148","14,541","6,264","8,400",155,"57,399","42,470",,,"34,263"
Saskatchewan_1998,"12,794","12,790",4,"196,014","193,920","2,091",0,"196,014","193,923","2,091",0,,,,,,,,,,"31,826","21,093","9,229","1,882","1,193","6,415","11,930",507,"10,315","9,787","8,508","1,818","5,826","4,085","1,793",770,23,"1,250",444,445,324,36,"37,992","26,135","25,042","1,033","12,404","9,606","2,866","21,412","7,499","6,373","1,137","14,038","5,723","8,458",12,"59,879","41,772",,,"34,578"
Saskatchewan_1999,"12,568","12,564",4,"194,796","192,648","2,148",0,"194,796","192,651","2,145",0,,,,,,,,,,"32,304","21,426","9,364","1,904","1,216","6,508","12,131",578,"10,389","9,955","8,570","1,799","5,897","4,070","1,846",764,37,"1,345",743,743,157,792,"38,320","25,699","24,604","1,031","13,032","9,821","3,216","22,331","7,908","6,781","1,127","14,511","5,705","8,969",-104,"59,943","42,421",,,"34,107"
Saskatchewan_2000,"12,118","12,114",4,"192,885","190,896","1,989",0,"192,885","190,896","1,989",0,,,,,,,,,,"33,096","21,988","9,638","2,050","1,260","6,546","12,416",567,"10,623","9,930","8,537","1,800","5,872","4,418","1,654",759,42,"1,348",348,347,-31,573,"40,738","27,904","26,920",959,"13,404","9,987","3,403","23,173","8,075","6,946","1,127","15,245","5,906","9,520",-63,"61,503","43,190",,,"34,500"
