,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",581,530,513,448,461,432,481,399,382,377,349,349,334,380,315,370,358,361,375,371,420,427,393,385,416,417,0,0,0,0,
"1_Live births_Canada, place of residence of mother 10",573,517,498,437,457,429,468,395,376,370,343,341,326,371,313,369,356,361,375,370,419,427,393,385,416,416,0,0,0,0,
1_Live births_Place of residence of mother outside Canada 11,8,13,15,11,4,3,13,4,6,7,6,8,8,9,2,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",,,,,,,,"6,333","6,102","5,976","5,763","5,610","5,610","5,520","5,460","5,334","5,229","5,226","5,004","5,010","5,148","5,133","5,151","5,292","5,331","5,334","5,496","5,556","5,619","5,823","5,943"
"2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5",,,,,,,,"6,333","6,102","5,976","5,763","5,607","5,610","5,520","5,460","5,337","5,226","5,226","5,004","5,010","5,148","5,133","5,151","5,295","5,331","5,334","5,496","5,559","5,616","5,820","5,943"
"2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Public school Total, program type",,,,,,,,"6,333","6,102","5,973","5,763","5,607","5,610","5,520","5,460","5,334","5,229","5,229","5,004","5,010","5,085","5,037","5,049","5,139","5,184","5,199","5,343","5,391","5,448","5,637","5,721"
2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,,,,,,,,"6,333","6,102","5,973","5,766","5,607","5,610","5,520","5,460","5,334","5,229","5,229","5,007","5,010","5,085","5,037","5,049","5,136","5,184","5,199","5,340","5,391","5,448","5,637","5,721"
2_Number of students in elementary and secondary schools_Public school General programs for adults 6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",,,,,,,,,,,,,,,,,0,,,,63,96,102,153,147,135,153,165,171,186,222
2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,,,,,,,,,,,,,,,,,0,,,,60,96,105,156,147,135,153,165,171,186,225
2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
3_Number of full-time and part-time educators_Yukon 12,,,,,,,,,,,,492,489,495,495,510,516,552,570,513,546,879,903,945,873,879,,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"1,339","1,482","1,464","1,456","1,523","1,552","1,641","1,724","1,742","1,789","1,779","1,887","1,923","1,989","2,089","2,077","2,167","2,262","2,369","2,492","2,553","2,591","2,660","2,704","2,752","2,819","2,841","2,939","2,950","2,962","3,116"
4_Canada_gdp_yearly_Household final consumption expenditure,605,626,634,639,658,660,682,698,715,749,770,797,842,870,897,947,"1,000","1,045","1,070","1,126","1,179","1,225","1,231","1,247","1,272","1,303","1,349","1,358","1,391","1,360","1,410"
4_Canada_gdp_yearly_Goods,325,337,339,340,353,345,346,354,365,369,380,399,410,413,415,438,459,474,473,489,509,528,512,507,518,526,545,542,558,575,585
4_Canada_gdp_yearly_Durable goods,49,52,54,56,59,60,63,65,69,74,78,88,93,100,101,108,117,125,120,126,134,144,137,133,133,138,147,143,150,156,160
4_Canada_gdp_yearly_Semi-durable goods,33,36,37,39,41,41,42,44,45,47,48,51,51,53,56,59,63,65,66,71,69,69,67,68,67,67,68,70,74,78,82
4_Canada_gdp_yearly_Non-durable goods,267,271,269,263,272,260,254,258,262,258,261,265,272,263,260,273,280,284,287,292,306,315,308,306,317,320,329,328,333,341,342
4_Canada_gdp_yearly_Services,280,289,295,299,304,314,336,344,350,380,390,398,431,456,482,509,541,571,597,638,670,697,719,739,754,776,803,816,833,786,826
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,11,14,16,15,17,17,17,22,27,27,26,30,33,34,34,36,35,38,37,38,43,42,50,47,46,53,52,55,51,55,58
4_Canada_gdp_yearly_General governments final consumption expenditure,724,854,820,807,855,884,955,"1,022","1,014","1,024",990,"1,069","1,053","1,089","1,165","1,094","1,132","1,178","1,264","1,328","1,331","1,324","1,379","1,409","1,434","1,464","1,442","1,527","1,510","1,547","1,646"
4_Canada_gdp_yearly_Gross fixed capital formation,425,404,294,336,464,342,321,294,370,325,386,389,405,520,653,722,738,673,689,967,"1,161",948,853,753,647,629,727,"1,049",905,684,824
4_Canada_gdp_yearly_Business gross fixed capital formation,281,250,157,148,249,197,210,194,248,199,226,243,263,326,428,495,549,500,456,764,884,711,597,482,443,427,507,821,633,420,498
4_Canada_gdp_yearly_Residential structures,126,171,105,91,103,112,108,97,90,98,107,122,139,169,174,168,158,166,162,192,186,187,142,131,137,162,161,147,161,165,205
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",126,86,42,39,105,56,79,84,135,87,100,105,107,132,174,318,203,184,198,401,355,246,301,216,213,173,186,508,307,163,171
4_Canada_gdp_yearly_Non-residential structures,104,93,34,17,93,45,77,42,48,37,45,40,25,69,92,222,137,98,119,296,256,130,89,114,111,77,104,313,204,110,110
4_Canada_gdp_yearly_Machinery and equipment,42,20,14,19,32,19,21,39,71,43,49,55,64,57,74,97,66,81,75,106,99,116,212,102,102,95,82,196,104,54,61
4_Canada_gdp_yearly_Intellectual property products,25,15,29,35,47,48,34,21,15,18,23,22,26,36,88,17,193,156,99,171,342,278,154,135,95,96,163,170,167,94,125
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,8,11,14,2,2,2,1,1,2,1,2,5
4_Canada_gdp_yearly_General governments gross fixed capital formation,145,156,142,199,224,151,114,102,125,130,165,149,145,199,228,230,190,172,234,194,265,223,253,269,201,200,217,221,269,262,322
4_Canada_gdp_yearly_Investment in inventories,29,-7,46,42,25,60,20,-10,-23,8,3,-14,-39,-53,-84,-9,-30,-29,17,32,9,36,21,40,-6,3,7,2,11,32,-63
4_Canada_gdp_yearly_Of which: business investment in inventories,29,-7,46,42,25,60,20,-10,-23,8,3,-14,-39,-53,-84,-9,-30,-29,17,32,9,36,21,40,-6,3,7,3,10,32,-63
4_Canada_gdp_yearly_Non-farm,29,-7,46,42,25,60,20,-10,-23,8,3,-14,-39,-53,-84,-9,-30,-29,17,32,9,36,21,40,-6,3,7,3,10,32,-63
4_Canada_gdp_yearly_Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4_Canada_gdp_yearly_Exports of goods and services,563,809,477,353,421,614,456,416,369,371,385,338,315,330,338,352,412,568,588,579,627,788,810,798,633,789,728,598,585,759,890
4_Canada_gdp_yearly_Exports to other countries,277,413,191,124,171,295,196,158,148,141,121,112,109,120,107,96,137,280,301,289,272,327,375,399,285,364,246,195,132,208,255
4_Canada_gdp_yearly_Exports of goods to other countries,106,153,61,32,52,108,61,46,41,39,27,25,20,31,28,26,55,189,224,206,189,228,277,309,207,296,167,113,45,176,223
4_Canada_gdp_yearly_Exports of services to other countries,70,128,110,114,116,111,127,118,122,114,129,117,128,108,99,84,93,92,75,83,84,98,98,91,78,74,77,78,80,32,31
4_Canada_gdp_yearly_Exports to other provinces,186,226,254,233,218,210,209,242,198,214,270,227,201,199,233,273,285,286,285,287,354,461,436,402,346,424,469,392,436,533,613
4_Canada_gdp_yearly_Exports of goods to other provinces,32,77,58,58,58,74,73,92,80,90,132,86,59,45,46,39,25,19,84,75,107,191,116,86,63,93,106,99,113,209,260
4_Canada_gdp_yearly_Exports of services to other provinces,135,136,171,154,142,126,126,141,111,117,130,132,134,147,181,232,260,267,203,214,250,270,320,317,286,329,360,287,316,285,301
4_Canada_gdp_yearly_Less: imports of goods and services,939,965,945,837,898,901,836,853,914,890,890,932,959,"1,042","1,202","1,251","1,323","1,318","1,384","1,691","1,858","1,798","1,726","1,663","1,608","1,634","1,652","1,888","1,781","1,637","1,701"
4_Canada_gdp_yearly_Imports from other countries,170,187,279,175,214,190,196,224,260,267,261,278,286,331,386,403,414,444,434,482,453,439,569,483,525,571,550,606,534,531,536
4_Canada_gdp_yearly_Imports of goods from other countries,150,156,210,136,172,162,158,188,220,224,224,236,240,278,326,341,357,382,373,404,377,352,480,402,440,484,465,523,448,464,460
4_Canada_gdp_yearly_Imports of services from other countries,23,32,76,43,44,28,40,37,40,45,39,42,47,54,61,63,59,64,63,79,77,87,89,81,86,88,85,84,87,68,76
4_Canada_gdp_yearly_Imports from other provinces,793,802,674,683,703,736,657,643,664,631,638,663,682,719,825,857,917,886,958,"1,214","1,403","1,358","1,157","1,186","1,076","1,049","1,091","1,271","1,240","1,095","1,156"
