Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Yukon_1991,581.0,573.0,8.0,,,,,,,,,,,,,,,,,,"1,339",605,325,49,33,267,280,11,724,425,281,126,126,104,42,25,0,145,29,29,29,0.0,563,277,106,70,186,32,135,939,170,150,23,793,268,536,-13,"1,448","1,775",,,
Yukon_1992,530.0,517.0,13.0,,,,,,,,,,,,,,,,,,"1,482",626,337,52,36,271,289,14,854,404,250,171,86,93,20,15,0,156,-7,-7,-7,0.0,809,413,153,128,226,77,136,965,187,156,32,802,360,441,-45,"1,731","1,895",,,
Yukon_1993,513.0,498.0,15.0,,,,,,,,,,,,,,,,,,"1,464",634,339,54,37,269,295,16,820,294,157,105,42,34,14,29,0,142,46,46,46,0.0,477,191,61,110,254,58,171,945,279,210,76,674,279,397,6,"1,385","1,759",,,"1,455"
Yukon_1994,448.0,437.0,11.0,,,,,,,,,,,,,,,,,,"1,456",639,340,56,39,263,299,15,807,336,148,91,39,17,19,35,0,199,42,42,42,0.0,353,124,32,114,233,58,154,837,175,136,43,683,319,362,3,"1,384","1,796",,,"1,899"
Yukon_1995,461.0,457.0,4.0,,,,,,,,,,,,,,,,,,"1,523",658,353,59,41,272,304,17,855,464,249,103,105,93,32,47,0,224,25,25,25,0.0,421,171,52,116,218,58,142,898,214,172,44,703,320,381,4,"1,575","1,999",,,"2,253"
Yukon_1996,432.0,429.0,3.0,,,,,,,,,,,,,,,,,,"1,552",660,345,60,41,260,314,17,884,342,197,112,56,45,19,48,0,151,60,60,60,0.0,614,295,108,111,210,74,126,901,190,162,28,736,336,399,-1,"1,741","1,897",,,"1,398"
Yukon_1997,481.0,468.0,13.0,,,,,,,,,,,,,,,,,,"1,641",682,346,63,42,254,336,17,955,321,210,108,79,77,21,34,0,114,20,20,20,0.0,456,196,61,127,209,73,126,836,196,158,40,657,303,354,-12,"1,620","1,963",,,"1,329"
Yukon_1998,399.0,395.0,4.0,"6,333","6,333",0.0,0.0,"6,333","6,333",0.0,0.0,,,,,,,,,,"1,724",698,354,65,44,258,344,22,"1,022",294,194,97,84,42,39,21,0,102,-10,-10,-10,0.0,416,158,46,118,242,92,141,853,224,188,37,643,270,374,-29,"1,544","2,014",,,"1,464"
Yukon_1999,382.0,376.0,6.0,"6,102","6,102",0.0,0.0,"6,102","6,102",0.0,0.0,,,,,,,,,,"1,742",715,365,69,45,262,350,27,"1,014",370,248,90,135,48,71,15,0,125,-23,-23,-23,0.0,369,148,41,122,198,80,111,914,260,220,40,664,300,365,4,"1,537","2,115",,,"1,656"
Yukon_2000,377.0,370.0,7.0,"5,976","5,976",0.0,0.0,"5,973","5,973",0.0,0.0,,,,,,,,,,"1,789",749,369,74,47,258,380,27,"1,024",325,199,98,87,37,43,18,0,130,8,8,8,0.0,371,141,39,114,214,90,117,890,267,224,45,631,264,367,-10,"1,589","2,114",,,"1,491"
Yukon_2001,349.0,343.0,6.0,"5,763","5,763",0.0,0.0,"5,763","5,766",0.0,0.0,,,,,,,,,,"1,779",770,380,78,48,261,390,26,990,386,226,107,100,45,49,23,0,165,3,3,3,0.0,385,121,27,129,270,132,130,890,261,224,39,638,261,378,-1,"1,662","2,166","30,158",52.6,"1,428"
Yukon_2002,349.0,341.0,8.0,"5,610","5,607",0.0,0.0,"5,607","5,607",0.0,0.0,,,,,,,,,492.0,"1,887",797,399,88,51,265,398,30,"1,069",389,243,122,105,40,55,22,1,149,-14,-14,-14,0.0,338,112,25,117,227,86,132,932,278,236,42,663,260,405,-4,"1,643","2,278","30,336",51.4,"1,554"
Yukon_2003,334.0,326.0,8.0,"5,610","5,610",0.0,0.0,"5,610","5,610",0.0,0.0,,,,,,,,,489.0,"1,923",842,410,93,51,272,431,33,"1,053",405,263,139,107,25,64,26,0,145,-39,-39,-39,0.0,315,109,20,128,201,59,134,959,286,240,47,682,280,402,17,"1,625","2,330","30,941",50.6,"1,482"
Yukon_2004,380.0,371.0,9.0,"5,520","5,520",0.0,0.0,"5,520","5,520",0.0,0.0,,,,,,,,,495.0,"1,989",870,413,100,53,263,456,34,"1,089",520,326,169,132,69,57,36,0,199,-53,-53,-53,0.0,330,120,31,108,199,45,147,"1,042",331,278,54,719,305,416,8,"1,707","2,509","31,455",49.6,"1,419"
Yukon_2005,315.0,313.0,2.0,"5,460","5,460",0.0,0.0,"5,460","5,460",0.0,0.0,,,,,,,,,495.0,"2,089",897,415,101,56,260,482,34,"1,165",653,428,174,174,92,74,88,1,228,-84,-84,-84,0.0,338,107,28,99,233,46,181,"1,202",386,326,61,825,319,508,12,"1,744","2,740","31,902",49.1,"1,491"
Yukon_2006,370.0,369.0,1.0,"5,334","5,337",0.0,0.0,"5,334","5,334",0.0,0.0,,,,,,,,,510.0,"2,077",947,438,108,59,273,509,36,"1,094",722,495,168,318,222,97,17,1,230,-9,-9,-9,0.0,352,96,26,84,273,39,232,"1,251",403,341,63,857,367,490,-19,"1,826","2,797","32,272",48.5,"2,634"
Yukon_2007,358.0,356.0,2.0,"5,229","5,226",0.0,0.0,"5,229","5,229",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,"2,167","1,000",459,117,63,280,541,35,"1,132",738,549,158,203,137,66,193,2,190,-30,-30,-30,0.0,412,137,55,93,285,25,260,"1,323",414,357,59,917,390,527,1,"1,919","2,904","32,554",47.7,"1,029"
Yukon_2008,361.0,361.0,0.0,"5,226","5,226",0.0,0.0,"5,229","5,229",0.0,0.0,,,,,,,,,552.0,"2,262","1,045",474,125,65,284,571,38,"1,178",673,500,166,184,98,81,156,2,172,-29,-29,-29,0.0,568,280,189,92,286,19,267,"1,318",444,382,64,886,368,518,0,"2,113","2,931","33,083",47.1,999
