"Canadian government finance statistics for the federal government (x 1,000,000) c 1 2 3"
"Frequency: Annual"
"Table: 10-10-0016-01 (formerly CANSIM 385-0033)"
"Release date: 2022-11-22"
"Geography: Canada"
""
""

"Display value 4","Stocks",,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,
"Public sector components","Federal  government",,,,,,,,,,,,,,
"Statement of operations and balance sheet","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Dollars",,,,,,,,,,,,,,
"Gross operating balance 5 6","..","-3,143","-34,569","-25,750","-14,306","-9,027","4,952","7,631","11,570","2,781","5,262","11,595","-11,392","-243,018","-76,465"
"Net operating balance 7","..","-10,759","-42,711","-34,023","-22,914","-17,903","-4,112","-1,453","2,222","-6,817","-4,344","1,243","-22,349","-254,698","-88,740"
"Revenue","..","235,542","225,123","233,777","247,835","252,752","269,713","274,546","289,268","296,052","314,904","339,123","338,665","350,823","385,132"
"Taxes","..","200,374","192,074","197,505","209,089","215,249","227,707","235,870","248,530","256,845","273,688","293,731","293,972","306,124","339,379"
"Taxes on income, profits and capital gains","..","156,729","147,136","150,605","161,780","167,088","176,838","183,965","193,756","200,154","214,289","230,692","231,406","243,992","264,017"
"Taxes on property","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taxes on goods and services","..","39,384","41,201","43,138","43,208","44,013","46,570","47,318","49,260","51,205","53,970","56,104","57,703","57,819","69,899"
"Taxes on international trade and transactions","..","4,260","3,736","3,761","4,101","4,148","4,299","4,587","5,515","5,486","5,429","6,936","4,863","4,314","5,463"
"Other taxes","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social contributions","..","17,271","17,171","17,921","19,002","20,846","22,215","23,016","23,563","22,604","21,613","22,776","22,708","22,899","24,498"
"Grants, revenue","..","1,111","796","784","2,476","934","946","887","944","954","1,002","1,132","1,153","1,144","1,200"
"Other revenue","..","16,787","15,082","17,568","17,268","15,723","18,845","14,773","16,230","15,649","18,601","21,483","20,831","20,655","20,056"
"Property income","..","9,420","7,880","9,676","8,957","7,455","9,923","5,635","6,188","6,817","8,644","11,570","9,951","11,787","9,090"
