"Estimates of population (2016 Census and administrative data), by age group and sex for July 1st, Canada, provinces, territories, health regions (2018 boundaries) and peer groups c 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0134-01"
"Release date: 2022-03-22"
"Geography: Canada, Province or territory"
""
""

"Age group","Total, all ages",,,,,,,,,,,,,,,,,,,,
"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,
"Geography 5 6 7","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Number",,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,037,204","38,246,108"
"Newfoundland and Labrador","522,046","519,481","518,459","517,423","514,332","510,592","509,055","511,581","516,751","522,009","524,999","526,345","527,114","528,159","528,117","529,426","528,249","525,560","523,427","521,364","520,553"
"Prince Edward Island","136,665","136,880","137,227","137,680","138,064","137,867","137,711","138,749","139,891","141,654","143,963","144,530","144,094","144,283","144,546","146,969","150,402","153,396","157,419","161,329","164,318"
"Nova Scotia","932,494","935,179","937,717","939,664","937,926","937,882","935,115","935,897","938,208","942,107","944,274","943,635","940,434","938,545","936,525","942,790","950,108","958,406","970,243","981,889","992,055"
"New Brunswick","749,820","749,372","749,441","749,419","748,057","745,621","745,433","746,877","749,956","753,035","755,705","758,378","758,544","758,976","758,842","763,350","766,621","770,301","777,128","783,204","789,225"
"Quebec","7,396,456","7,441,656","7,485,753","7,535,590","7,581,476","7,631,966","7,692,916","7,761,725","7,843,383","7,929,222","8,005,090","8,061,101","8,110,880","8,150,183","8,175,272","8,225,950","8,302,063","8,401,738","8,503,483","8,578,300","8,604,495"
"Ontario by Local Health Integration Network 8","11,897,534","12,094,174","12,245,039","12,391,421","12,528,663","12,661,878","12,764,806","12,883,583","12,998,345","13,135,778","13,261,381","13,390,632","13,510,781","13,617,553","13,707,118","13,875,394","14,070,141","14,308,697","14,544,701","14,745,712","14,826,276"
"Ontario by Health Unit 8","11,897,534","12,094,174","12,245,039","12,391,421","12,528,663","12,661,878","12,764,806","12,883,583","12,998,345","13,135,778","13,261,381","13,390,632","13,510,781","13,617,553","13,707,118","13,875,394","14,070,141","14,308,697","14,544,701","14,745,712","14,826,276"
"Manitoba","1,151,454","1,156,680","1,163,596","1,173,238","1,178,264","1,183,562","1,189,451","1,197,775","1,208,556","1,220,780","1,233,649","1,249,975","1,264,620","1,279,014","1,292,227","1,314,139","1,334,790","1,352,825","1,369,954","1,380,648","1,383,765"
