"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","816,927","831,142","829,116","834,445","835,026","836,066","839,140","845,308","846,058","849,308","850,339","851,661","857,884","861,942","864,864","870,778","870,267","874,333","879,218","877,213","886,078","887,290","886,329","897,631","910,899","914,847","924,196","928,854","935,702","941,611","946,486","947,892","960,876","969,659","982,490","989,857","1,000,622","1,009,895","1,020,682","1,023,987","1,033,309","1,038,070","1,040,941","1,050,801","1,064,473","1,075,690","1,080,134","1,090,179","1,096,923","1,104,771","1,112,644","1,115,942","1,128,298","1,131,448","1,141,823","1,150,460","1,160,909","1,169,485","1,177,147","1,188,951","1,202,502","1,213,737","1,224,237","1,235,372","1,243,787","1,259,029","1,272,261","1,289,759","1,300,854","1,310,237","1,311,008","1,304,807","1,301,677","1,311,681","1,322,695","1,331,647","1,345,683","1,353,657","1,362,887","1,374,952","1,377,445","1,383,447","1,389,429","1,396,291","1,402,483","1,402,851","1,411,453","1,416,718","1,419,536","1,427,288","1,436,512","1,445,150","1,449,264","1,457,471","1,465,610","1,472,490","1,479,639","1,485,881","1,496,399","1,503,684","1,508,398","1,517,920","1,525,435","1,534,207","1,550,415","1,565,408","1,578,875","1,589,953","1,602,008","1,612,596","1,620,793","1,623,998","1,628,150","1,629,833","1,638,891","1,651,833","1,624,888","1,444,777","1,597,839","1,610,203","1,624,927","1,623,089","1,680,135","1,687,843","1,697,393","1,721,609","1,726,223","1,735,332"
"Household final consumption expenditure","534,089","543,037","542,556","545,614","545,600","547,725","550,621","552,618","555,603","557,725","561,534","563,122","572,744","573,588","576,082","582,772","582,490","586,815","593,048","593,009","600,893","601,632","603,551","613,979","623,617","628,444","636,756","641,220","641,880","650,067","653,632","655,070","664,192","670,392","678,376","684,957","692,463","698,483","707,365","708,579","714,392","715,537","717,183","725,892","736,646","745,602","747,115","754,630","758,664","765,296","772,438","773,882","784,209","788,114","795,440","801,861","813,035","820,058","825,517","833,352","845,036","852,667","862,048","870,951","878,693","891,981","900,362","916,872","924,095","925,145","925,694","914,495","911,646","919,610","929,661","936,029","946,496","954,546","962,245","970,991","972,728","977,054","981,039","987,066","992,771","993,919","1,000,006","1,005,516","1,011,863","1,021,213","1,028,792","1,035,215","1,038,695","1,048,213","1,055,843","1,063,496","1,065,536","1,070,760","1,078,753","1,086,341","1,086,985","1,091,277","1,098,903","1,107,216","1,119,347","1,134,136","1,144,486","1,151,676","1,159,463","1,165,460","1,172,344","1,172,238","1,178,479","1,180,682","1,185,807","1,193,992","1,166,621","1,003,000","1,133,590","1,136,735","1,142,579","1,136,728","1,191,441","1,195,266","1,201,384","1,228,311","1,227,135","1,233,374"
"Goods","245,060","250,904","249,439","247,976","248,571","249,159","250,327","252,723","253,884","254,163","254,872","255,233","261,157","261,513","262,802","267,376","265,619","266,723","269,767","268,913","271,421","272,336","272,377","278,112","281,677","285,642","289,708","293,132","291,341","297,876","300,124","299,170","304,722","307,230","312,734","315,374","319,402","322,149","327,237","325,135","328,368","330,294","328,884","336,059","343,101","345,676","345,540","351,845","353,641","355,520","358,736","355,349","361,392","362,738","365,931","368,885","372,768","375,141","375,976","377,292","383,140","388,693","394,226","395,552","399,810","407,646","409,638","415,291","421,997","422,752","422,374","415,667","413,108","416,138","420,503","423,230","427,867","428,353","433,772","436,881","434,800","436,110","438,502","442,076","443,771","442,589","444,795","447,377","450,833","455,691","460,842","465,008","465,113","470,166","473,964","477,111","476,998","478,812","484,838","488,782","490,115","489,652","490,821","495,745","503,370","513,363","515,555","518,528","523,136","525,335","528,569","527,820","529,944","531,047","530,970","531,085","514,377","475,019","554,846","553,899","556,290","541,658","555,035","552,478","556,775","557,138","548,617","552,742"
"Durable goods","48,131","51,971","51,330","49,261","49,893","49,849","50,595","50,870","50,424","50,633","51,188","51,143","52,419","52,678","52,343","54,848","52,800","52,660","54,300","54,248","54,471","54,866","55,502","58,775","60,178","61,917","63,513","67,064","63,168","66,758","67,218","66,943","69,324","69,728","72,419","73,608","75,200","76,242","78,544","75,477","77,508","78,510","78,103","82,580","85,049","85,736","85,344","87,773","87,785","88,947","91,191","87,496","90,004","90,568","91,370","92,706","94,130","95,583","96,272","96,019","98,772","100,801","103,624","104,617","105,131","109,291","108,601","111,123","116,500","116,103","115,392","109,208","106,398","109,302","112,943","115,069","115,189","114,492","116,832","118,760","116,545","117,768","117,678","120,724","123,226","120,884","120,710","121,224","123,803","127,398","127,956","127,904","128,929","133,000","135,684","135,875","133,366","135,328","139,200","141,962","142,690","141,269","141,449","144,608","149,665","153,250","153,812","154,525","156,302","157,398","157,174","157,504","158,109","157,553","157,327","156,394","138,667","121,457","167,221","166,825","165,061","160,702","159,769","159,282","162,337","156,482","153,788","159,033"
"Semi-durable goods","31,456","32,118","31,715","32,014","31,701","31,764","32,221","32,650","32,801","33,099","33,163","33,115","33,589","33,949","34,799","35,475","35,949","36,167","36,286","35,541","36,090","36,282","36,369","36,699","37,325","37,349","38,285","38,049","39,464","39,564","39,986","39,747","40,395","40,832","41,453","41,458","42,298","42,610","43,663","43,869","44,315","45,178","44,748","45,949","47,055","47,379","46,997","47,946","48,777","49,218","49,430","49,360","50,559","50,941","51,769","51,656","52,925","53,691","53,656","54,685","56,621","57,642","58,453","58,936","60,428","60,911","62,167","62,574","63,268","64,358","64,827","64,669","63,603","63,643","63,837","63,984","66,945","66,512","67,894","68,543","68,621","68,770","69,588","70,759","71,412","70,868","71,903","72,153","72,818","72,896","74,642","75,915","74,887","76,249","77,115","77,666","77,858","78,954","79,475","80,780","81,102","80,168","79,975","80,388","81,721","83,763","84,495","85,195","86,200","86,243","87,162","87,112","87,673","88,615","88,386","88,759","80,597","68,922","89,983","87,737","89,643","85,728","99,026","99,083","97,753","102,976","99,116","98,108"
"Non-durable goods","176,720","176,880","176,740","177,602","177,903","178,599","178,107","179,926","181,808","181,318","181,228","181,830","186,422","185,816","186,500","186,992","187,324","188,577","189,524","189,813","191,678","191,856","190,716","192,020","193,168","195,277","196,221","195,183","196,836","199,064","200,431","200,080","202,117","203,872","205,422","206,819","207,943","209,213","210,271","211,938","212,150","211,676","211,234","211,490","214,634","216,219","217,182","219,790","220,674","220,637","221,001","222,199","224,098","224,362","225,815","227,572","228,418","228,214","228,324","228,783","229,386","231,729","233,357","233,003","235,198","238,130","239,601","242,241","242,425","242,412","242,260","242,108","243,700","243,661","244,029","244,406","245,800","247,530","249,110","249,565","249,675","249,591","251,254","250,592","249,132","250,838","252,183","254,000","254,214","255,401","258,253","261,195","261,290","260,999","261,303","263,693","265,890","264,639","266,265","266,142","266,422","268,341","269,529","270,839","272,018","276,380","277,287","278,854","280,686","281,736","284,283","283,261","284,228","284,976","285,338","286,022","294,844","284,201","297,198","298,792","301,164","294,699","296,795","294,725","297,047","298,652","296,279","296,080"
"Services","288,670","291,444","292,659","297,688","296,979","298,576","300,328","299,703","301,556","303,496","306,739","308,015","311,521","312,011","313,201","315,165","316,798","320,104","323,273","324,169","329,646","329,417","331,371","335,974","342,123","342,822","347,042","347,966","350,578","352,018","353,291","355,789","359,266","362,979","365,316","369,285","372,716","375,987","379,703","383,228","385,763","384,866","388,108","389,397","392,959","399,447","401,159","402,154","404,396","409,242","413,170","418,294","422,484","425,075","429,218","432,682","440,064","444,774","449,527","456,229","462,023","463,944","467,708","475,431","478,880","484,240","490,715","501,643","502,043","502,329","503,278","498,819","498,529","503,462","509,147","512,788","518,617","526,178","528,467","534,100","537,924","540,944","542,532","544,983","548,996","551,332","555,212","558,140","561,035","565,534","567,988","570,269","573,617","578,096","581,936","586,435","588,551","591,942","594,002","597,671","597,031","601,679","608,041","611,480","616,070","621,007","629,053","633,260","636,482","640,262","643,918","644,533","648,619","649,724","654,815","662,719","651,840","529,605","581,695","585,661","589,108","597,389","638,416","644,714","646,558","673,209","680,610","682,731"
"Non-profit institutions serving households' final consumption expenditure","10,669","10,881","11,105","11,274","11,450","11,633","11,715","11,786","11,806","11,771","11,715","11,588","11,359","11,420","11,486","11,654","11,715","11,944","12,244","12,482","12,869","13,296","13,967","14,832","16,092","16,781","16,892","16,898","16,641","16,425","16,641","17,213","17,949","18,696","19,245","19,374","19,385","19,520","19,852","20,331","20,168","20,384","20,798","21,248","21,873","22,719","22,846","22,937","22,304","22,235","21,926","21,389","21,145","20,778","21,150","21,538","22,081","22,362","22,692","23,043","23,351","23,426","23,298","23,325","22,555","22,739","22,868","23,424","24,169","25,055","25,389","25,462","25,167","24,349","23,343","22,915","23,133","23,429","23,608","24,302","24,743","24,983","25,316","25,308","25,284","25,541","25,681","25,706","26,264","26,428","26,176","26,040","25,568","25,760","26,132","26,588","26,400","27,044","27,332","28,168","29,000","30,024","30,036","29,688","29,652","29,644","29,900","29,996","30,224","30,688","30,548","30,844","31,016","31,140","31,692","32,372","32,640","30,220","31,472","32,464","31,672","31,752","32,400","33,052","33,112","33,608","33,812","33,844"
"General governments final consumption expenditure","280,573","285,842","283,773","285,992","286,448","284,842","284,780","289,354","286,590","287,809","284,483","284,253","280,111","283,659","283,926","282,456","282,129","281,299","279,023","276,474","276,675","276,650","272,432","271,820","274,021","271,988","272,550","272,490","279,818","276,951","278,004","277,260","280,344","282,139","286,621","286,996","290,253","293,451","294,821","296,621","300,418","304,199","305,065","305,484","307,604","308,862","311,908","314,277","317,724","318,851","319,677","322,190","324,271","323,685","326,346","328,112","326,357","327,512","329,367","333,031","334,368","337,932","339,026","341,158","342,521","344,123","348,920","349,041","352,166","359,854","359,725","364,937","364,979","367,834","369,790","372,821","376,161","375,733","377,064","379,675","379,986","381,420","383,086","383,925","384,431","383,387","385,762","385,500","381,463","379,767","381,670","384,018","385,121","383,683","383,860","382,696","387,912","388,318","390,569","389,488","392,681","396,863","396,786","397,626","401,743","402,064","404,948","408,714","412,730","416,819","418,296","421,250","419,086","418,474","421,814","425,861","425,704","409,343","432,037","439,951","449,278","452,926","455,362","458,519","461,843","459,143","464,544","467,362"
