"Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0222-01 (formerly CANSIM 384-0038)"
"Release date: 2022-11-08"
"Geography: Canada, Province or territory"
""
""

"Geography","Nunavut 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","..","..","..","..","..","..","..","..","1,550","1,641","1,723","1,814","1,852","1,874","1,900","1,946","2,066","2,164","2,162","2,203","2,198","2,251","2,254","2,271","2,401","2,427","2,505","2,683","2,659","2,717","2,826"
"Household final consumption expenditure","..","..","..","..","..","..","..","..","432","451","469","494","521","538","554","578","597","630","642","670","693","715","733","747","771","781","799","808","818","810","828"
"Goods","..","..","..","..","..","..","..","..","191","202","212","225","238","243","250","262","269","280","288","298","309","319","329","330","346","349","364","371","375","397","405"
"Durable goods","..","..","..","..","..","..","..","..","16","17","19","21","23","24","26","27","29","32","34","34","35","38","40","40","43","45","48","51","53","57","60"
"Semi-durable goods","..","..","..","..","..","..","..","..","33","36","39","42","45","47","48","52","56","60","61","64","67","70","75","74","79","80","86","93","96","109","132"
"Non-durable goods","..","..","..","..","..","..","..","..","147","154","157","164","172","175","177","184","185","189","193","200","207","211","214","216","224","224","230","228","227","234","217"
"Services","..","..","..","..","..","..","..","..","241","249","256","269","284","294","304","316","328","349","354","372","384","396","404","417","425","432","436","439","445","415","424"
"Non-profit institutions serving households' final consumption expenditure","..","..","..","..","..","..","..","..","21","20","25","35","40","38","39","42","46","52","50","45","50","52","48","39","42","45","44","49","48","57","59"
"General governments final consumption expenditure","..","..","..","..","..","..","..","..","1,105","1,181","1,241","1,293","1,295","1,302","1,310","1,327","1,425","1,485","1,471","1,490","1,456","1,484","1,473","1,487","1,589","1,602","1,662","1,822","1,790","1,843","1,931"
"Gross fixed capital formation","..","..","..","..","..","..","..","..","393","358","398","395","548","606","637","618","964","1,426","860","953","1,122","895","1,216","940","975","1,003","1,447","1,866","1,709","993","1,106"
"Business gross fixed capital formation","..","..","..","..","..","..","..","..","242","210","231","242","337","434","508","468","759","1,235","582","696","857","738","1,013","668","687","698","1,125","1,549","1,356","798","963"
"Residential structures","..","..","..","..","..","..","..","..","72","72","46","48","38","43","42","42","57","42","42","42","55","71","69","48","56","44","47","38","47","40","48"
"Non-residential structures, machinery and equipment","..","..","..","..","..","..","..","..","168","109","164","94","155","148","225","282","136","563","310","388","263","231","676","456","423","451","894","1,352","1,192","687","778"
"Non-residential structures","..","..","..","..","..","..","..","..","177","101","162","59","107","109","190","279","37","429","237","319","203","165","500","354","308","363","674","936","893","537","579"
"Machinery and equipment","..","..","..","..","..","..","..","..","32","25","35","31","48","43","55","48","86","131","72","70","60","66","176","101","114","89","219","408","297","151","198"
"Intellectual property products","..","..","..","..","..","..","..","..","16","46","27","104","142","234","234","149","575","634","233","269","538","436","263","162","206","197","172","144","106","64","126"
"Non-profit institutions serving households' gross fixed capital formation","..","..","..","..","..","..","..","..","0","0","1","1","1","0","1","2","3","16","3","2","1","1","2","1","1","1","1","2","2","2","2"
"General governments gross fixed capital formation","..","..","..","..","..","..","..","..","145","143","160","147","202","170","131","148","205","185","274","255","265","156","201","268","284","301","321","319","352","194","148"
