"Live births, by place of residence of mother 1 2 3 4 5 6 7 8"
"Frequency: Annual"
"Table: 13-10-0414-01 (formerly CANSIM 102-4501)"
"Release date: 2022-09-28"
"Geography: Canada, Province or territory"
""
""

"Geography, place of occurrence 9","Alberta, place of occurrence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography, place of residence of mother 9","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Canada and place of residence of mother outside Canada 10 11","42,897","42,125","40,368","39,941","38,968","37,913","37,027","37,994","38,312","37,161","37,749","38,751","40,340","40,747","42,054","45,096","48,845","50,563","51,508","50,633","50,845","52,452","53,184","55,591","56,749","55,715","53,561","52,342","51,689","48,970","49,844"
"Canada, place of residence of mother 10","42,834","42,080","40,329","39,902","38,935","37,894","36,988","37,953","38,258","37,111","37,721","38,729","40,320","40,722","42,036","45,088","48,832","50,557","51,494","50,622","50,834","52,441","53,172","55,568","56,734","55,674","53,513","52,325","51,657","48,908","49,779"
"Place of residence of mother outside Canada 11","63","45","39","39","33","19","39","41","54","50","28","22","20","25","18","8","13","6","14","11","11","11","12","23","15","41","48","17","32","62","65"




Footnotes:
1,"Source: Statistics Canada, Canadian Vital Statistics - Birth database (CVSB)."
2,"Live birth is the complete expulsion or extraction from its mother of a product of conception, irrespective of the duration of the pregnancy, which, after such separation, breathes or shows any other evidence of life, such as beating of the heart, pulsation of the umbilical cord, or definite movement of voluntary muscles, whether or not the umbilical cord has been cut or the placenta is attached."
3,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period, (...) for figures not applicable and (x) for figures suppressed to meet the confidentiality requirements of the Statistics Act."
4,"Starting with the 2012 data year, information on Canadian infants who are born in American states is no longer collected."
5,"During the production of each year's birth/death/stillbirth statistics, data from previous years may be revised to reflect any updates or changes that have been received from the provincial and territorial vital statistics registrars. Births data for 1991-2020 were revised on September 28, 2022."
6,"2017 to 2021 data for Yukon are not available."
7,"Due to improvements in methodology and timeliness, the duration of data collection has been shortened compared to previous years. As a result, there may have been fewer births and stillbirths captured by the time of the release. The 2021 data are considered preliminary."
8,"As a result of delays with birth registrations, fewer births have been captured, to date, for Manitoba in 2021. There were also fewer births captured for Nova Scotia in 2021 due to coverage issues."
9,"The geographic distribution of live births in this table is based on the mother's usual place of residence and on the place of occurrence."
10,"Unknown province or territory of residence of mother, refers to live births to mothers who are residents of Canada, with unknown province or territory of residence."
11,"Place of residence of mother outside Canada includes live births to mothers who are non-residents of Canada and births with unknown country of residence of mother. Data by place of residence outside Canada have been revised for 2007."



"How to cite: Statistics Canada. Table 13-10-0414-01  Live births, by place of residence of mother"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310041401
