"Live births, by place of residence of mother 1 2 3 4 5 6 7 8"
"Frequency: Annual"
"Table: 13-10-0414-01 (formerly CANSIM 102-4501)"
"Release date: 2022-09-28"
"Geography: Canada, Province or territory"
""
""

"Geography, place of occurrence 9","Manitoba, place of occurrence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography, place of residence of mother 9","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Canada and place of residence of mother outside Canada 10 11","17,728","17,073","17,155","16,858","16,461","15,832","14,964","14,871","14,769","14,611","14,468","14,335","14,393","14,294","14,581","15,009","15,698","15,915","16,371","16,255","16,045","16,800","16,914","16,984","17,134","17,400","17,500","17,542","17,186","16,908","14,561"
"Canada, place of residence of mother 10","17,718","17,059","17,141","16,844","16,442","15,816","14,947","14,853","14,758","14,592","14,459","14,315","14,378","14,288","14,568","14,997","15,693","15,912","16,363","16,249","16,039","16,791","16,909","16,978","17,123","17,386","17,471","17,506","17,144","16,883","14,552"
"Place of residence of mother outside Canada 11","10","14","14","14","19","16","17","18","11","19","9","20","15","6","13","12","5","3","8","6","6","9","5","6","11","14","29","36","42","25","9"




Footnotes:
1,"Source: Statistics Canada, Canadian Vital Statistics - Birth database (CVSB)."
2,"Live birth is the complete expulsion or extraction from its mother of a product of conception, irrespective of the duration of the pregnancy, which, after such separation, breathes or shows any other evidence of life, such as beating of the heart, pulsation of the umbilical cord, or definite movement of voluntary muscles, whether or not the umbilical cord has been cut or the placenta is attached."
3,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period, (...) for figures not applicable and (x) for figures suppressed to meet the confidentiality requirements of the Statistics Act."
4,"Starting with the 2012 data year, information on Canadian infants who are born in American states is no longer collected."
5,"During the production of each year's birth/death/stillbirth statistics, data from previous years may be revised to reflect any updates or changes that have been received from the provincial and territorial vital statistics registrars. Births data for 1991-2020 were revised on September 28, 2022."
6,"2017 to 2021 data for Yukon are not available."
7,"Due to improvements in methodology and timeliness, the duration of data collection has been shortened compared to previous years. As a result, there may have been fewer births and stillbirths captured by the time of the release. The 2021 data are considered preliminary."
8,"As a result of delays with birth registrations, fewer births have been captured, to date, for Manitoba in 2021. There were also fewer births captured for Nova Scotia in 2021 due to coverage issues."
9,"The geographic distribution of live births in this table is based on the mother's usual place of residence and on the place of occurrence."
10,"Unknown province or territory of residence of mother, refers to live births to mothers who are residents of Canada, with unknown province or territory of residence."
11,"Place of residence of mother outside Canada includes live births to mothers who are non-residents of Canada and births with unknown country of residence of mother. Data by place of residence outside Canada have been revised for 2007."



"How to cite: Statistics Canada. Table 13-10-0414-01  Live births, by place of residence of mother"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310041401
