"Live births, by place of residence of mother 1 2 3 4 5 6 7 8"
"Frequency: Annual"
"Table: 13-10-0414-01 (formerly CANSIM 102-4501)"
"Release date: 2022-09-28"
"Geography: Canada, Province or territory"
""
""

"Geography, place of occurrence 9","New Brunswick, place of occurrence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography, place of residence of mother 9","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Canada and place of residence of mother outside Canada 10 11","9,651","9,568","9,197","9,114","8,759","8,353","8,101","8,056","7,735","7,544","7,347","7,193","7,255","7,089","6,967","7,087","7,232","7,463","7,492","7,467","7,208","7,116","7,011","7,010","6,639","6,681","6,543","6,391","6,317","6,222","6,355"
"Canada, place of residence of mother 10","9,644","9,554","9,184","9,098","8,748","8,338","8,090","8,043","7,724","7,535","7,337","7,185","7,244","7,083","6,965","7,084","7,226","7,462","7,491","7,467","7,206","7,115","7,008","7,007","6,637","6,673","6,539","6,389","6,314","6,218","6,353"
"Place of residence of mother outside Canada 11","7","14","13","16","11","15","11","13","11","9","10","8","11","6","2","3","6","1","1","0","2","1","3","3","2","8","4","2","3","4","2"




Footnotes:
1,"Source: Statistics Canada, Canadian Vital Statistics - Birth database (CVSB)."
2,"Live birth is the complete expulsion or extraction from its mother of a product of conception, irrespective of the duration of the pregnancy, which, after such separation, breathes or shows any other evidence of life, such as beating of the heart, pulsation of the umbilical cord, or definite movement of voluntary muscles, whether or not the umbilical cord has been cut or the placenta is attached."
3,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period, (...) for figures not applicable and (x) for figures suppressed to meet the confidentiality requirements of the Statistics Act."
4,"Starting with the 2012 data year, information on Canadian infants who are born in American states is no longer collected."
5,"During the production of each year's birth/death/stillbirth statistics, data from previous years may be revised to reflect any updates or changes that have been received from the provincial and territorial vital statistics registrars. Births data for 1991-2020 were revised on September 28, 2022."
6,"2017 to 2021 data for Yukon are not available."
7,"Due to improvements in methodology and timeliness, the duration of data collection has been shortened compared to previous years. As a result, there may have been fewer births and stillbirths captured by the time of the release. The 2021 data are considered preliminary."
8,"As a result of delays with birth registrations, fewer births have been captured, to date, for Manitoba in 2021. There were also fewer births captured for Nova Scotia in 2021 due to coverage issues."
9,"The geographic distribution of live births in this table is based on the mother's usual place of residence and on the place of occurrence."
10,"Unknown province or territory of residence of mother, refers to live births to mothers who are residents of Canada, with unknown province or territory of residence."
11,"Place of residence of mother outside Canada includes live births to mothers who are non-residents of Canada and births with unknown country of residence of mother. Data by place of residence outside Canada have been revised for 2007."



"How to cite: Statistics Canada. Table 13-10-0414-01  Live births, by place of residence of mother"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310041401
