Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: province,0.8099173553719008
provincial_set_overall_imputer_minmax_nondiscretized: province,0.8677685950413223
provincial_set_overall_imputer_nonorm_discretized: province,0.8016528925619835
provincial_set_overall_imputer_nonorm_nondiscretized: province,0.859504132231405
provincial_set_overall_imputer_std_discretized: province,0.8099173553719008
provincial_set_overall_imputer_std_nondiscretized: province,0.859504132231405
provincial_set_overall_nega_minmax_discretized: province,0.7851239669421488
provincial_set_overall_nega_minmax_nondiscretized: province,0.8842975206611571
provincial_set_overall_nega_nonorm_discretized: province,0.7768595041322314
provincial_set_overall_nega_nonorm_nondiscretized: province,0.8925619834710744
provincial_set_overall_nega_std_discretized: province,0.7768595041322314
provincial_set_overall_nega_std_nondiscretized: province,0.8925619834710744
