Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: year,0.03305785123966942
provincial_set_overall_imputer_minmax_nondiscretized: year,0.049586776859504134
provincial_set_overall_imputer_nonorm_discretized: year,0.049586776859504134
provincial_set_overall_imputer_nonorm_nondiscretized: year,0.049586776859504134
provincial_set_overall_imputer_std_discretized: year,0.049586776859504134
provincial_set_overall_imputer_std_nondiscretized: year,0.06611570247933884
provincial_set_overall_nega_minmax_discretized: year,0.0743801652892562
provincial_set_overall_nega_minmax_nondiscretized: year,0.1652892561983471
provincial_set_overall_nega_nonorm_discretized: year,0.06611570247933884
provincial_set_overall_nega_nonorm_nondiscretized: year,0.1487603305785124
provincial_set_overall_nega_std_discretized: year,0.08264462809917356
provincial_set_overall_nega_std_nondiscretized: year,0.1322314049586777
