Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: province,0.2231404958677686
provincial_set_overall_imputer_minmax_nondiscretized: province,0.8264462809917356
provincial_set_overall_imputer_nonorm_discretized: province,0.2231404958677686
provincial_set_overall_imputer_nonorm_nondiscretized: province,0.8181818181818182
provincial_set_overall_imputer_std_discretized: province,0.2809917355371901
provincial_set_overall_imputer_std_nondiscretized: province,0.8264462809917356
provincial_set_overall_nega_minmax_discretized: province,0.4214876033057851
provincial_set_overall_nega_minmax_nondiscretized: province,0.6776859504132231
provincial_set_overall_nega_nonorm_discretized: province,0.4628099173553719
provincial_set_overall_nega_nonorm_nondiscretized: province,0.6859504132231405
provincial_set_overall_nega_std_discretized: province,0.4628099173553719
provincial_set_overall_nega_std_nondiscretized: province,0.6776859504132231
