Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: province,0.7024793388429752
provincial_set_overall_imputer_minmax_nondiscretized: province,0.8842975206611571
provincial_set_overall_imputer_nonorm_discretized: province,0.7355371900826446
provincial_set_overall_imputer_nonorm_nondiscretized: province,0.8347107438016529
provincial_set_overall_imputer_std_discretized: province,0.7024793388429752
provincial_set_overall_imputer_std_nondiscretized: province,0.8677685950413223
provincial_set_overall_nega_minmax_discretized: province,0.7107438016528925
provincial_set_overall_nega_minmax_nondiscretized: province,0.8512396694214877
provincial_set_overall_nega_nonorm_discretized: province,0.6942148760330579
provincial_set_overall_nega_nonorm_nondiscretized: province,0.8512396694214877
provincial_set_overall_nega_std_discretized: province,0.7107438016528925
provincial_set_overall_nega_std_nondiscretized: province,0.8677685950413223
