Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: province,0.6859504132231405
provincial_set_overall_imputer_minmax_nondiscretized: province,0.5041322314049587
provincial_set_overall_imputer_nonorm_discretized: province,0.7272727272727273
provincial_set_overall_imputer_nonorm_nondiscretized: province,0.38016528925619836
provincial_set_overall_imputer_std_discretized: province,0.7768595041322314
provincial_set_overall_imputer_std_nondiscretized: province,0.7520661157024794
provincial_set_overall_nega_minmax_discretized: province,0.6694214876033058
provincial_set_overall_nega_minmax_nondiscretized: province,0.3305785123966942
provincial_set_overall_nega_nonorm_discretized: province,0.6859504132231405
provincial_set_overall_nega_nonorm_nondiscretized: province,0.256198347107438
provincial_set_overall_nega_std_discretized: province,0.6528925619834711
provincial_set_overall_nega_std_nondiscretized: province,0.5289256198347108
