Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: year,0.0
provincial_set_overall_imputer_minmax_nondiscretized: year,0.008264462809917356
provincial_set_overall_imputer_nonorm_discretized: year,0.008264462809917356
provincial_set_overall_imputer_nonorm_nondiscretized: year,0.04132231404958678
provincial_set_overall_imputer_std_discretized: year,0.008264462809917356
provincial_set_overall_imputer_std_nondiscretized: year,0.008264462809917356
provincial_set_overall_nega_minmax_discretized: year,0.04132231404958678
provincial_set_overall_nega_minmax_nondiscretized: year,0.04132231404958678
provincial_set_overall_nega_nonorm_discretized: year,0.06611570247933884
provincial_set_overall_nega_nonorm_nondiscretized: year,0.10743801652892562
provincial_set_overall_nega_std_discretized: year,0.049586776859504134
provincial_set_overall_nega_std_nondiscretized: year,0.08264462809917356
